[IRV | GU | OT | Psalms | Chapter 44 | Verse 1] હે ઈશ્વર, જે કૃત્યો અમારા પિતૃઓના સમયમાં એટલે પુરાતન કાળમાં, તમે જે કામો કર્યાં હતાં, તે વિષે તેઓએ અમને કહ્યું છે તે અમે અમારા કાનોએ સાંભળ્યું છે.
[IRV | GU | OT | Psalms | Chapter 44 | Verse 2] તમે તમારે હાથે વિદેશીઓને નસાડી મૂક્યા, અને તમે તમારા લોકોને વસાવ્યા; તમે વિદેશી લોકો પર દુઃખ લાવ્યા, પણ તમે અમારા લોકોને દેશમાં વસાવ્યા.
[IRV | GU | OT | Psalms | Chapter 44 | Verse 3] તેઓએ પોતાની તલવાર વડે દેશને કબજે કર્યો નહોતો, વળી તેઓએ પોતાના ભુજ વડે પોતાનો બચાવ કર્યો નહોતો; પણ તમારા જમણા હાથે, તમારા ભુજે અને તમારા મુખના પ્રકાશે તેમને બચાવ્યા હતા, કેમ કે તમે તેઓ પર પ્રસન્ન હતા.
[IRV | GU | OT | Psalms | Chapter 44 | Verse 4] તમે મારા ઈશ્વર તથા રાજા છો; તમે યાકૂબને વિજય ફરમાવો.
[IRV | GU | OT | Psalms | Chapter 44 | Verse 5] તમારી સહાયતાથી અમે અમારા વૈરીઓને જમીનદોસ્ત કરી નાખીશું; તમારે નામે અમારી વિરુદ્ધ ઊઠનારને છૂંદી નાખીશું.
[IRV | GU | OT | Psalms | Chapter 44 | Verse 6] કેમ કે હું મારા ધનુષ્ય પર ભરોસો રાખીશ નહિ, મારી તલવાર પણ મારો બચાવ કરી શકશે નહિ.
[IRV | GU | OT | Psalms | Chapter 44 | Verse 7] પણ અમારા વૈરીઓથી તમે અમને બચાવ્યા છે અને જેઓ અમને ધિક્કારે છે તેઓને બદનામ કર્યા છે.
[IRV | GU | OT | Psalms | Chapter 44 | Verse 8] આખો દિવસ અમે ઈશ્વરમાં બડાશ મારી છે અને અમે સદાકાળ તમારા નામની આભારસ્તુતિ કરીશું. સેલાહ.
[IRV | GU | OT | Psalms | Chapter 44 | Verse 9] પણ હવે તમે અમને દૂર કર્યા છે અને શરમિંદા કર્યા છે અને અમારા સૈન્યોની સાથે તમે બહાર આવતા નથી.
[IRV | GU | OT | Psalms | Chapter 44 | Verse 10] તમે શત્રુઓ આગળ અમારી પાસે પીઠ ફેરવાવો છો; અને જેઓ અમને ધિક્કારે છે તેઓ પોતાની મરજી પ્રમાણે અમને લૂંટે છે.
[IRV | GU | OT | Psalms | Chapter 44 | Verse 11] તમે અમને કાપવાનાં ઘેટાંની જેમ બનાવી દીધા છે અને વિદેશીઓમાં અમને વિખેરી નાખ્યા છે.
[IRV | GU | OT | Psalms | Chapter 44 | Verse 12] તમે તમારા લોકોને મફત વેચી દીધા છે; તેઓની કિંમતથી અમને કંઈ લાભ થતો નથી.
[IRV | GU | OT | Psalms | Chapter 44 | Verse 13] અમારા પડોશીઓ આગળ તમે અમને નિંદારૂપ બનાવ્યા છે, અમારી આસપાસના લોકો સમક્ષ અમને હાંસીરૂપ તથા તિરસ્કારરૂપ બનાવ્યા છે.
[IRV | GU | OT | Psalms | Chapter 44 | Verse 14] તમે અમને વિદેશીઓમાં કહાણીરૂપ અને લોકોમાં માથાં હલાવવાનું કારણ કરો છો.
[IRV | GU | OT | Psalms | Chapter 44 | Verse 15] આખો દિવસ મારી આગળથી મારું અપમાન ખસતું નથી અને મારા મુખ પર થતી શરમિંદગીએ મને ઢાંકી દીધો છે.
[IRV | GU | OT | Psalms | Chapter 44 | Verse 16] નિંદા તથા દુર્ભાષણ કરનાર બોલને લીધે અને શત્રુ તથા વેર વાળનારની દ્રષ્ટિને લીધે આવું થાય છે.
[IRV | GU | OT | Psalms | Chapter 44 | Verse 17] આ બધું અમારા પર આવી પડ્યું છે; તોપણ અમે તમને વીસરી ગયા નથી અને તમારા કરાર પ્રતિ વિશ્વાસઘાતી બન્યા નથી.
[IRV | GU | OT | Psalms | Chapter 44 | Verse 18] અમારું હૃદય તમારાથી પાછું હઠી ગયું નથી; અમારાં પગલાં તમારા માર્ગ પરથી અન્ય માર્ગે વળ્યાં નથી.
[IRV | GU | OT | Psalms | Chapter 44 | Verse 19] તોપણ તમે અમને શિયાળવાંની જગ્યામાં કચડ્યા છે અને અમને મોતની છાયાથી ઢાંકી દીધા છે
[IRV | GU | OT | Psalms | Chapter 44 | Verse 20] જો અમે અમારા ઈશ્વરનું નામ ભૂલી ગયા હોઈએ અથવા પારકા દેવોની તરફ અમારા હાથ ફેલાવ્યા હોય,
