[IRV | GU | OT | Psalms | Chapter 145 | Verse 1] હે મારા ઈશ્વર, મારા રાજા, હું તમને મોટા માનીશ; હું સદા તમારા નામની સ્તુતિ કરીશ.
[IRV | GU | OT | Psalms | Chapter 145 | Verse 2] હું પ્રતિદિન તમારી પ્રશંસા કરીશ; સદા હું તમારા નામની સ્તુતિ કરીશ.
[IRV | GU | OT | Psalms | Chapter 145 | Verse 3] યહોવાહ મહાન છે તે બહુ જ સ્તુતિપાત્ર છે; તેમની મહાનતા સમજશક્તિની બહાર છે.
[IRV | GU | OT | Psalms | Chapter 145 | Verse 4] પેઢી દરપેઢી તમારાં કામની પ્રશંસા થશે અને તમારા પરાક્રમનાં કાર્યો પ્રગટ કરવામાં આવશે.
[IRV | GU | OT | Psalms | Chapter 145 | Verse 5] હું તમારી મહાનતા તથા તમારા મહિમા અને તમારાં અદ્દભુત કાર્યો વિષે મનન કરીશ.
[IRV | GU | OT | Psalms | Chapter 145 | Verse 6] લોકો તમારાં પરાક્રમી કૃત્યોનું સામર્થ્ય પ્રગટ કરશે; હું તમારી મહાનતા વર્ણવીશ.
[IRV | GU | OT | Psalms | Chapter 145 | Verse 7] તેઓ તમારા અનહદ પરોપકારનું સ્મરણ કરીને તમારી કીર્તિ ફેલાવશે અને તેઓ તમારા ન્યાયીપણા વિષે ગાયન કરશે.
[IRV | GU | OT | Psalms | Chapter 145 | Verse 8] યહોવાહ દયાળુ અને કૃપાળુ છે, તે ક્રોધ કરવામાં ધીમા અને કૃપા કરવામાં ભરપૂર છે.
[IRV | GU | OT | Psalms | Chapter 145 | Verse 9] યહોવાહ સર્વને હિતકારક છે; પોતાનાં સર્વ કામો પર તેમની રહેમ નજર છે.
[IRV | GU | OT | Psalms | Chapter 145 | Verse 10] હે યહોવાહ, જે બધાં તમારું સર્જન છે તે બધાં તમારો આભાર માનો; તમારા ભક્તો તમારી સ્તુતિ કરો.
[IRV | GU | OT | Psalms | Chapter 145 | Verse 11] તેઓ ભેગા મળીને તમારા રાજ્યના મહિમા વિષે વાત કરશે; અને તેઓ તમારું પરાક્રમ પ્રગટ કરશે.
[IRV | GU | OT | Psalms | Chapter 145 | Verse 12] સર્વ લોકોમાં તેઓ ઈશ્વરના પરાક્રમી કામો જાહેર કરશે અને તમારા રાજ્યના મહિમા વિષે અને તમારા પ્રતાપ વિષે જાણશે.
[IRV | GU | OT | Psalms | Chapter 145 | Verse 13] તમારું રાજ્ય સદાકાળનું રાજ્ય છે અને તમારું શાસન પેઢી દરપેઢી ટકી રહે છે.
[IRV | GU | OT | Psalms | Chapter 145 | Verse 14] સર્વ પડતા માણસોને યહોવાહ આધાર આપે છે અને સર્વ દબાઈ રહેલાઓને તે ઊભા કરે છે.
[IRV | GU | OT | Psalms | Chapter 145 | Verse 15] સર્વની આંખો તમને આતુરતાથી જોઈ રહી છે; તમે તેઓને રાતના સમયે પણ અન્ન આપો છો.
[IRV | GU | OT | Psalms | Chapter 145 | Verse 16] તમે તમારો હાથ ખોલો છો, એટલે સર્વ સજીવોની ઇચ્છા તૃપ્ત થાય છે.
[IRV | GU | OT | Psalms | Chapter 145 | Verse 17] યહોવાહ પોતાના સર્વ માર્ગોમાં ન્યાયી છે અને તે પોતાના સર્વ કામોમાં કૃપાળુ છે.
[IRV | GU | OT | Psalms | Chapter 145 | Verse 18] જેઓ પ્રામાણિકપણે તેમને મદદ માટે પોકારે છે, તેઓની સાથે યહોવાહ રહે છે.
[IRV | GU | OT | Psalms | Chapter 145 | Verse 19] જેઓ યહોવાહને માન આપે છે તેમની ઇચ્છાઓને તે પૂરી કરે છે; તે તેઓનો પોકાર સાંભળીને તેમને બચાવે છે.
[IRV | GU | OT | Psalms | Chapter 145 | Verse 20] યહોવાહ તેમના પર પ્રેમ રાખનારા સર્વનું તે ધ્યાન રાખે છે, પણ તે સર્વ દુષ્ટોનો નાશ કરે છે.
[IRV | GU | OT | Psalms | Chapter 145 | Verse 21] મારું મુખ યહોવાહની સ્તુતિ કરશે; સર્વ માણસો તેમના પવિત્ર નામની સ્તુતિ કરો.
