[IRV | GU | OT | Psalms | Chapter 94 | Verse 1] હે બદલો વાળનાર ઈશ્વર, યહોવાહ, હે બદલો વાળનાર ઈશ્વર, અમારા પર પ્રકાશ પાડો.
[IRV | GU | OT | Psalms | Chapter 94 | Verse 2] હે પૃથ્વીના ન્યાયાધીશ, ઊઠો, ગર્વિષ્ઠોને બદલો વાળી આપો.
[IRV | GU | OT | Psalms | Chapter 94 | Verse 3] હે યહોવાહ, દુષ્ટો ક્યાં સુધી, ક્યાં સુધી દુષ્ટો જીત પ્રાપ્ત કરશે?
[IRV | GU | OT | Psalms | Chapter 94 | Verse 4] તેઓ અભિમાની અને ઉગ્ર વાતો કરે છે અને તેઓ સર્વ બડાઈ મારે છે.
[IRV | GU | OT | Psalms | Chapter 94 | Verse 5] હે યહોવાહ, તેઓ તમારા લોકો પર જુલમ કરે છે; તેઓ તમારા વારસાને દુ:ખ આપે છે.
[IRV | GU | OT | Psalms | Chapter 94 | Verse 6] તેઓ વિધવાને અને વિદેશીઓને મારી નાખે છે અને તેઓ અનાથની હત્યા કરે છે.
[IRV | GU | OT | Psalms | Chapter 94 | Verse 7] તેઓ કહે છે, “યહોવાહ જોશે નહિ, યાકૂબના ઈશ્વર ધ્યાન આપશે નહિ.”
[IRV | GU | OT | Psalms | Chapter 94 | Verse 8] હે અજ્ઞાની લોકો, તમે ધ્યાન આપો; મૂર્ખો, તમે ક્યારે બુદ્ધિમાન થશો?
[IRV | GU | OT | Psalms | Chapter 94 | Verse 9] જે કાનનો બનાવનાર છે, તે શું નહિ સાંભળે? જે આંખના રચનાર છે, તે શું નહિ જુએ?
[IRV | GU | OT | Psalms | Chapter 94 | Verse 10] જે દેશોને શિસ્તમાં રાખે છે, તે શું તમને સુધારશે નહિ? તે જ એક છે કે જે માણસને ડહાપણ આપે છે.
[IRV | GU | OT | Psalms | Chapter 94 | Verse 11] યહોવાહ માણસોના વિચારો જાણે છે, કે તે વ્યર્થ છે.
[IRV | GU | OT | Psalms | Chapter 94 | Verse 12] હે યહોવાહ, તમે જેને શિસ્તમાં રાખો છો, જેને તમે તમારા નિયમશાસ્ત્રમાંથી શીખવો છો, તે દરેક આશીર્વાદિત છે.
[IRV | GU | OT | Psalms | Chapter 94 | Verse 13] દુષ્ટને માટે ખાડો ખોદાય ત્યાં સુધી તમે તેને સંકટના દિવસોમાંથી શાંતિ આપશો.
[IRV | GU | OT | Psalms | Chapter 94 | Verse 14] કેમ કે યહોવાહ પોતાના લોકોને તરછોડશે નહિ તે પોતાના વારસાનો ત્યાગ કરશે નહિ.
[IRV | GU | OT | Psalms | Chapter 94 | Verse 15] કારણ કે ન્યાયીકરણ ન્યાયીપણા તરફ પાછું વળશે; અને સર્વ યથાર્થ હૃદયવાળા તેને અનુસરશે.
[IRV | GU | OT | Psalms | Chapter 94 | Verse 16] મારા બચાવમાં મારે માટે દુષ્કર્મીઓની સામે કોણ ઊઠશે? મારે માટે દુષ્ટની વિરુદ્ધ કોણ ઊભો રહેશે?
[IRV | GU | OT | Psalms | Chapter 94 | Verse 17] જો યહોવાહે મારી સહાય કરી ન હોત તો મારો આત્મા વહેલો છાનો થઈ જાત.
[IRV | GU | OT | Psalms | Chapter 94 | Verse 18] જ્યારે મેં કહ્યું કે, “મારો પગ લપસી જાય છે,” ત્યારે, હે યહોવાહ, તમારી કૃપાએ મને પકડી લીધો છે.
[IRV | GU | OT | Psalms | Chapter 94 | Verse 19] જ્યારે મારા અંતરમાં પુષ્કળ ચિંતા થાય છે, ત્યારે તમારા દિલાસાઓ મારા આત્માને ખુશ કરે છે.
[IRV | GU | OT | Psalms | Chapter 94 | Verse 20] દુષ્ટ અધિકારીઓ નિયમસર ઉપદ્રવ યોજે છે, તેઓ શું તારી સાથે મેળાપ રાખશે?
[IRV | GU | OT | Psalms | Chapter 94 | Verse 21] તેઓ ન્યાયીઓની વિરુદ્ધ કાવતરાં રચે છે અને નિર્દોષને દોષિત ઠરાવીને તેઓને મૃત્યદંડ આપે છે.
[IRV | GU | OT | Psalms | Chapter 94 | Verse 22] પણ યહોવાહ મારો ઊંચો ગઢ છે અને મારા ઈશ્વર મારા આશ્રયના ખડક છે.
[IRV | GU | OT | Psalms | Chapter 94 | Verse 23] તેમણે તેઓને તેઓનો અન્યાય વાળી આપ્યો છે અને તે તેઓની દુષ્ટતાને માટે તેઓનો સંહાર કરશે. યહોવાહ આપણા ઈશ્વર તેઓનો સંહાર કરશે.
