[IRV | GU | OT | Psalms | Chapter 91 | Verse 1] પરાત્પર ઈશ્વરના આશ્રયસ્થાનમાં જે વસે છે, તે સર્વસમર્થની છાયામાં રહેશે.
[IRV | GU | OT | Psalms | Chapter 91 | Verse 2] હું યહોવાહ વિષે કહીશ કે, “તે મારા આશ્રય અને ગઢ છે, એ જ મારા ઈશ્વર છે, તેમના પર હું ભરોસો રાખું છું.”
[IRV | GU | OT | Psalms | Chapter 91 | Verse 3] કારણ કે તે તને શિકારીના સર્વ ફાંદાઓથી અને નાશકારક મરકીથી બચાવશે.
[IRV | GU | OT | Psalms | Chapter 91 | Verse 4] તે પોતાનાં પીંછાથી તને ઢાંકશે અને તેમની પાંખો નીચે આશ્રય મળશે. તેમની સત્યતા ઢાલ તથા બખતર છે.
[IRV | GU | OT | Psalms | Chapter 91 | Verse 5] રાત્રે જે ભય લાગે છે તેથી અથવા તો દિવસે ઊડનાર તીરથી,
[IRV | GU | OT | Psalms | Chapter 91 | Verse 6] અથવા અંધકારમાં ચાલનાર મરકીથી કે, બપોરે મહામારીથી તું બીશ નહિ.
[IRV | GU | OT | Psalms | Chapter 91 | Verse 7] તારી બાજુએ હજાર અને તારે જમણે હાથે દશ હજાર માણસો પડશે, પણ તે તારી પાસે આવશે નહિ.
[IRV | GU | OT | Psalms | Chapter 91 | Verse 8] તું માત્ર નજરે જોશે અને તું દુષ્ટોને મળેલો બદલો જોશે.
[IRV | GU | OT | Psalms | Chapter 91 | Verse 9] કારણ કે યહોવાહ મારા આધાર છે! તેં પરાત્પરને તારો આશ્રય કર્યો છે.
[IRV | GU | OT | Psalms | Chapter 91 | Verse 10] તારા પર કંઈ દુઃખ આવી પડશે નહિ; મરકી તારા ઘરની પાસે આવશે નહિ.
[IRV | GU | OT | Psalms | Chapter 91 | Verse 11] કારણ કે તને તારા સર્વ માર્ગમાં સંભાળવાને માટે, તે પોતાના દૂતોને આજ્ઞા આપશે.
[IRV | GU | OT | Psalms | Chapter 91 | Verse 12] તેઓ તને પોતાના હાથોમાં ધરી રાખશે, કે જેથી તારો પગ માર્ગમાં ખડકો સાથે અફળાય નહિ.
[IRV | GU | OT | Psalms | Chapter 91 | Verse 13] તું સિંહ તથા સાપ પર પગ મૂકશે; સિંહનાં બચ્ચાંને તથા સાપને તું છૂંદી નાખશે.
[IRV | GU | OT | Psalms | Chapter 91 | Verse 14] કારણ કે તે મને સમર્પિત છે, માટે હું તેને બચાવીશ. તેણે મારું નામ જાણ્યું છે, માટે હું તેને ઊંચો કરીશ.
[IRV | GU | OT | Psalms | Chapter 91 | Verse 15] જ્યારે તે મને પોકારશે, ત્યારે હું તેને ઉત્તર આપીશ. હું સંકટસમયે તેની સાથે રહીશ; હું તેને વિજય અપાવીને માન આપીશ.
[IRV | GU | OT | Psalms | Chapter 91 | Verse 16] હું તેને લાંબા આયુષ્યથી વેષ્ટિત કરીશ અને તેને મારા તરફથી મળતો ઉદ્ધાર દેખાડીશ.
