[IRV | GU | OT | Psalms | Chapter 118 | Verse 1] યહોવાહનો આભાર માનો, કેમ કે તે ઉત્તમ છે, તેમની કૃપા સર્વકાળ ટકે છે.
[IRV | GU | OT | Psalms | Chapter 118 | Verse 2] ઇઝરાયલ, એમ કહો, “તેમની કૃપા સર્વકાળ ટકે છે.”
[IRV | GU | OT | Psalms | Chapter 118 | Verse 3] હારુનનું કુટુંબ કહો, “તેમની કૃપા સર્વકાળ ટકે છે.”
[IRV | GU | OT | Psalms | Chapter 118 | Verse 4] યહોવાહના વફાદાર અનુયાયીઓ કહો, “તેમની કૃપા સર્વકાળ ટકે છે.”
[IRV | GU | OT | Psalms | Chapter 118 | Verse 5] મેં મારા સંકટમાં યહોવાહને વિનંતી કરી; યહોવાહે ઉત્તર આપીને મને મુક્ત કર્યો.
[IRV | GU | OT | Psalms | Chapter 118 | Verse 6] યહોવાહ મારા પક્ષમાં છે; હું બીવાનો નથી; માણસ મને શું કરનાર છે?
[IRV | GU | OT | Psalms | Chapter 118 | Verse 7] મારા મદદગાર તરીકે યહોવાહ મારી પાસે છે; હું મારા શત્રુઓને, કે જેઓ મને ધિક્કારે છે, તેઓને પરાજિત થતાં જોઈશ.
[IRV | GU | OT | Psalms | Chapter 118 | Verse 8] માણસ પર ભરોસો રાખવા કરતાં યહોવાહ પર ભરોસો રાખવો વધારે સારો છે.
[IRV | GU | OT | Psalms | Chapter 118 | Verse 9] રાજાઓ પર ભરોસો રાખવા કરતાં યહોવાહ પર આધાર રાખવો વધારે સારો છે.
[IRV | GU | OT | Psalms | Chapter 118 | Verse 10] સર્વ પ્રજાઓએ મને ઘેરી લીધો છે; યહોવાહને નામે મેં તેઓને કાપી નાખ્યા.
[IRV | GU | OT | Psalms | Chapter 118 | Verse 11] તેઓએ મને ઘેરી લીધો છે, હા, તેઓએ મને ઘેરી લીધો છે; યહોવાહને નામે મેં તેઓને કાપી નાખ્યા.
[IRV | GU | OT | Psalms | Chapter 118 | Verse 12] તેઓએ મને મધમાખીઓની જેમ ઘેરી લીધો હતો; તેઓ સળગતા કાંટાની જેમ તરત જ હોલવાઈ ગયા છે; યહોવાહને નામે મેં તેઓને કાપી નાખ્યા.
[IRV | GU | OT | Psalms | Chapter 118 | Verse 13] નીચે પાડી નાખવાને માટે તેઓએ મારા પર હુમલો કર્યો, પણ યહોવાહે મને મદદ કરી.
[IRV | GU | OT | Psalms | Chapter 118 | Verse 14] યહોવાહ મારું સામર્થ્ય તથા મારો આનંદ છે અને તે જ મારા છોડાવનાર થયા છે.
[IRV | GU | OT | Psalms | Chapter 118 | Verse 15] ન્યાયીઓના તંબુમાં વિજયોત્સવના હર્ષનાદ સંભળાય છે; યહોવાહનો જમણો હાથ વિજય આપનાર છે.
[IRV | GU | OT | Psalms | Chapter 118 | Verse 16] યહોવાહનો જમણો હાથ ઊંચો થયેલો છે; યહોવાહનો જમણો હાથ વિજય આપનાર છે.
[IRV | GU | OT | Psalms | Chapter 118 | Verse 17] હું મરણ પામીશ નહિ, પણ જીવતો રહીશ અને યહોવાહનાં કૃત્યોને પ્રગટ કરીશ.
[IRV | GU | OT | Psalms | Chapter 118 | Verse 18] યહોવાહે મને ભારે શિક્ષા કરી છે; પણ તેમણે મને મરણને સ્વાધીન કર્યો નથી.
[IRV | GU | OT | Psalms | Chapter 118 | Verse 19] મારે માટે ન્યાયીપણાનું પ્રવેશદ્વાર ઉઘાડો; હું તેમાં પ્રવેશ કરીશ અને હું યહોવાહનો આભાર માનીશ.
[IRV | GU | OT | Psalms | Chapter 118 | Verse 20] યહોવાહનું દ્વાર આ છે; એમાં થઈને ન્યાયીઓ અંદર પ્રવેશ કરશે.
[IRV | GU | OT | Psalms | Chapter 118 | Verse 21] હું તમારો આભાર માનીશ, કેમ કે તમે મને ઉત્તર આપ્યો છે અને તમે મારો ઉદ્ધાર કર્યો છો.
[IRV | GU | OT | Psalms | Chapter 118 | Verse 22] જે પથ્થરને ઘર બાંધનારાઓએ નકાર્યો હતો; તે જ ખૂણાનો મુખ્ય પથ્થર થયો છે.
[IRV | GU | OT | Psalms | Chapter 118 | Verse 23] આ કાર્ય તો યહોવાહથી થયું છે; આપણી દ્રષ્ટિમાં તે આશ્ચર્યકારક છે.
[IRV | GU | OT | Psalms | Chapter 118 | Verse 24] આ દિવસ યહોવાહે આપણને આપ્યો છે; તેમાં આપણે આનંદોત્સવ કરીએ.
[IRV | GU | OT | Psalms | Chapter 118 | Verse 25] હે યહોવાહ, કૃપા કરી હવે અમને વિજય આપો.
[IRV | GU | OT | Psalms | Chapter 118 | Verse 26] યહોવાહને નામે જે આવે છે તે આશીર્વાદિત છે; અમે તમને યહોવાહના ઘરમાંથી આશીર્વાદ આપ્યો છે.
[IRV | GU | OT | Psalms | Chapter 118 | Verse 27] યહોવાહ તે જ ઈશ્વર છે અને તેમણે આપણને અજવાળું આપ્યું છે; વેદીનાં શિંગોની સાથે દોરડાંથી બલિદાનને બાંધો.
[IRV | GU | OT | Psalms | Chapter 118 | Verse 28] તમે મારા ઈશ્વર છો અને હું તમારો આભાર માનીશ; તમે મારા ઈશ્વર છો; હું તમને મહાન માનીશ.
[IRV | GU | OT | Psalms | Chapter 118 | Verse 29] યહોવાહનો આભાર માનો; કેમ કે તે ઉત્તમ છે; તેમની કૃપા સર્વકાળ ટકે છે.
