[IRV | GU | OT | Psalms | Chapter 132 | Verse 1] હે યહોવાહ, જે સર્વ કષ્ટો દાઉદે સહન કર્યા તે તેના લાભમાં સંભારો.
[IRV | GU | OT | Psalms | Chapter 132 | Verse 2] તેણે યહોવાહની આગળ કેવા સમ ખાધા, યાકૂબના સમર્થ ઈશ્વરની આગળ તેણે કેવી પ્રતિજ્ઞા લીધી, તેનું સ્મરણ કરો.
[IRV | GU | OT | Psalms | Chapter 132 | Verse 3] તેણે કહ્યું, “જ્યાં સુધી હું યહોવાહને માટે ઘર ન મેળવું; અને યાકૂબના સમર્થ ઈશ્વરને માટે નિવાસસ્થાન તૈયાર ન કરું,
[IRV | GU | OT | Psalms | Chapter 132 | Verse 4] ત્યાં સુધી હું મારા તંબુમાં નહિ આવું અને મારા પલંગ પર નહિ સૂઉં.
[IRV | GU | OT | Psalms | Chapter 132 | Verse 5] વળી મારી આંખોને ઊંઘ અને મારા પોપચાંને નિદ્રા આવવા નહિ દઉં.”
[IRV | GU | OT | Psalms | Chapter 132 | Verse 6] જુઓ, અમે તેના વિષે એફ્રાથાહમાં સાંભળ્યું; અમને તે યેરામના ખેતરોમાં મળ્યો.
[IRV | GU | OT | Psalms | Chapter 132 | Verse 7] ચાલો આપણે ઈશ્વરના મુલાકાતમંડપમાં જઈએ; આપણે તેમના પાયાસનની આગળ તેમની સ્તુતિ કરીએ.
[IRV | GU | OT | Psalms | Chapter 132 | Verse 8] હે યહોવાહ, તમે તમારા વિશ્રામસ્થાનમાં આવવાને ઊઠો.
[IRV | GU | OT | Psalms | Chapter 132 | Verse 9] તમારા યાજકો ન્યાયીપણાથી આશીર્વાદિત થાઓ; તમારા વિશ્વાસુઓ હર્ષનાદ કરો.
[IRV | GU | OT | Psalms | Chapter 132 | Verse 10] તમારા સેવક દાઉદની ખાતર તમારા અભિષિક્ત રાજાનો અસ્વીકાર ન કરો.
[IRV | GU | OT | Psalms | Chapter 132 | Verse 11] યહોવાહે દાઉદની સાથે સત્ય પ્રતિજ્ઞા કરી; “હું તારા રાજ્યાસન પર તારા વંશજોને બેસાડીશ; તેથી તે પ્રતિજ્ઞાભંગ કરશે નહિ.
[IRV | GU | OT | Psalms | Chapter 132 | Verse 12] જો તારા પુત્રો મારો કરાર અને જે નિયમો હું તેઓને શીખવું, તે પાળે; તો તેઓના સંતાનો પણ તારા રાજ્યાસને સદાકાળ બેસશે.”
[IRV | GU | OT | Psalms | Chapter 132 | Verse 13] હે યહોવાહ, તમે સિયોનને પસંદ કર્યું છે; તેમણે પોતાના નિવાસસ્થાનને માટે તેને ઇચ્છ્યું છે.
[IRV | GU | OT | Psalms | Chapter 132 | Verse 14] આ મારું સદાકાળનું વિશ્રામસ્થાન છે; હું અહીં જ રહીશ, કેમ કે મેં તેને ઇચ્છ્યું છે.
[IRV | GU | OT | Psalms | Chapter 132 | Verse 15] હું ચોક્કસ તેની સમૃદ્ધિને આશીર્વાદ આપીશ; હું રોટલીથી તેના કંગાલોને તૃપ્ત કરીશ.
[IRV | GU | OT | Psalms | Chapter 132 | Verse 16] હું તેના યાજકોને ઉદ્ધારનો પોષાક પહેરાવીશ; તેના ભક્તો આનંદથી જયજયકાર કરશે.
[IRV | GU | OT | Psalms | Chapter 132 | Verse 17] ત્યાં હું દાઉદને માટે શિંગ ઊભુ કરીશ; ત્યાં મેં મારા અભિષિક્તને માટે દીવો તૈયાર કર્યો છે.
[IRV | GU | OT | Psalms | Chapter 132 | Verse 18] તેના શત્રુઓને હું શરમથી ઢાંકી દઈશ, પણ તેનો મુગટ પ્રકાશશે.
