[IRV | GU | OT | Psalms | Chapter 78 | Verse 1] મારા લોકો, મારો નિયમ સાંભળો, મારા મુખના શબ્દોને તમે ધ્યાનથી સાંભળો.
[IRV | GU | OT | Psalms | Chapter 78 | Verse 2] હું ડહાપણ વિશેનું ગીત ગાઈશ; હું ભૂતકાળનાં રહસ્યોની વાત સમજાવીશ કે,
[IRV | GU | OT | Psalms | Chapter 78 | Verse 3] જે વાત આપણે સાંભળી છે તથા શીખ્યા છીએ જે આપણા પૂર્વજોએ આપણને કહી છે.
[IRV | GU | OT | Psalms | Chapter 78 | Verse 4] યહોવાહનાં સ્તોત્ર, તેમનું સામર્થ્ય તથા તેમનાં કરેલાં આશ્ચર્યકારક કામો આવતી પેઢીને જાહેર કરીને તેઓના વંશજોથી આપણે તે સંતાડીશું નહિ.
[IRV | GU | OT | Psalms | Chapter 78 | Verse 5] કારણ કે તેમણે યાકૂબ સાથે તેમનો કરાર કર્યો અને ઇઝરાયલમાં નિયમ ઠરાવ્યો. તેમણે આપણા પૂર્વજોને આજ્ઞા કરી કે તેઓ પોતાનાં બાળકોને પણ શીખવે.
[IRV | GU | OT | Psalms | Chapter 78 | Verse 6] જેથી આવતી પેઢીનાં જે બાળકો જન્મે તેઓ તે જાણે, તેઓ મોટાં થઈને પોતાનાં સંતાનોને તે જણાવે, માટે તેમણે આજ્ઞા આપી છે.
[IRV | GU | OT | Psalms | Chapter 78 | Verse 7] જેથી તેઓ સહુ ઈશ્વરની આશા રાખે અને તેમનાં અદ્દભુત કાર્યોને વીસરી જાય નહિ, પણ તેમની આજ્ઞાઓને પાળે.
[IRV | GU | OT | Psalms | Chapter 78 | Verse 8] પછી તેઓ પોતાના પૂર્વજોના જેવા ન થાય, કે જેઓ હઠીલા તથા બંડખોર પેઢીના છે, એવી પેઢી કે જેઓનાં હૃદય સ્થિર નથી અને જેઓનો આત્મા સમર્પિત કે ઈશ્વરને વિશ્વાસુ નથી.
[IRV | GU | OT | Psalms | Chapter 78 | Verse 9] એફ્રાઇમના લોકો શસ્ત્રસજ્જિત ધનુર્ધારી હોવા છતાં પણ લડાઈના દિવસમાં પાછા હઠી ગયા.
[IRV | GU | OT | Psalms | Chapter 78 | Verse 10] તેઓએ ઈશ્વરનો કરાર પાળ્યો નહિ અને તેમના નિયમ પ્રમાણે વર્તવાની ના પાડી.
[IRV | GU | OT | Psalms | Chapter 78 | Verse 11] તેમણે કરેલાં અદ્દભુત કાર્યો, ચમત્કારો તેમણે તેઓને બતાવ્યા હતા તે તેઓ ભૂલી ગયા.
[IRV | GU | OT | Psalms | Chapter 78 | Verse 12] મિસર દેશમાં, સોઆનનાં ક્ષેત્રમાં, તેઓના પૂર્વજોની આગળ તેમણે આશ્ચર્યકારક કૃત્યો કર્યાં.
[IRV | GU | OT | Psalms | Chapter 78 | Verse 13] તેમણે સમુદ્રના બે ભાગ કરીને તેઓને પાર બહાર લાવ્યા; તેમણે દીવાલની જેમ પાણીને સ્થિર રાખ્યાં.
[IRV | GU | OT | Psalms | Chapter 78 | Verse 14] તે તેઓને દિવસે મેઘથી અને આખી રાત અગ્નિના પ્રકાશથી દોરતા.
[IRV | GU | OT | Psalms | Chapter 78 | Verse 15] તેમણે અરણ્યમાં ખડકને તોડીને અને ઊંડાણમાંથી વહેતું હોય તેમ પુષ્કળ પાણી તેઓને આપ્યું.
[IRV | GU | OT | Psalms | Chapter 78 | Verse 16] તેમણે ખડકમાંથી પાણીની ધારો કાઢી અને વહેતી નદીની જેમ પ્રવાહ વહેવડાવ્યો.
[IRV | GU | OT | Psalms | Chapter 78 | Verse 17] તેમ છતાં તેઓએ તેમની વિરુદ્ધ પાપ કરવાનું ચાલુ જ રાખ્યું, અરણ્યમાં પરાત્પરની વિરુદ્ધ તેઓ બંડ કરતા રહ્યા.
