[IRV | GU | OT | Psalms | Chapter 16 | Verse 1] હે ઈશ્વર, મારી રક્ષા કરો, કારણ કે હું તમારા પર ભરોસો રાખું છું.
[IRV | GU | OT | Psalms | Chapter 16 | Verse 2] મેં યહોવાહને કહ્યું છે, “તમે મારા પ્રભુ છો; તમારા વગર મારું કોઈ હિત નથી.
[IRV | GU | OT | Psalms | Chapter 16 | Verse 3] જે સંતો પૃથ્વી પર છે, તેઓ તો ઉમદા લોકો છે; મારો સર્વ આનંદ તેઓમાં છે.
[IRV | GU | OT | Psalms | Chapter 16 | Verse 4] જેઓ બીજા દેવોની પૂજા કરવા દોડે છે, તેઓનાં દુ:ખ વધી પડશે. તેઓના દેવોને માટે લોહીનાં પેયાર્પણ હું ચઢાવીશ નહિ અને મારે હોઠે તેઓનાં નામ લઈશ નહિ.
[IRV | GU | OT | Psalms | Chapter 16 | Verse 5] યહોવાહ, તમે મારા વારસાનો તથા મારા પ્યાલાનો ભાગ છો. તમે મારા હિસ્સાનો આધાર છો.
[IRV | GU | OT | Psalms | Chapter 16 | Verse 6] મારો ભાગ આનંદદાયક સ્થળે પડ્યો છે; ચોક્કસ મને સુશોભિત વારસો મારો છે.
[IRV | GU | OT | Psalms | Chapter 16 | Verse 7] યહોવાહે મને બોધ આપ્યો છે, હું તેમની પ્રશંસા કરું છું; મારું અંતઃકરણ રાતના સમયે મને બોધ આપે છે.
[IRV | GU | OT | Psalms | Chapter 16 | Verse 8] મેં યહોવાહને સદા મારી સમક્ષ રાખ્યા છે, તે મારે જમણે હાથે છે, તેથી મને ખસેડનાર કોઈ નથી.
[IRV | GU | OT | Psalms | Chapter 16 | Verse 9] તેથી મારું હૃદય આનંદમાં છે; મારો આત્મા હર્ષ પામે છે; ચોક્કસ હું સહીસલામત રહીશ.
[IRV | GU | OT | Psalms | Chapter 16 | Verse 10] કારણ કે તમે મારો આત્મા શેઓલને સોંપશો નહિ; તમે તમારા પવિત્રને કહોવાણ જોવા દેશો નહિ.
[IRV | GU | OT | Psalms | Chapter 16 | Verse 11] તમે મને જીવનનો માર્ગ જણાવશો; તમારી સમક્ષ સંપૂર્ણ આનંદ છે; તમારા જમણા હાથમાં અનંતકાળ ટકનારાં સુખદાયક વાનાં છે.
