[IRV | GU | OT | Psalms | Chapter 115 | Verse 1] હે યહોવાહ, અમોને નહિ, અમોને નહિ, કેમ કે તમારી કૃપા અને તમારા વિશ્વાસુપણાને લીધે, તમારું નામ મહિમાવાન મનાઓ,
[IRV | GU | OT | Psalms | Chapter 115 | Verse 2] પ્રજાઓ શા માટે કહે છે, “તેઓના ઈશ્વર ક્યાં છે?”
[IRV | GU | OT | Psalms | Chapter 115 | Verse 3] અમારા ઈશ્વર સ્વર્ગમાં છે; જે તેમણે ઇચ્છ્યું તે સર્વ તેમણે કર્યું.
[IRV | GU | OT | Psalms | Chapter 115 | Verse 4] તેઓની મૂર્તિઓ સોના તથા ચાંદીની જ છે, તેઓ માણસોના હાથનું કામ છે.
[IRV | GU | OT | Psalms | Chapter 115 | Verse 5] તેઓને મુખ છે, પણ તેઓ બોલી શકતી નથી; તેઓને આંખો છે, પણ તેઓ જોઈ શકતી નથી;
[IRV | GU | OT | Psalms | Chapter 115 | Verse 6] તેઓને કાન છે, પણ તેઓ સાંભળી શકતી નથી; તેઓને નાક છે, પણ તેઓ સૂંઘી શકતી નથી.
[IRV | GU | OT | Psalms | Chapter 115 | Verse 7] તેઓને હાથ છે, પણ તેમનો ઉપયોગ કરી શકતી નથી; તેઓને પગ છે, પણ તે ચાલી શકતી નથી; વળી તેઓ પોતાના ગળામાંથી અવાજ કાઢી શકતી નથી.
[IRV | GU | OT | Psalms | Chapter 115 | Verse 8] તેઓના બનાવનારા અને તેઓના પર ભરોસો રાખનારા સર્વ તેઓના જેવા છે.
[IRV | GU | OT | Psalms | Chapter 115 | Verse 9] હે ઇઝરાયલ, યહોવાહ પર ભરોસો રાખ; તે તમારા મદદગાર તથા તમારી ઢાલ છે.
[IRV | GU | OT | Psalms | Chapter 115 | Verse 10] હારુનનું કુટુંબ, યહોવાહ પર ભરોસો રાખો; તે તમારા મદદગાર તથા તમારી ઢાલ છે.
[IRV | GU | OT | Psalms | Chapter 115 | Verse 11] હે યહોવાહના ભક્તો, તેમના પર ભરોસો રાખો; તે તમારા મદદગાર તથા તમારી ઢાલ છે.
[IRV | GU | OT | Psalms | Chapter 115 | Verse 12] યહોવાહે આપણને સંભાર્યા છે અને તે આપણને આશીર્વાદ આપશે; તે ઇઝરાયલના પરિવારને અને હારુનના પરિવારને આશીર્વાદ આપશે.
[IRV | GU | OT | Psalms | Chapter 115 | Verse 13] જે યહોવાહને માન આપે છે, તેવાં નાનાં કે મોટાં બન્નેને તે આશીર્વાદ આપશે.
[IRV | GU | OT | Psalms | Chapter 115 | Verse 14] યહોવાહ તમારી તેમ જ તમારા વંશજોની વૃદ્ધિ કર્યા કરશે.
[IRV | GU | OT | Psalms | Chapter 115 | Verse 15] તમે આકાશ અને પૃથ્વીના ઉત્પન્નકર્તા, યહોવાહના આશીર્વાદ પામ્યા છો.
[IRV | GU | OT | Psalms | Chapter 115 | Verse 16] આકાશો યહોવાહનાં છે; પણ પૃથ્વી તેમણે માણસોને આપી છે.
[IRV | GU | OT | Psalms | Chapter 115 | Verse 17] મૃત્યુ પામેલાઓ અથવા કબરમાં ઊતરનારા તેઓમાંનું કોઈ યહોવાહની સ્તુતિ કરતું નથી.
[IRV | GU | OT | Psalms | Chapter 115 | Verse 18] પણ અમે આજથી તે સર્વકાળ સુધી યહોવાહની સ્તુતિ કરીશું. યહોવાહની સ્તુતિ થાઓ.
