[IRV | GU | OT | Psalms | Chapter 80 | Verse 1] હે ઇઝરાયલનાં પાળક, અમારી પ્રાર્થના સાંભળો; જેમણે યૂસફના લોકોને ઘેટાંની જેમ દોર્યા હતા; કરુબો પર બિરાજમાન અમારા પર પ્રકાશ પાડો!
[IRV | GU | OT | Psalms | Chapter 80 | Verse 2] એફ્રાઇમ, બિન્યામીન તથા મનાશ્શાની આગળ, તમારું સામર્થ્ય પ્રગટ કરો; આવીને અમને બચાવો.
[IRV | GU | OT | Psalms | Chapter 80 | Verse 3] હે ઈશ્વર, અમને પાછા ફેરવો; તમારા મુખનો પ્રકાશ અમારા પર પાડો એટલે અમારો બચાવ થાય.
[IRV | GU | OT | Psalms | Chapter 80 | Verse 4] હે સૈન્યોના ઈશ્વર યહોવાહ, તમારા લોકો તમારી પ્રાર્થના કરે છે, છતાં તમારો કોપ ક્યાં સુધી સળગતો રહેશે.
[IRV | GU | OT | Psalms | Chapter 80 | Verse 5] તમે તમારા લોકોને આંસુવાળી રોટલી ખવડાવી છે અને તેઓને પુષ્કળ આંસુઓ પાયાં છે.
[IRV | GU | OT | Psalms | Chapter 80 | Verse 6] તમે અમને અમારા પડોશીઓને લડવા માટે યુદ્ધના નિશાન બનાવ્યાં છે; અને અમારા શત્રુઓ અંદરોઅંદર અમારી હાંસી કરે છે.
[IRV | GU | OT | Psalms | Chapter 80 | Verse 7] હે સૈન્યોના ઈશ્વર, અમને પાછા ફેરવો; તમારા મુખનો પ્રકાશ અમારા પર પાડો, જેથી અમારો બચાવ થાય.
[IRV | GU | OT | Psalms | Chapter 80 | Verse 8] તમે મિસરમાંથી દ્રાક્ષાવેલો લાવ્યા; તમે વિદેશીઓને હાંકી કાઢીને તેને રોપ્યો.
[IRV | GU | OT | Psalms | Chapter 80 | Verse 9] તમે તેને માટે જગ્યા સાફ કરી; તેમાં મૂળ નાંખ્યા અને તેનાથી દેશ ભરપૂર થયો.
[IRV | GU | OT | Psalms | Chapter 80 | Verse 10] તેની છાયાથી પર્વતો ઢંકાઈ ગયા, તેની વિશાળ લાંબી ડાળીઓ ઈશ્વરના દેવદારો જેવી હતી.
[IRV | GU | OT | Psalms | Chapter 80 | Verse 11] તેણે પોતાની ડાળીઓ સમુદ્ર સુધી પ્રસારી અને તેની ડાળખીઓ ફ્રાત નદી સુધી પ્રસારી.
[IRV | GU | OT | Psalms | Chapter 80 | Verse 12] તમે તેનો દિવાલ એવી રીતે કેમ તોડી છે કે જેથી રસ્તે જતાં મુસાફરો તેની દ્રાક્ષો ચૂંટી લે છે?
[IRV | GU | OT | Psalms | Chapter 80 | Verse 13] જંગલમાંથી ડુક્કરો આવીને તેને બગાડે છે અને રાની પશુઓ તેને ખાઈ જાય છે.
[IRV | GU | OT | Psalms | Chapter 80 | Verse 14] હે સૈન્યોના ઈશ્વર, તમે પાછા આવો, આકાશમાંથી નીચે દ્રષ્ટિ કરો અને ધ્યાનમાં લો તથા આ દ્રાક્ષાવેલાની રક્ષા કરો.
[IRV | GU | OT | Psalms | Chapter 80 | Verse 15] તમે તમારા જમણા હાથે જેને રોપી છે, જે ડાળીને તમે તમારે માટે બળવાન કરી છે, તેનું રક્ષણ કરો.
[IRV | GU | OT | Psalms | Chapter 80 | Verse 16] તેને કાપીને બાળવામાં આવી; તમારા ઠપકાથી તમારા શત્રુઓ નાશ પામે છે.
[IRV | GU | OT | Psalms | Chapter 80 | Verse 17] તમારા જમણા હાથના માણસ પર, એટલે જે માણસના દીકરાને તમે પોતાને માટે બળવાન કરેલો છે તેના પર તમારો હાથ રાખો.
[IRV | GU | OT | Psalms | Chapter 80 | Verse 18] એટલે અમે તમારાથી વિમુખ થઈશું નહિ; અમને પુનર્જીવન આપો અને અમે તમારા નામમાં પ્રાર્થના કરીશું.
[IRV | GU | OT | Psalms | Chapter 80 | Verse 19] હે સૈન્યોના ઈશ્વર યહોવાહ, અમને પાછા ફેરવો; તમારા મુખનો પ્રકાશ અમારા પર પાડો, જેથી અમારો બચાવ થાય.
