[IRV | GU | OT | Psalms | Chapter 136 | Verse 1] યહોવાહની સ્તુતિ કરો, કારણ કે તે ઉત્તમ છે, કેમ કે તેમની કૃપા સદાકાળ ટકે છે.
[IRV | GU | OT | Psalms | Chapter 136 | Verse 2] સર્વોચ્ચ ઈશ્વરની સ્તુતિ કરો, કેમ કે તેમની કૃપા સદાકાળ ટકે છે.
[IRV | GU | OT | Psalms | Chapter 136 | Verse 3] પ્રભુઓના પ્રભુની સ્તુતિ કરો, કેમ કે તેમની કૃપા સદાકાળ ટકે છે.
[IRV | GU | OT | Psalms | Chapter 136 | Verse 4] જે એકલા જ મહાન ચમત્કારો કરનાર છે, તેમની સ્તુતિ કરો, કેમ કે તેમની કૃપા સદાકાળ ટકે છે.
[IRV | GU | OT | Psalms | Chapter 136 | Verse 5] જેમણે પોતાના ડહાપણ વડે આકાશો ઉત્પન્ન કર્યાં છે; તેમની સ્તુતિ કરો, કેમ કે તેમની કૃપા સદાકાળ ટકે છે.
[IRV | GU | OT | Psalms | Chapter 136 | Verse 6] જેમણે પાણી પર ભૂમિને વિસ્તારી છે, તેમની સ્તુતિ કરો, કેમ કે તેમની કૃપા સદાકાળ ટકે છે.
[IRV | GU | OT | Psalms | Chapter 136 | Verse 7] મહાન જ્યોતિઓના બનાવનારની સ્તુતિ કરો, કેમ કે તેમની કૃપા સદાકાળ ટકે છે.
[IRV | GU | OT | Psalms | Chapter 136 | Verse 8] દિવસ પર અમલ ચલાવવા જેમણે સૂર્ય બનાવ્યો છે, તેમની સ્તુતિ કરો, કેમ કે તેમની કૃપા સદાકાળ ટકે છે.
[IRV | GU | OT | Psalms | Chapter 136 | Verse 9] રાત પર અમલ ચલાવવાં જેમણે ચંદ્ર અને તારા બનાવ્યા છે, તેમની સ્તુતિ કરો, કેમ કે તેમની કૃપા સદાકાળ ટકે છે.
[IRV | GU | OT | Psalms | Chapter 136 | Verse 10] મિસરના પ્રથમજનિતોનો જેમણે સંહાર કર્યો; તેમની સ્તુતિ કરો, કેમ કે તેમની કૃપા સદાકાળ ટકે છે.
[IRV | GU | OT | Psalms | Chapter 136 | Verse 11] વળી તેઓની પાસેથી ઇઝરાયલને છોડાવનારની સ્તુતિ કરો; કેમ કે તેમની કૃપા સદાકાળ ટકે છે.
[IRV | GU | OT | Psalms | Chapter 136 | Verse 12] પોતાના બળવાન ભુજ અને લાંબા કરેલા હાથ વડે જે તેઓને છોડાવી લાવ્યા; તેમની સ્તુતિ કરો, કેમ કે તેમની કૃપા સદાકાળ ટકે છે.
[IRV | GU | OT | Psalms | Chapter 136 | Verse 13] તેઓની આગળ માર્ગ કરવા જેમણે લાલ સમુદ્રના બે ભાગ કર્યા, તેમની સ્તુતિ કરો, કેમ કે તેમની કૃપા સદાકાળ ટકે છે.
[IRV | GU | OT | Psalms | Chapter 136 | Verse 14] તેની વચ્ચે થઈને ઇઝરાયલને પાર ઉતારનારાની સ્તુતિ કરો, કેમ કે તેમની કૃપા સદાકાળ ટકે છે.
[IRV | GU | OT | Psalms | Chapter 136 | Verse 15] ફારુન તથા તેની ફોજને લાલ સમુદ્રમાં ડુબાવી દેનારની સ્તુતિ કરો, કેમ કે તેમની કૃપા સદાકાળ ટકે છે.
[IRV | GU | OT | Psalms | Chapter 136 | Verse 16] જે પોતાના લોકોને અરણ્યમાં થઈને દોરી લીધા તેમની સ્તુતિ કરો, કેમ કે તેમની કૃપા સદાકાળ ટકે છે.
[IRV | GU | OT | Psalms | Chapter 136 | Verse 17] જેમણે મોટા રાજાઓને મારી નાખ્યા, તેમની સ્તુતિ કરો. કેમ કે તેમની કૃપા સદાકાળ ટકે છે.
[IRV | GU | OT | Psalms | Chapter 136 | Verse 18] નામાંકિત રાજાઓના સંહારનારની સ્તુતિ કરો, કેમ કે તેમની કૃપા સદાકાળ ટકે છે.
[IRV | GU | OT | Psalms | Chapter 136 | Verse 19] અમોરીઓના રાજા સીહોનને સંહારનારની સ્તુતિ કરો, કેમ કે તેમની કૃપા સદાકાળ ટકે છે.
[IRV | GU | OT | Psalms | Chapter 136 | Verse 20] બાશાનના રાજા ઓગનો જેમણે સંહાર કર્યો; તેમની સ્તુતિ કરો, કેમ કે તેમની કૃપા સદાકાળ ટકે છે.
[IRV | GU | OT | Psalms | Chapter 136 | Verse 21] જેમણે તેઓનો દેશ વારસામાં આપ્યો તેમની સ્તુતિ કરો, કેમ કે તેમની કૃપા સદાકાળ ટકે છે.
[IRV | GU | OT | Psalms | Chapter 136 | Verse 22] જેમણે તે દેશ પોતાના સેવક ઇઝરાયલને વારસામાં આપ્યો તેમની સ્તુતિ કરો, કેમ કે તેમની કૃપા સદાકાળ ટકે છે.
[IRV | GU | OT | Psalms | Chapter 136 | Verse 23] જેમણે અમારી નબળાઈઓમાં અમને સંભાર્યા; તેમની સ્તુતિ કરો, કેમ કે તેમની કૃપા સદાકાળ ટકે છે.
[IRV | GU | OT | Psalms | Chapter 136 | Verse 24] અમારા શત્રુઓ પર જેમણે અમને વિજય અપાવ્યો, તેમની સ્તુતિ કરો, કેમ કે તેમની કૃપા સદાકાળ ટકે છે.
[IRV | GU | OT | Psalms | Chapter 136 | Verse 25] જે બધાં પ્રાણીઓને અન્ન આપે છે; તેમની સ્તુતિ કરો, કેમ કે તેમની કૃપા સદાકાળ ટકે છે.
[IRV | GU | OT | Psalms | Chapter 136 | Verse 26] આકાશના ઈશ્વરની સ્તુતિ કરો, કેમ કે તેમની કૃપા સદાકાળ ટકે છે.
