[IRV | GU | OT | Psalms | Chapter 37 | Verse 1] દુષ્ટતા આચરનારાઓને લીધે તું ખીજવાઈશ નહિ; અન્યાય કરનારાઓની ઈર્ષ્યા કરીશ નહિ.
[IRV | GU | OT | Psalms | Chapter 37 | Verse 2] કારણ કે તેઓ તો જલ્દી ઘાસની માફક કપાઈ જશે લીલા વનસ્પતિની માફક ચીમળાઈ જશે.
[IRV | GU | OT | Psalms | Chapter 37 | Verse 3] યહોવાહ પર ભરોસો રાખ અને ભલું કર; દેશમાં રહે અને વિશ્વાસુપણાની પાછળ લાગ.
[IRV | GU | OT | Psalms | Chapter 37 | Verse 4] પછી તું યહોવાહમાં આનંદ કરીશ અને તે તારા હૃદયની ઇચ્છાઓ પૂરી પાડશે.
[IRV | GU | OT | Psalms | Chapter 37 | Verse 5] તારા માર્ગો યહોવાહને સોંપ; તેમના પર ભરોસો રાખ અને તે તને ફળીભૂત કરશે.
[IRV | GU | OT | Psalms | Chapter 37 | Verse 6] તે તારું ન્યાયીપણું અજવાળાની માફક અને તારા પ્રામાણિકપણાને બપોરની માફક તેજસ્વી કરશે.
[IRV | GU | OT | Psalms | Chapter 37 | Verse 7] યહોવાહની આગળ શાંત થા અને ધીરજથી તેમની રાહ જો. જે પોતાના માર્ગે આબાદ થાય છે અને કુયુક્તિઓથી ફાવી જાય છે, તેને લીધે તું ખીજવાઈશ નહિ.
[IRV | GU | OT | Psalms | Chapter 37 | Verse 8] ખીજવાવાનું બંધ કર અને ગુસ્સો કરીશ નહિ. ચિંતા ન કર; તેથી દુષ્કર્મ જ નીપજે છે.
[IRV | GU | OT | Psalms | Chapter 37 | Verse 9] દુષ્કર્મીઓનો વિનાશ થશે, પણ જેઓ યહોવાહ પર ભરોસો રાખે છે, તેઓ દેશનું વતન પામશે.
[IRV | GU | OT | Psalms | Chapter 37 | Verse 10] થોડા સમયમાં દુષ્ટો હતા ન હતા થશે; તું તેના ઘરને ખંતથી શોધશે, પણ તેનું નામ નિશાન મળશે નહિ.
[IRV | GU | OT | Psalms | Chapter 37 | Verse 11] પણ નમ્ર લોકો દેશનું વતન પામશે અને પુષ્કળ શાંતિમાં તેઓ આનંદ કરશે.
[IRV | GU | OT | Psalms | Chapter 37 | Verse 12] દુષ્ટો ન્યાયીઓની વિરુદ્ધ ખરાબ યુક્તિઓ રચે છે અને તેની સામે પોતાના દાંત પીસે છે.
[IRV | GU | OT | Psalms | Chapter 37 | Verse 13] પ્રભુ તેની હાંસી કરશે, કેમ કે તે જુએ છે કે તેના દિવસો નજીક છે.
[IRV | GU | OT | Psalms | Chapter 37 | Verse 14] નિર્વસ્ત્ર દરિદ્રીને પાડી નાખવાને તથા યથાર્થીને મારી નાખવાને માટે દુષ્ટોએ તલવાર તાણી છે અને પોતાનું ધનુષ્ય ખેંચ્યું છે.
[IRV | GU | OT | Psalms | Chapter 37 | Verse 15] તેઓની પોતાની જ તલવાર તેઓના પોતાના જ હૃદયને વીંધશે અને તેઓના ધનુષ્યને ભાંગી નાંખવામાં આવશે.
[IRV | GU | OT | Psalms | Chapter 37 | Verse 16] નીતિમાન લોકો પાસે જે કંઈ થોડું છે, તે ઘણા દુષ્ટ લોકોની વિપુલ સંપત્તિ કરતાં ઘણું વધારે છે.
[IRV | GU | OT | Psalms | Chapter 37 | Verse 17] કારણ કે દુષ્ટ લોકોના હાથોની શક્તિનો નાશ કરવામાં આવશે, પણ યહોવાહ નીતિમાન લોકોની કાળજી લેશે અને તેઓને ધરી રાખશે.
[IRV | GU | OT | Psalms | Chapter 37 | Verse 18] યહોવાહ ન્યાયીઓની જિંદગીના સર્વ પ્રસંગો જાણે છે અને તેઓનો વારસો સર્વ કાળ ટકી રહેશે
[IRV | GU | OT | Psalms | Chapter 37 | Verse 19] જ્યારે તેઓનો સમય ખરાબ હોય છે, ત્યારે પણ તેઓ શરમાતા નથી. જ્યારે દુકાળ આવે, ત્યારે પણ તેઓ તૃપ્ત થશે.
[IRV | GU | OT | Psalms | Chapter 37 | Verse 20] પણ દુષ્ટો નાશ પામશે. યહોવાહના શત્રુઓ જેમ બળતણનો ધુમાડો થઈ જાય છે; તેમ નાશ પામશે.
[IRV | GU | OT | Psalms | Chapter 37 | Verse 21] દુષ્ટ ઉછીનું લે છે ખરો પણ પાછું આપતો નથી, પણ ન્યાયી કરુણાથી વર્તે છે અને દાન આપે છે.
[IRV | GU | OT | Psalms | Chapter 37 | Verse 22] જેઓ ઈશ્વરથી આશીર્વાદિત છે, તેઓ દેશનો વારસો પામશે, જેઓ તેમનાથી શાપિત છે તેઓનો સંપૂર્ણ વિનાશ થશે.
[IRV | GU | OT | Psalms | Chapter 37 | Verse 23] માણસનો માર્ગ યહોવાહને પસંદ પડે છે અને તે ઈશ્વર તરફના તેના માર્ગો સ્થિર કરે છે.
[IRV | GU | OT | Psalms | Chapter 37 | Verse 24] જો કે તે પડી જાય, તોપણ તે છેક જમીનદોસ્ત થશે નહિ, કેમ કે યહોવાહ તેનો હાથ પકડીને તેને નિભાવશે.
