[IRV | GU | OT | Psalms | Chapter 106 | Verse 1] યહોવાહની સ્તુતિ કરો. યહોવાહનો આભાર માનો, કારણ કે તે ઉત્તમ છે, કેમ કે તેમની કૃપા સદાકાળ ટકે છે.
[IRV | GU | OT | Psalms | Chapter 106 | Verse 2] યહોવાહનાં મહાન કૃત્યો કોણ વર્ણવી શકે? અથવા તેમની સંપૂર્ણ સ્તુતિ કોણ કરી શકે?
[IRV | GU | OT | Psalms | Chapter 106 | Verse 3] જેઓ ન્યાયને અનુસરે છે અને જેઓના કામો હંમેશાં ન્યાયી છે તે આશીર્વાદિત છે.
[IRV | GU | OT | Psalms | Chapter 106 | Verse 4] હે યહોવાહ, જ્યારે તમે તમારા લોકો પર કૃપા કરો, ત્યારે મને યાદ રાખજો; જ્યારે તમે તેઓને બચાવો ત્યારે મને સહાય કરજો.
[IRV | GU | OT | Psalms | Chapter 106 | Verse 5] જેથી હું તમારા પસંદ કરેલાઓનું ભલું જોઉં, તમારી પ્રજાના આનંદમાં હું આનંદ માણું અને તમારા વારસાની સાથે હું હર્ષનાદ કરું.
[IRV | GU | OT | Psalms | Chapter 106 | Verse 6] અમારા પિતૃઓની જેમ અમે પણ પાપ કર્યુ છે; અમે અન્યાય કર્યા છે અને અમે દુષ્ટતા કરી છે.
[IRV | GU | OT | Psalms | Chapter 106 | Verse 7] મિસરમાંના તમારાં ચમત્કારોમાંથી અમારા પિતૃઓ કંઈ સમજ્યા નહિ; તેઓએ તમારી કૃપાનાં કાર્યોની અવગણના કરી; તેઓએ સમુદ્ર પાસે, એટલે રાતા સમુદ્ર પાસે તમારી વિરુદ્ધ બંડ પોકાર્યું.
[IRV | GU | OT | Psalms | Chapter 106 | Verse 8] તોપણ તમે પોતાના નામની ખાતર તેઓને બચાવ્યા કે જેથી તમે પોતાના લોકોને તમારું પરાક્રમ બતાવી શકો.
[IRV | GU | OT | Psalms | Chapter 106 | Verse 9] પ્રભુએ રાતા સમુદ્રને ધમકાવ્યો, એટલે તે સુકાઈ ગયો. એ પ્રમાણે તેમણે જાણે અરણ્યમાં હોય, તેમ ઊંડાણોમાં થઈને તેઓને દોર્યા.
[IRV | GU | OT | Psalms | Chapter 106 | Verse 10] જેઓ તેઓને ધિક્કારે છે તેઓના હાથમાંથી તેમણે તેઓને બચાવ્યા અને દુશ્મનના પરાક્રમથી તેઓને છોડાવ્યા.
[IRV | GU | OT | Psalms | Chapter 106 | Verse 11] તેઓના દુશ્મનો પર પાણી ફરી વળ્યું; તેઓમાંનો એક પણ બચ્યો નહિ.
