[IRV | GU | OT | Psalms | Chapter 148 | Verse 1] યહોવાહની સ્તુતિ કરો. આકાશોથી યહોવાહની સ્તુતિ કરો; ઉચ્ચસ્થાનોમાં તેમની સ્તુતિ કરો.
[IRV | GU | OT | Psalms | Chapter 148 | Verse 2] તેમના સર્વ દૂતો, તમે તેમની સ્તુતિ કરો; તેમનાં સર્વ સૈન્યો, તેમની સ્તુતિ કરો.
[IRV | GU | OT | Psalms | Chapter 148 | Verse 3] સૂર્ય તથા ચંદ્ર, તમે તેમની સ્તુતિ કરો; સર્વ ઝગઝગતાં તારા, તેમની સ્તુતિ કરો.
[IRV | GU | OT | Psalms | Chapter 148 | Verse 4] આકાશોનાં આકાશ, તમે તેમની સ્તુતિ કરો આકાશ ઉપરનાં પાણી, તેમની સ્તુતિ કરો.
[IRV | GU | OT | Psalms | Chapter 148 | Verse 5] યહોવાહના નામની સ્તુતિ તેઓ કરો, કેમ કે તેમની આજ્ઞાથી તેઓ ઉત્પન્ન થયાં.
[IRV | GU | OT | Psalms | Chapter 148 | Verse 6] વળી તેમણે સદાકાળને માટે તેઓને સ્થાપન કર્યાં છે; જેનો અપરાધ તેઓ કરી શકે નહિ, એવો નિયમ તેમણે કર્યો છે.
[IRV | GU | OT | Psalms | Chapter 148 | Verse 7] હે પૃથ્વી પરના બધા જ જીવો, તમે યહોવાહની સ્તુતિ કરો, હે સમુદ્રના જીવો અને મહાસાગરનાં ઊંડાણો, તમે તેમની સ્તુતિ કરો.
[IRV | GU | OT | Psalms | Chapter 148 | Verse 8] અગ્નિ તથા કરા, હિમ તથા મેઘ, આંધીના વાયુ, જે તેમનું વચન પૂરું કરે છે,
[IRV | GU | OT | Psalms | Chapter 148 | Verse 9] પર્વતો તથા ડુંગરો ફળવૃક્ષો તથા સર્વ દેવદારો,
[IRV | GU | OT | Psalms | Chapter 148 | Verse 10] વન્ય જાનવરો તથા સર્વ પશુઓ, પેટે ચાલનારાં જીવજંતુ તથા ઊડનારાં પક્ષીઓ,
[IRV | GU | OT | Psalms | Chapter 148 | Verse 11] પૃથ્વીના રાજાઓ અને સર્વ પ્રજાઓ, રાજકુમારો તથા પૃથ્વીના સર્વ ન્યાયાધીશો,
[IRV | GU | OT | Psalms | Chapter 148 | Verse 12] જુવાન પુરુષો તથા જુવાન સ્ત્રીઓ, વૃદ્ધો તથા બાળકો.
[IRV | GU | OT | Psalms | Chapter 148 | Verse 13] તમે સર્વ યહોવાહની સ્તુતિ કરો, કારણ કે એકલું તેમનું જ નામ પ્રતિષ્ઠાપાત્ર છે અને તેમનું ગૌરવ આકાશ તથા પૃથ્વી કરતાં મોટું છે.
[IRV | GU | OT | Psalms | Chapter 148 | Verse 14] તેમણે પોતાના લોકોનું શિંગ ઊંચું કર્યું છે જેથી તેમના ભક્તો તેમની સ્તુતિ કરે, તેમની પાસેના ઇઝરાયલ લોકોને તેમણે ઊંચા કર્યા છે. યહોવાહની સ્તુતિ કરો.
