[IRV | GU | OT | Psalms | Chapter 116 | Verse 1] હું યહોવાહને પ્રેમ કરું છું કેમ કે તેમણે મારો અવાજ અને મારી વિનંતી સાંભળી છે.
[IRV | GU | OT | Psalms | Chapter 116 | Verse 2] તેમણે મારી તરફ પોતાના કાન ધર્યા છે, મારા જીવનપર્યંત હું તેમની પ્રાર્થના કરીશ.
[IRV | GU | OT | Psalms | Chapter 116 | Verse 3] મરણની જાળમાં હું સપડાઈ ગયો હતો અને મને લાગતું હતું જાણે હું શેઓલમાં હોઉં; મને સંકટ તથા શોક મળ્યાં હતાં.
[IRV | GU | OT | Psalms | Chapter 116 | Verse 4] ત્યારે મેં યહોવાહના નામનો પોકાર કર્યો: “હે યહોવાહ, કૃપા કરીને મારા આત્માને છોડાવો.”
[IRV | GU | OT | Psalms | Chapter 116 | Verse 5] યહોવાહ ન્યાયી તથા કૃપાળુ છે; આપણા ઈશ્વર ખરેખરા માયાળુ છે.
[IRV | GU | OT | Psalms | Chapter 116 | Verse 6] યહોવાહ ભોળા માણસોનું રક્ષણ કરે છે; હું છેક લાચાર બની ગયો હતો અને તેમણે મને બચાવ્યો.
[IRV | GU | OT | Psalms | Chapter 116 | Verse 7] હે મારા આત્મા, તારા વિશ્રામસ્થાનમાં પાછો આવ; કારણ કે યહોવાહ તારી સાથે ઉદારતાથી વર્ત્યા છે.
[IRV | GU | OT | Psalms | Chapter 116 | Verse 8] કેમ કે તમે મારા પ્રાણને મૃત્યુથી, મારી આંખોને આંસુથી અને મારા પગોને લથડવાથી બચાવ્યા છે.
[IRV | GU | OT | Psalms | Chapter 116 | Verse 9] હું જીવલોકમાં યહોવાહની સેવા કરવાનું ચાલુ રાખીશ.
[IRV | GU | OT | Psalms | Chapter 116 | Verse 10] મને તેમનામાં વિશ્વાસ છે માટે હું આમ બોલું છું, “હું ઘણો દુઃખી થઈ ગયો છું.”
[IRV | GU | OT | Psalms | Chapter 116 | Verse 11] મારા ગભરાટમાં મેં કહ્યું, “સર્વ માણસો જૂઠા છે.”
[IRV | GU | OT | Psalms | Chapter 116 | Verse 12] હું યહોવાહના મારા પર થયેલા સર્વ ઉપકારોનો તેમને શો બદલો આપું?
[IRV | GU | OT | Psalms | Chapter 116 | Verse 13] હું ઉદ્ધારનો પ્યાલો લઈને, યહોવાહના નામને વિનંતિ કરીશ.
[IRV | GU | OT | Psalms | Chapter 116 | Verse 14] યહોવાહની આગળ મેં જે સંકલ્પો કર્યા છે, તે હું તેમના સર્વ લોકોની સમક્ષ પૂર્ણ કરીશ.
[IRV | GU | OT | Psalms | Chapter 116 | Verse 15] યહોવાહની દ્રષ્ટિમાં તેમના ભક્તોનું મરણ કિંમતી છે.
[IRV | GU | OT | Psalms | Chapter 116 | Verse 16] હે યહોવાહ, નિશ્ચે, હું તમારો સેવક છું; હું તમારો જ સેવક છું, તમારી સેવિકાનો દીકરો; તમે મારાં બંધન છોડ્યાં છે.
[IRV | GU | OT | Psalms | Chapter 116 | Verse 17] હું તમારા માટે આભારસ્તુતિનાં અર્પણો ચઢાવીશ અને હું યહોવાહના નામે પોકારીશ.
[IRV | GU | OT | Psalms | Chapter 116 | Verse 18] યહોવાહની સમક્ષ લીધેલા સંકલ્પો જે મેં તેમના સર્વ લોકોની સમક્ષ લીધા છે, તે પાળીશ.
[IRV | GU | OT | Psalms | Chapter 116 | Verse 19] હે યરુશાલેમ, તારી અંદર, યહોવાહના ઘરનાં આંગણામાં યહોવાહની સ્તુતિ થાઓ.
