[IRV | GU | OT | Psalms | Chapter 97 | Verse 1] યહોવાહ રાજ કરે છે; પૃથ્વી હરખાઓ; ટાપુઓનો સમૂહ આનંદ પામો.
[IRV | GU | OT | Psalms | Chapter 97 | Verse 2] વાદળો અને અંધકાર તેમની આસપાસ છે. ન્યાયીપણું તથા ન્યાય તેમના રાજ્યાસનનો પાયો છે.
[IRV | GU | OT | Psalms | Chapter 97 | Verse 3] અગ્નિ તેમની આગળ ચાલે છે અને તે તેમની આસપાસના તેમના શત્રુઓને ભસ્મ કરે છે.
[IRV | GU | OT | Psalms | Chapter 97 | Verse 4] તેમની વીજળીઓએ જગતને પ્રકાશિત કર્યું છે; તે જોઈને પૃથ્વી કાંપી.
[IRV | GU | OT | Psalms | Chapter 97 | Verse 5] યહોવાહની સમક્ષ, આખી પૃથ્વીના પ્રભુની સમક્ષ, પર્વતો મીણની જેમ પીગળી ગયા.
[IRV | GU | OT | Psalms | Chapter 97 | Verse 6] આકાશો તેમનું ન્યાયીપણું પ્રગટ કરે છે અને સર્વ લોકોએ તેમનો મહિમા જોયો છે.
[IRV | GU | OT | Psalms | Chapter 97 | Verse 7] મૂર્તિઓની પૂજા કરનારાઓ, મૂર્તિઓમાં અભિમાન કરનારાઓ, ઓ બધી દેવતાઓ! તેમની આગળ પ્રણામ કરો.
[IRV | GU | OT | Psalms | Chapter 97 | Verse 8] હે યહોવાહ, તમારાં ન્યાયનાં કાર્યો વિષે સાંભળીને સિયોન આનંદ પામ્યું અને યહૂદિયાની દીકરીઓ હરખાઈ.
[IRV | GU | OT | Psalms | Chapter 97 | Verse 9] કેમ કે, હે યહોવાહ, તમે સમગ્ર પૃથ્વી પર પરાત્પર છો. તમે સર્વ દેવો કરતાં શ્રેષ્ઠ છો.
[IRV | GU | OT | Psalms | Chapter 97 | Verse 10] હે યહોવાહ પર પ્રેમ કરનારાઓ, તમે દુષ્ટતાને ધિક્કારો! તે પોતાના ભક્તોના આત્માઓનું રક્ષણ કરે છે અને તે તેઓને દુષ્ટોના હાથમાંથી છોડાવે છે.
[IRV | GU | OT | Psalms | Chapter 97 | Verse 11] ન્યાયીઓને અજવાળાથી અને જેઓનાં હૃદય શુદ્ધ છે તેઓને સુખથી ભરપૂર કરવામાં આવે છે.
[IRV | GU | OT | Psalms | Chapter 97 | Verse 12] હે ન્યાયીઓ, તમે યહોવાહમાં આનંદ કરો; અને તેમના પવિત્ર નામની સ્તુતિ કરો.
