[IRV | GU | OT | Psalms | Chapter 73 | Verse 1] ઇઝરાયલ કે, જેઓનાં હૃદય શુદ્ધ છે, તેઓના પર, ઈશ્વર ખરેખર પરોપકારી છે.
[IRV | GU | OT | Psalms | Chapter 73 | Verse 2] પણ મેં તો મારે પગે લગભગ ઠોકર ખાધી હતી; હું પગલાં ભરતાં લગભગ લપસી ગયો હતો.
[IRV | GU | OT | Psalms | Chapter 73 | Verse 3] કારણ કે જ્યારે મેં દુષ્ટોની સમૃદ્ધિ જોઈ, ત્યારે મેં ગર્વિષ્ઠોની અદેખાઈ કરી.
[IRV | GU | OT | Psalms | Chapter 73 | Verse 4] કેમ કે મરણ સમયે તેઓને વેદના થતી નથી, પણ તેઓ મજબૂત અને દ્રઢ રહે છે.
[IRV | GU | OT | Psalms | Chapter 73 | Verse 5] તેઓના પર માનવજાતનાં દુ:ખો આવતાં નથી; બીજાઓની જેમ તેઓને પીડા થતી નથી.
[IRV | GU | OT | Psalms | Chapter 73 | Verse 6] તેઓનો ગર્વ ગળાની કંઠી જેવો છે, જે વસ્ત્રની જેમ જુલમ તેઓને ઢાંકી રાખે છે.
[IRV | GU | OT | Psalms | Chapter 73 | Verse 7] તેઓની દુષ્ટતા તેઓનાં હૃદયમાંથી ઊભરાયા કરે છે; તેઓના મનની દુષ્ટ કલ્પનાઓ ઊભરાઈ જાય છે.
[IRV | GU | OT | Psalms | Chapter 73 | Verse 8] તેઓ નિંદા કરે છે અને ભૂંડાઈ વિષે બોલે છે; તેઓ જુલમની બડાઈ હાંકે છે.
[IRV | GU | OT | Psalms | Chapter 73 | Verse 9] તેઓ આકાશો વિરુદ્ધ બોલે છે અને પૃથ્વીમાં તેઓની જીભ છૂટથી ચાલે છે.
[IRV | GU | OT | Psalms | Chapter 73 | Verse 10] એ માટે ઈશ્વરના લોકો તેમની તરફ ફરશે અને તેઓ ઊભરાતું પાણી પી જાય છે.
[IRV | GU | OT | Psalms | Chapter 73 | Verse 11] તેઓ પૂછે છે કે, “ઈશ્વર કેવી રીતે જાણે છે? શું ચાલી રહ્યું છે તે વિષે ઈશ્વર માહિતગાર છે?”
[IRV | GU | OT | Psalms | Chapter 73 | Verse 12] જુઓ, આ લોકો દુષ્ટ છે; હંમેશાં શાંતિમાં રહીને તેઓ વધારે અને વધારે ધનવાન થતા જાય છે.
[IRV | GU | OT | Psalms | Chapter 73 | Verse 13] ખરેખર મેં મારું હૃદય અમથું શુદ્ધ રાખ્યું છે અને મેં મારા હાથ નિરર્થક નિર્દોષ રાખ્યા છે.
[IRV | GU | OT | Psalms | Chapter 73 | Verse 14] કારણ કે આખો દિવસ હું પીડાયા કરું છું અને દરરોજ સવારે મને શિક્ષા થાય છે.
[IRV | GU | OT | Psalms | Chapter 73 | Verse 15] જો મેં કહ્યું હોત, “હું આ પ્રમાણે બોલીશ,” તો હું તમારા દીકરાઓની પેઢીનો વિશ્વાસઘાત કરત.
[IRV | GU | OT | Psalms | Chapter 73 | Verse 16] તો પણ આ બાબતો સમજવાને માટે મેં કોશિશ કરી, એ મારા માટે ખૂબ અઘરી હતી.
[IRV | GU | OT | Psalms | Chapter 73 | Verse 17] પછી હું ઈશ્વરના પવિત્રસ્થાનમાં ગયો અને ત્યાં તેઓના અંત વિષે હું સમજ્યો.
[IRV | GU | OT | Psalms | Chapter 73 | Verse 18] ચોક્કસ તમે તેઓને લપસણી જગ્યામાં મૂકો છો; તમે તેઓનો વિનાશ કરો છો.
[IRV | GU | OT | Psalms | Chapter 73 | Verse 19] તેઓ એક ક્ષણમાં કેવા નષ્ટ થાય છે! તેઓ ધાકથી છેક નાશ પામેલા છે.
[IRV | GU | OT | Psalms | Chapter 73 | Verse 20] માણસ જાગે કે તરત જ તે જેમ સ્વપ્ન હતું ન હતું થઈ જાય છે, તેમ, હે પ્રભુ, તમે જાગીને તેઓની પ્રતિમાને તુચ્છ કરશો.
[IRV | GU | OT | Psalms | Chapter 73 | Verse 21] કેમ કે મારું હૃદય વ્યાકુળ થયું અને હું બહુ ગંભીર રીતે ઝખમી થયો છું.
[IRV | GU | OT | Psalms | Chapter 73 | Verse 22] હું એવો જડબુદ્ધિનો તથા અજ્ઞાન હતો; હું તમારી આગળ પશુ જેવો હતો.
[IRV | GU | OT | Psalms | Chapter 73 | Verse 23] પણ હું હંમેશા તમારી સાથે છું; તમે મારો જમણો હાથ પકડી રાખ્યો છે.
[IRV | GU | OT | Psalms | Chapter 73 | Verse 24] તમારા બોધથી મને દોરવણી આપશો અને પછી તમારા મહિમામાં મારો સ્વીકાર કરશો.
[IRV | GU | OT | Psalms | Chapter 73 | Verse 25] આકાશમાં તમારા વિના મારું બીજું કોણ છે? પૃથ્વી પર મારો બીજો કોઈ પ્રિય નથી.
[IRV | GU | OT | Psalms | Chapter 73 | Verse 26] મારું શરીર તથા હૃદયનો ક્ષય થાય છે, પણ ઈશ્વર સદાકાળ મારા હૃદયનો ગઢ તથા વારસો છે.
[IRV | GU | OT | Psalms | Chapter 73 | Verse 27] જેઓ તમારાથી દૂર છે તેઓ નાશ પામશે; જેઓ તમને અવિશ્વાસુ છે તે સર્વનો તમે નાશ કરશો.
[IRV | GU | OT | Psalms | Chapter 73 | Verse 28] પણ ઈશ્વર પાસે આવવું, તેમાં મારું ભલું છે. મેં પ્રભુ યહોવાહને મારો આશ્રય કર્યો છે. હું તમારાં સર્વ કૃત્યો પ્રગટ કરીશ.
