[IRV | GU | OT | Psalms | Chapter 140 | Verse 1] હે યહોવાહ, દુષ્ટ માણસોથી મને છોડાવો; જુલમગાર માણસોથી મારું રક્ષણ કરો.
[IRV | GU | OT | Psalms | Chapter 140 | Verse 2] તેઓ પોતાની દુષ્ટ યોજનાઓ ઘડે છે; તેઓ નિત્ય ઝઘડા ઊભા કરે છે.
[IRV | GU | OT | Psalms | Chapter 140 | Verse 3] તેઓએ પોતાની જીભ સાપના જેવી તીક્ષ્ણ બનાવી છે; તેઓની જીભની નીચે નાગનું વિષ છે. સેલાહ
[IRV | GU | OT | Psalms | Chapter 140 | Verse 4] હે યહોવાહ, દુષ્ટોના હાથમાંથી મને બચાવો; જેઓએ મને નુકસાન પહોંચાડવાની યોજના કરી છે; એવા જુલમગાર માણસોથી મારું રક્ષણ કરો.
[IRV | GU | OT | Psalms | Chapter 140 | Verse 5] ગર્વિષ્ઠોએ મારે માટે પાશ તથા દોરીઓ ગુપ્ત રીતે પાથર્યાં છે; તેઓએ રસ્તાની બાજુ પર જાળ બિછાવી છે; મારે માટે ફાંસા ગોઠવ્યા છે. સેલાહ
[IRV | GU | OT | Psalms | Chapter 140 | Verse 6] મેં યહોવાહને કહ્યું, “તમે મારા ઈશ્વર છો; મારી આજીજી સાંભળો.”
[IRV | GU | OT | Psalms | Chapter 140 | Verse 7] હે યહોવાહ, મારા પ્રભુ, તમે મારા ઉદ્ધારના સામર્થ્ય છો; યુદ્ધના દિવસે તમે મારા શિરનું રક્ષણ કરો છો.
[IRV | GU | OT | Psalms | Chapter 140 | Verse 8] હે યહોવાહ, તમે દુષ્ટોની ઇચ્છા પૂરી ન કરો; તેઓની યોજનાઓને સફળ થવા દેશો નહિ. સેલાહ
[IRV | GU | OT | Psalms | Chapter 140 | Verse 9] મને ઘેરો ઘાલનારામાં જેઓ મુખ્ય છે; તેઓના હોઠોથી કરવામાં આવેલો અપકાર તેમના પોતાના ઉપર આવી પડો.
[IRV | GU | OT | Psalms | Chapter 140 | Verse 10] ધગધગતા અંગારા તેમના મસ્તક પર પડો; તેઓને અગ્નિમાં ફેંકી દેવામાં આવે; એવા ઊંડા ખાડાઓમાં નાખવામાં આવે કે જ્યાંથી તેઓ કદી બચી શકે નહિ.”
[IRV | GU | OT | Psalms | Chapter 140 | Verse 11] ખોટું બોલનારાઓને પૃથ્વીમાં રહેવા દેશો નહિ; જુલમગાર માણસને ઉથલાવી પાડવાને દુષ્ટતા તેની પાછળ પડી રહેશે.
[IRV | GU | OT | Psalms | Chapter 140 | Verse 12] હું જાણું છું કે યહોવાહ તો દુઃખીની દાદ સાંભળશે અને ગરીબોનો હક જાળવશે.
[IRV | GU | OT | Psalms | Chapter 140 | Verse 13] નિશ્ચે ન્યાયી માણસ યહોવાહના નામનો આભાર માનશે; યથાર્થ મનુષ્યો તમારી સમક્ષતામાં જીવશે.
