[BSB | EN | NT | 1 Corinthians | Chapter 15 | Verse 1] Now, brothers, I want to remind you of the gospel I preached to you, which you received, and in which you stand firm.
[BSB | EN | NT | 1 Corinthians | Chapter 15 | Verse 2] By this gospel you are saved, if you hold firmly to the word I preached to you. Otherwise, you have believed in vain.
[BSB | EN | NT | 1 Corinthians | Chapter 15 | Verse 3] For what I received I passed on to you as of first importance: that Christ died for our sins according to the Scriptures,
[BSB | EN | NT | 1 Corinthians | Chapter 15 | Verse 4] that He was buried, that He was raised on the third day according to the Scriptures,
[BSB | EN | NT | 1 Corinthians | Chapter 15 | Verse 5] and that He appeared to Cephas and then to the Twelve.
[BSB | EN | NT | 1 Corinthians | Chapter 15 | Verse 6] After that, He appeared to more than five hundred brothers at once, most of whom are still living, though some have fallen asleep.
[BSB | EN | NT | 1 Corinthians | Chapter 15 | Verse 7] Then He appeared to James, then to all the apostles.
[BSB | EN | NT | 1 Corinthians | Chapter 15 | Verse 8] And last of all He appeared to me also, as to one of untimely birth.
[BSB | EN | NT | 1 Corinthians | Chapter 15 | Verse 9] For I am the least of the apostles and am unworthy to be called an apostle, because I persecuted the church of God.
[BSB | EN | NT | 1 Corinthians | Chapter 15 | Verse 10] But by the grace of God I am what I am, and His grace to me was not in vain. No, I worked harder than all of them—yet not I, but the grace of God that was with me.
[BSB | EN | NT | 1 Corinthians | Chapter 15 | Verse 11] Whether, then, it was I or they, this is what we preach, and this is what you believed.
[BSB | EN | NT | 1 Corinthians | Chapter 15 | Verse 12] But if it is preached that Christ has been raised from the dead, how can some of you say that there is no resurrection of the dead?
[BSB | EN | NT | 1 Corinthians | Chapter 15 | Verse 13] If there is no resurrection of the dead, then not even Christ has been raised.
[BSB | EN | NT | 1 Corinthians | Chapter 15 | Verse 14] And if Christ has not been raised, our preaching is worthless, and so is your faith.
[BSB | EN | NT | 1 Corinthians | Chapter 15 | Verse 15] In that case, we are also exposed as false witnesses about God. For we have testified about God that He raised Christ from the dead, but He did not raise Him if in fact the dead are not raised.
[BSB | EN | NT | 1 Corinthians | Chapter 15 | Verse 16] For if the dead are not raised, then not even Christ has been raised.
[BSB | EN | NT | 1 Corinthians | Chapter 15 | Verse 17] And if Christ has not been raised, your faith is futile; you are still in your sins.
[BSB | EN | NT | 1 Corinthians | Chapter 15 | Verse 18] Then those also who have fallen asleep in Christ have perished.
[BSB | EN | NT | 1 Corinthians | Chapter 15 | Verse 19] If our hope in Christ is for this life alone, we are to be pitied more than all men.
[BSB | EN | NT | 1 Corinthians | Chapter 15 | Verse 20] But Christ has indeed been raised from the dead, the firstfruits of those who have fallen asleep.
[BSB | EN | NT | 1 Corinthians | Chapter 15 | Verse 21] For since death came through a man, the resurrection of the dead comes also through a man.
[BSB | EN | NT | 1 Corinthians | Chapter 15 | Verse 22] For as in Adam all die, so in Christ all will be made alive.
[BSB | EN | NT | 1 Corinthians | Chapter 15 | Verse 23] But each in his own turn: Christ the firstfruits; then at His coming, those who belong to Him.
[BSB | EN | NT | 1 Corinthians | Chapter 15 | Verse 24] Then the end will come, when He hands over the kingdom to God the Father after He has destroyed all dominion, authority, and power.
[BSB | EN | NT | 1 Corinthians | Chapter 15 | Verse 25] For He must reign until He has put all His enemies under His feet.
[BSB | EN | NT | 1 Corinthians | Chapter 15 | Verse 26] The last enemy to be destroyed is death.
[BSB | EN | NT | 1 Corinthians | Chapter 15 | Verse 27] For “God has put everything under His feet.” Now when it says that everything has been put under Him, this clearly does not include the One who put everything under Him.
[BSB | EN | NT | 1 Corinthians | Chapter 15 | Verse 28] And when all things have been subjected to Him, then the Son Himself will be made subject to Him who put all things under Him, so that God may be all in all.
[BSB | EN | NT | 1 Corinthians | Chapter 15 | Verse 29] If these things are not so, what will those do who are baptized for the dead? If the dead are not raised at all, why are people baptized for them?
[BSB | EN | NT | 1 Corinthians | Chapter 15 | Verse 30] And why do we endanger ourselves every hour?
[BSB | EN | NT | 1 Corinthians | Chapter 15 | Verse 31] I face death every day, brothers, as surely as I boast about you in Christ Jesus our Lord.
[BSB | EN | NT | 1 Corinthians | Chapter 15 | Verse 32] If I fought wild beasts in Ephesus for human motives, what did I gain? If the dead are not raised, “Let us eat and drink, for tomorrow we die.”
[BSB | EN | NT | 1 Corinthians | Chapter 15 | Verse 33] Do not be deceived: “Bad company corrupts good character.”
[BSB | EN | NT | 1 Corinthians | Chapter 15 | Verse 34] Sober up as you ought, and stop sinning; for some of you are ignorant of God. I say this to your shame.
