[BSB | EN | NT | 1 Corinthians | Chapter 12 | Verse 1] Now about spiritual gifts, brothers, I do not want you to be uninformed.
[BSB | EN | NT | 1 Corinthians | Chapter 12 | Verse 2] You know that when you were pagans, you were influenced and led astray to mute idols.
[BSB | EN | NT | 1 Corinthians | Chapter 12 | Verse 3] Therefore I inform you that no one who is speaking by the Spirit of God says, “Jesus be cursed,” and no one can say, “Jesus is Lord,” except by the Holy Spirit.
[BSB | EN | NT | 1 Corinthians | Chapter 12 | Verse 4] There are different gifts, but the same Spirit.
[BSB | EN | NT | 1 Corinthians | Chapter 12 | Verse 5] There are different ministries, but the same Lord.
[BSB | EN | NT | 1 Corinthians | Chapter 12 | Verse 6] There are different ways of working, but the same God works all things in all people.
[BSB | EN | NT | 1 Corinthians | Chapter 12 | Verse 7] Now to each one the manifestation of the Spirit is given for the common good.
[BSB | EN | NT | 1 Corinthians | Chapter 12 | Verse 8] To one there is given through the Spirit the message of wisdom, to another the message of knowledge by the same Spirit,
[BSB | EN | NT | 1 Corinthians | Chapter 12 | Verse 9] to another faith by the same Spirit, to another gifts of healing by that one Spirit,
[BSB | EN | NT | 1 Corinthians | Chapter 12 | Verse 10] to another the working of miracles, to another prophecy, to another distinguishing between spirits, to another speaking in various tongues, and to still another the interpretation of tongues.
[BSB | EN | NT | 1 Corinthians | Chapter 12 | Verse 11] All these are the work of one and the same Spirit, who apportions them to each one as He determines.
[BSB | EN | NT | 1 Corinthians | Chapter 12 | Verse 12] The body is a unit, though it is composed of many parts. And although its parts are many, they all form one body. So it is with Christ.
[BSB | EN | NT | 1 Corinthians | Chapter 12 | Verse 13] For in one Spirit we were all baptized into one body, whether Jews or Greeks, slave or free, and we were all given one Spirit to drink.
[BSB | EN | NT | 1 Corinthians | Chapter 12 | Verse 14] For the body does not consist of one part, but of many.
[BSB | EN | NT | 1 Corinthians | Chapter 12 | Verse 15] If the foot should say, “Because I am not a hand, I do not belong to the body,” that would not make it any less a part of the body.
[BSB | EN | NT | 1 Corinthians | Chapter 12 | Verse 16] And if the ear should say, “Because I am not an eye, I do not belong to the body,” that would not make it any less a part of the body.
[BSB | EN | NT | 1 Corinthians | Chapter 12 | Verse 17] If the whole body were an eye, where would the sense of hearing be? If the whole body were an ear, where would the sense of smell be?
[BSB | EN | NT | 1 Corinthians | Chapter 12 | Verse 18] But in fact, God has arranged the members of the body, every one of them, according to His design.
[BSB | EN | NT | 1 Corinthians | Chapter 12 | Verse 19] If they were all one part, where would the body be?
[BSB | EN | NT | 1 Corinthians | Chapter 12 | Verse 20] As it is, there are many parts, but one body.
[BSB | EN | NT | 1 Corinthians | Chapter 12 | Verse 21] The eye cannot say to the hand, “I do not need you.” Nor can the head say to the feet, “I do not need you.”
[BSB | EN | NT | 1 Corinthians | Chapter 12 | Verse 22] On the contrary, the parts of the body that seem to be weaker are indispensable,
[BSB | EN | NT | 1 Corinthians | Chapter 12 | Verse 23] and the parts we consider less honorable, we treat with greater honor. And our unpresentable parts are treated with special modesty,
[BSB | EN | NT | 1 Corinthians | Chapter 12 | Verse 24] whereas our presentable parts have no such need. But God has composed the body and has given greater honor to the parts that lacked it,
[BSB | EN | NT | 1 Corinthians | Chapter 12 | Verse 25] so that there should be no division in the body, but that its members should have mutual concern for one another.
[BSB | EN | NT | 1 Corinthians | Chapter 12 | Verse 26] If one part suffers, every part suffers with it; if one part is honored, every part rejoices with it.
[BSB | EN | NT | 1 Corinthians | Chapter 12 | Verse 27] Now you are the body of Christ, and each of you is a member of it.
[BSB | EN | NT | 1 Corinthians | Chapter 12 | Verse 28] And in the church God has appointed first of all apostles, second prophets, third teachers, then workers of miracles, and those with gifts of healing, helping, administration, and various tongues.
[BSB | EN | NT | 1 Corinthians | Chapter 12 | Verse 29] Are all apostles? Are all prophets? Are all teachers? Do all work miracles?
[BSB | EN | NT | 1 Corinthians | Chapter 12 | Verse 30] Do all have gifts of healing? Do all speak in tongues? Do all interpret?
[BSB | EN | NT | 1 Corinthians | Chapter 12 | Verse 31] But eagerly desire the greater gifts. And now I will show you the most excellent way.
