[BSB | EN | NT | 1 Corinthians | Chapter 8 | Verse 1] Now about food sacrificed to idols: We know that we all have knowledge. Knowledge puffs up, but love builds up.
[BSB | EN | NT | 1 Corinthians | Chapter 8 | Verse 2] The one who thinks he knows something does not yet know as he ought to know.
[BSB | EN | NT | 1 Corinthians | Chapter 8 | Verse 3] But the one who loves God is known by God.
[BSB | EN | NT | 1 Corinthians | Chapter 8 | Verse 4] So about eating food sacrificed to idols: We know that an idol is nothing at all in the world, and that there is no God but one.
[BSB | EN | NT | 1 Corinthians | Chapter 8 | Verse 5] For even if there are so-called gods, whether in heaven or on earth (as there are many so-called gods and lords),
[BSB | EN | NT | 1 Corinthians | Chapter 8 | Verse 6] yet for us there is but one God, the Father, from whom all things came and for whom we exist. And there is but one Lord, Jesus Christ, through whom all things came and through whom we exist.
[BSB | EN | NT | 1 Corinthians | Chapter 8 | Verse 7] But not everyone has this knowledge. Some people are still so accustomed to idols that they eat such food as if it were sacrificed to an idol. And since their conscience is weak, it is defiled.
[BSB | EN | NT | 1 Corinthians | Chapter 8 | Verse 8] But food does not bring us closer to God: We are no worse if we do not eat, and no better if we do.
[BSB | EN | NT | 1 Corinthians | Chapter 8 | Verse 9] Be careful, however, that your freedom does not become a stumbling block to the weak.
[BSB | EN | NT | 1 Corinthians | Chapter 8 | Verse 10] For if someone with a weak conscience sees you who are well informed eating in an idol’s temple, will he not be encouraged to eat food sacrificed to idols?
[BSB | EN | NT | 1 Corinthians | Chapter 8 | Verse 11] So this weak brother, for whom Christ died, is destroyed by your knowledge.
[BSB | EN | NT | 1 Corinthians | Chapter 8 | Verse 12] By sinning against your brothers in this way and wounding their weak conscience, you sin against Christ.
[BSB | EN | NT | 1 Corinthians | Chapter 8 | Verse 13] Therefore, if what I eat causes my brother to stumble, I will never eat meat again, so that I will not cause him to stumble.
