[BSB | EN | NT | 1 Corinthians | Chapter 3 | Verse 1] Brothers, I could not address you as spiritual, but as worldly—as infants in Christ.
[BSB | EN | NT | 1 Corinthians | Chapter 3 | Verse 2] I gave you milk, not solid food, for you were not yet ready for solid food. In fact, you are still not ready,
[BSB | EN | NT | 1 Corinthians | Chapter 3 | Verse 3] for you are still worldly. For since there is jealousy and dissension among you, are you not worldly? Are you not walking in the way of man?
[BSB | EN | NT | 1 Corinthians | Chapter 3 | Verse 4] For when one of you says, “I follow Paul,” and another, “I follow Apollos,” are you not mere men?
[BSB | EN | NT | 1 Corinthians | Chapter 3 | Verse 5] What then is Apollos? And what is Paul? They are servants through whom you believed, as the Lord has assigned to each his role.
[BSB | EN | NT | 1 Corinthians | Chapter 3 | Verse 6] I planted the seed and Apollos watered it, but God made it grow.
[BSB | EN | NT | 1 Corinthians | Chapter 3 | Verse 7] So neither he who plants nor he who waters is anything, but only God, who makes things grow.
[BSB | EN | NT | 1 Corinthians | Chapter 3 | Verse 8] He who plants and he who waters are one in purpose, and each will be rewarded according to his own labor.
[BSB | EN | NT | 1 Corinthians | Chapter 3 | Verse 9] For we are God’s fellow workers; you are God’s field, God’s building.
[BSB | EN | NT | 1 Corinthians | Chapter 3 | Verse 10] By the grace God has given me, I laid a foundation as an expert builder, and someone else is building on it. But each one must be careful how he builds.
[BSB | EN | NT | 1 Corinthians | Chapter 3 | Verse 11] For no one can lay a foundation other than the one already laid, which is Jesus Christ.
[BSB | EN | NT | 1 Corinthians | Chapter 3 | Verse 12] If anyone builds on this foundation using gold, silver, precious stones, wood, hay, or straw,
[BSB | EN | NT | 1 Corinthians | Chapter 3 | Verse 13] his workmanship will be evident, because the Day will bring it to light. It will be revealed with fire, and the fire will prove the quality of each man’s work.
[BSB | EN | NT | 1 Corinthians | Chapter 3 | Verse 14] If what he has built survives, he will receive a reward.
[BSB | EN | NT | 1 Corinthians | Chapter 3 | Verse 15] If it is burned up, he will suffer loss. He himself will be saved, but only as if through the flames.
[BSB | EN | NT | 1 Corinthians | Chapter 3 | Verse 16] Do you not know that you yourselves are God’s temple, and that God’s Spirit dwells in you?
[BSB | EN | NT | 1 Corinthians | Chapter 3 | Verse 17] If anyone destroys God’s temple, God will destroy him; for God’s temple is holy, and you are that temple.
[BSB | EN | NT | 1 Corinthians | Chapter 3 | Verse 18] Let no one deceive himself. If any of you thinks he is wise in this age, he should become a fool, so that he may become wise.
[BSB | EN | NT | 1 Corinthians | Chapter 3 | Verse 19] For the wisdom of this world is foolishness in God’s sight. As it is written: “He catches the wise in their craftiness.”
[BSB | EN | NT | 1 Corinthians | Chapter 3 | Verse 20] And again, “The Lord knows that the thoughts of the wise are futile.”
[BSB | EN | NT | 1 Corinthians | Chapter 3 | Verse 21] Therefore, stop boasting in men. All things are yours,
[BSB | EN | NT | 1 Corinthians | Chapter 3 | Verse 22] whether Paul or Apollos or Cephas or the world or life or death or the present or the future. All of them belong to you,
[BSB | EN | NT | 1 Corinthians | Chapter 3 | Verse 23] and you belong to Christ, and Christ belongs to God.
