[DARBY | EN | OT | Ecclesiastes | Chapter 6 | Verse 1] There is an evil that I have seen under the sun, and it is frequent among men:
[DARBY | EN | OT | Ecclesiastes | Chapter 6 | Verse 2] one to whom God giveth riches, wealth, and honour, and he wanteth nothing for his soul of all that he desireth, yet God giveth him not power to eat thereof, but a stranger eateth it: this is vanity, and a sore evil.
[DARBY | EN | OT | Ecclesiastes | Chapter 6 | Verse 3] If a man beget a hundred [sons], and live many years, so that the days of his years be many, but his soul be not filled with good, and also he have no burial, I say an untimely birth is better than he.
[DARBY | EN | OT | Ecclesiastes | Chapter 6 | Verse 4] For it cometh in vanity, and departeth in darkness, and its name is covered with darkness;
[DARBY | EN | OT | Ecclesiastes | Chapter 6 | Verse 5] moreover it hath not seen nor known the sun: this hath rest rather than the other.
[DARBY | EN | OT | Ecclesiastes | Chapter 6 | Verse 6] Yea, though he live twice a thousand years, yet hath he seen no good: do not all go to one place?
[DARBY | EN | OT | Ecclesiastes | Chapter 6 | Verse 7] All the labour of man is for his mouth, and yet the appetite is not filled.
[DARBY | EN | OT | Ecclesiastes | Chapter 6 | Verse 8] For what advantage hath the wise above the fool? what hath the poor, that knoweth to walk before the living?
[DARBY | EN | OT | Ecclesiastes | Chapter 6 | Verse 9] Better is the seeing of the eyes than the wandering of the desire: this also is vanity and pursuit of the wind.
[DARBY | EN | OT | Ecclesiastes | Chapter 6 | Verse 10] That which is hath already been named; and what man is, is known, and that he cannot contend with him that is mightier than he.
[DARBY | EN | OT | Ecclesiastes | Chapter 6 | Verse 11] For there are many things that increase vanity: what is man advantaged?
[DARBY | EN | OT | Ecclesiastes | Chapter 6 | Verse 12] For who knoweth what is good for man in life, all the days of his vain life which he spendeth as a shadow? for who can tell man what shall be after him under the sun?
