[BSB | EN | OT | Leviticus | Chapter 11 | Verse 1] The LORD spoke again to Moses and Aaron, telling them,
[BSB | EN | OT | Leviticus | Chapter 11 | Verse 2] “Say to the Israelites, ‘Of all the beasts of the earth, these ones you may eat:
[BSB | EN | OT | Leviticus | Chapter 11 | Verse 3] You may eat any animal that has a split hoof completely divided and that chews the cud.
[BSB | EN | OT | Leviticus | Chapter 11 | Verse 4] But of those that only chew the cud or only have a divided hoof, you are not to eat the following: The camel, though it chews the cud, does not have a divided hoof; it is unclean for you.
[BSB | EN | OT | Leviticus | Chapter 11 | Verse 5] The rock badger, though it chews the cud, does not have a divided hoof; it is unclean for you.
[BSB | EN | OT | Leviticus | Chapter 11 | Verse 6] The rabbit, though it chews the cud, does not have a divided hoof; it is unclean for you.
[BSB | EN | OT | Leviticus | Chapter 11 | Verse 7] And the pig, though it has a split hoof completely divided, does not chew the cud; it is unclean for you.
[BSB | EN | OT | Leviticus | Chapter 11 | Verse 8] You must not eat their meat or touch their carcasses; they are unclean for you.
[BSB | EN | OT | Leviticus | Chapter 11 | Verse 9] Of all the creatures that live in the water, whether in the seas or in the streams, you may eat anything with fins and scales.
[BSB | EN | OT | Leviticus | Chapter 11 | Verse 10] But the following among all the teeming life and creatures in the water are detestable to you: everything in the seas or streams that does not have fins and scales.
[BSB | EN | OT | Leviticus | Chapter 11 | Verse 11] They shall be an abomination to you; you must not eat their meat, and you must detest their carcasses.
[BSB | EN | OT | Leviticus | Chapter 11 | Verse 12] Everything in the water that does not have fins and scales shall be detestable to you.
[BSB | EN | OT | Leviticus | Chapter 11 | Verse 13] Additionally, you are to detest the following birds, and they must not be eaten because they are detestable: the eagle, the bearded vulture, the black vulture,
[BSB | EN | OT | Leviticus | Chapter 11 | Verse 14] the kite, any kind of falcon,
[BSB | EN | OT | Leviticus | Chapter 11 | Verse 15] any kind of raven,
[BSB | EN | OT | Leviticus | Chapter 11 | Verse 16] the ostrich, the screech owl, the gull, any kind of hawk,
[BSB | EN | OT | Leviticus | Chapter 11 | Verse 17] the little owl, the cormorant, the great owl,
[BSB | EN | OT | Leviticus | Chapter 11 | Verse 18] the white owl, the desert owl, the osprey,
[BSB | EN | OT | Leviticus | Chapter 11 | Verse 19] the stork, any kind of heron, the hoopoe, and the bat.
[BSB | EN | OT | Leviticus | Chapter 11 | Verse 20] All flying insects that walk on all fours are detestable to you.
