[BSB | EN | OT | Leviticus | Chapter 3 | Verse 1] “If one’s offering is a peace offering and he offers an animal from the herd, whether male or female, he must present it without blemish before the LORD.
[BSB | EN | OT | Leviticus | Chapter 3 | Verse 2] He is to lay his hand on the head of the offering and slaughter it at the entrance to the Tent of Meeting. Then Aaron’s sons the priests shall sprinkle the blood on all sides of the altar.
[BSB | EN | OT | Leviticus | Chapter 3 | Verse 3] From the peace offering he is to bring an offering made by fire to the LORD: the fat that covers the entrails, all the fat that is on them,
[BSB | EN | OT | Leviticus | Chapter 3 | Verse 4] both kidneys with the fat on them near the loins, and the lobe of the liver, which he is to remove with the kidneys.
[BSB | EN | OT | Leviticus | Chapter 3 | Verse 5] Then Aaron’s sons are to burn it on the altar atop the burnt offering that is on the burning wood, as an offering made by fire, a pleasing aroma to the LORD.
[BSB | EN | OT | Leviticus | Chapter 3 | Verse 6] If, however, one’s peace offering to the LORD is from the flock, he must present a male or female without blemish.
[BSB | EN | OT | Leviticus | Chapter 3 | Verse 7] If he is presenting a lamb for his offering, he must present it before the LORD.
[BSB | EN | OT | Leviticus | Chapter 3 | Verse 8] He is to lay his hand on the head of his offering and slaughter it in front of the Tent of Meeting. Then Aaron’s sons shall sprinkle its blood on all sides of the altar.
[BSB | EN | OT | Leviticus | Chapter 3 | Verse 9] And from the peace offering he shall bring an offering made by fire to the LORD consisting of its fat: the entire fat tail cut off close to the backbone, the fat that covers the entrails, all the fat that is on them,
[BSB | EN | OT | Leviticus | Chapter 3 | Verse 10] both kidneys with the fat on them near the loins, and the lobe of the liver, which he is to remove with the kidneys.
[BSB | EN | OT | Leviticus | Chapter 3 | Verse 11] Then the priest is to burn them on the altar as food, an offering made by fire to the LORD.
[BSB | EN | OT | Leviticus | Chapter 3 | Verse 12] If one’s offering is a goat, he is to present it before the LORD.
[BSB | EN | OT | Leviticus | Chapter 3 | Verse 13] He must lay his hand on its head and slaughter it in front of the Tent of Meeting. Then Aaron’s sons shall sprinkle its blood on all sides of the altar.
[BSB | EN | OT | Leviticus | Chapter 3 | Verse 14] And from his offering he shall present an offering made by fire to the LORD: the fat that covers the entrails, all the fat that is on them,
[BSB | EN | OT | Leviticus | Chapter 3 | Verse 15] both kidneys with the fat on them near the loins, and the lobe of the liver, which he is to remove with the kidneys.
[BSB | EN | OT | Leviticus | Chapter 3 | Verse 16] Then the priest is to burn the food on the altar as an offering made by fire, a pleasing aroma. All the fat is the LORD’s.
[BSB | EN | OT | Leviticus | Chapter 3 | Verse 17] This is a permanent statute for the generations to come, wherever you live: You must not eat any fat or any blood.”
