[BSB | EN | OT | Leviticus | Chapter 6 | Verse 1] And the LORD said to Moses,
[BSB | EN | OT | Leviticus | Chapter 6 | Verse 2] “If someone sins and acts unfaithfully against the LORD by deceiving his neighbor in regard to a deposit or security entrusted to him or stolen, or if he extorts his neighbor
[BSB | EN | OT | Leviticus | Chapter 6 | Verse 3] or finds lost property and lies about it and swears falsely, or if he commits any such sin that a man might commit—
[BSB | EN | OT | Leviticus | Chapter 6 | Verse 4] once he has sinned and becomes guilty, he must return what he has stolen or taken by extortion, or the deposit entrusted to him, or the lost property he found,
[BSB | EN | OT | Leviticus | Chapter 6 | Verse 5] or anything else about which he has sworn falsely. He must make restitution in full, add a fifth of the value, and pay it to the owner on the day he acknowledges his guilt.
[BSB | EN | OT | Leviticus | Chapter 6 | Verse 6] Then he must bring to the priest his guilt offering to the LORD: an unblemished ram of proper value from the flock.
[BSB | EN | OT | Leviticus | Chapter 6 | Verse 7] In this way the priest will make atonement for him before the LORD, and he will be forgiven for anything he may have done to incur guilt.”
[BSB | EN | OT | Leviticus | Chapter 6 | Verse 8] Then the LORD said to Moses,
[BSB | EN | OT | Leviticus | Chapter 6 | Verse 9] “Command Aaron and his sons that this is the law of the burnt offering: The burnt offering is to remain on the hearth of the altar all night, until morning, and the fire must be kept burning on the altar.
[BSB | EN | OT | Leviticus | Chapter 6 | Verse 10] And the priest shall put on his linen robe and linen undergarments, and he shall remove from the altar the ashes of the burnt offering that the fire has consumed and place them beside it.
[BSB | EN | OT | Leviticus | Chapter 6 | Verse 11] Then he must take off his garments, put on other clothes, and carry the ashes outside the camp to a ceremonially clean place.
[BSB | EN | OT | Leviticus | Chapter 6 | Verse 12] The fire on the altar shall be kept burning; it must not be extinguished. Every morning the priest is to add wood to the fire, arrange the burnt offering on it, and burn the fat portions of the peace offerings on it.
[BSB | EN | OT | Leviticus | Chapter 6 | Verse 13] The fire shall be kept burning on the altar continually; it must not be extinguished.
[BSB | EN | OT | Leviticus | Chapter 6 | Verse 14] Now this is the law of the grain offering: Aaron’s sons shall present it before the LORD in front of the altar.
[BSB | EN | OT | Leviticus | Chapter 6 | Verse 15] The priest is to remove a handful of fine flour and olive oil, together with all the frankincense from the grain offering, and burn the memorial portion on the altar as a pleasing aroma to the LORD.
[BSB | EN | OT | Leviticus | Chapter 6 | Verse 16] Aaron and his sons are to eat the remainder. It must be eaten without leaven in a holy place; they are to eat it in the courtyard of the Tent of Meeting.
[BSB | EN | OT | Leviticus | Chapter 6 | Verse 17] It must not be baked with leaven; I have assigned it as their portion of My offerings made by fire. It is most holy, like the sin offering and the guilt offering.
[BSB | EN | OT | Leviticus | Chapter 6 | Verse 18] Any male among the sons of Aaron may eat it. This is a permanent portion from the offerings made by fire to the LORD for the generations to come. Anything that touches them will become holy.”
[BSB | EN | OT | Leviticus | Chapter 6 | Verse 19] Then the LORD said to Moses,
[BSB | EN | OT | Leviticus | Chapter 6 | Verse 20] “This is the offering that Aaron and his sons must present to the LORD on the day he is anointed: a tenth of an ephah of fine flour as a regular grain offering, half of it in the morning and half in the evening.
[BSB | EN | OT | Leviticus | Chapter 6 | Verse 21] It shall be prepared with oil on a griddle; you are to bring it well-kneaded and present it as a grain offering broken in pieces, a pleasing aroma to the LORD.
[BSB | EN | OT | Leviticus | Chapter 6 | Verse 22] The priest, who is one of Aaron’s sons and will be anointed to take his place, is to prepare it. As a permanent portion for the LORD, it must be burned completely.
[BSB | EN | OT | Leviticus | Chapter 6 | Verse 23] Every grain offering for a priest shall be burned completely; it is not to be eaten.”
