[BSB | EN | NT | Philippians | Chapter 4 | Verse 1] Therefore, my brothers, whom I love and long for, my joy and crown, that is how you must stand firm in the Lord, my beloved.
[BSB | EN | NT | Philippians | Chapter 4 | Verse 2] I urge Euodia and Syntyche to agree with each other in the Lord.
[BSB | EN | NT | Philippians | Chapter 4 | Verse 3] Yes, and I ask you, my true yokefellow, to help these women who have labored with me for the gospel, along with Clement and the rest of my fellow workers, whose names are in the Book of Life.
[BSB | EN | NT | Philippians | Chapter 4 | Verse 4] Rejoice in the Lord always. I will say it again: Rejoice!
[BSB | EN | NT | Philippians | Chapter 4 | Verse 5] Let your gentleness be apparent to all. The Lord is near.
[BSB | EN | NT | Philippians | Chapter 4 | Verse 6] Be anxious for nothing, but in everything, by prayer and petition, with thanksgiving, present your requests to God.
[BSB | EN | NT | Philippians | Chapter 4 | Verse 7] And the peace of God, which surpasses all understanding, will guard your hearts and your minds in Christ Jesus.
[BSB | EN | NT | Philippians | Chapter 4 | Verse 8] Finally, brothers, whatever is true, whatever is honorable, whatever is right, whatever is pure, whatever is lovely, whatever is admirable—if anything is excellent or praiseworthy—think on these things.
[BSB | EN | NT | Philippians | Chapter 4 | Verse 9] Whatever you have learned or received or heard from me, or seen in me, put it into practice. And the God of peace will be with you.
[BSB | EN | NT | Philippians | Chapter 4 | Verse 10] Now I rejoice greatly in the Lord that at last you have revived your concern for me. You were indeed concerned, but you had no opportunity to show it.
[BSB | EN | NT | Philippians | Chapter 4 | Verse 11] I am not saying this out of need, for I have learned to be content regardless of my circumstances.
[BSB | EN | NT | Philippians | Chapter 4 | Verse 12] I know how to live humbly, and I know how to abound. I am accustomed to any and every situation—to being filled and being hungry, to having plenty and having need.
[BSB | EN | NT | Philippians | Chapter 4 | Verse 13] I can do all things through Christ who gives me strength.
[BSB | EN | NT | Philippians | Chapter 4 | Verse 14] Nevertheless, you have done well to share in my affliction.
[BSB | EN | NT | Philippians | Chapter 4 | Verse 15] And as you Philippians know, in the early days of the gospel, when I left Macedonia, no church but you partnered with me in the matter of giving and receiving.
[BSB | EN | NT | Philippians | Chapter 4 | Verse 16] For even while I was in Thessalonica, you provided for my needs again and again.
[BSB | EN | NT | Philippians | Chapter 4 | Verse 17] Not that I am seeking a gift, but I am looking for the fruit that may be credited to your account.
[BSB | EN | NT | Philippians | Chapter 4 | Verse 18] I have all I need and more, now that I have received your gifts from Epaphroditus. They are a fragrant offering, an acceptable sacrifice, well-pleasing to God.
[BSB | EN | NT | Philippians | Chapter 4 | Verse 19] And my God will supply all your needs according to His glorious riches in Christ Jesus.
[BSB | EN | NT | Philippians | Chapter 4 | Verse 20] To our God and Father be glory forever and ever. Amen.
[BSB | EN | NT | Philippians | Chapter 4 | Verse 21] Greet all the saints in Christ Jesus. The brothers who are with me send you greetings.
[BSB | EN | NT | Philippians | Chapter 4 | Verse 22] All the saints send you greetings, especially those from the household of Caesar.
[BSB | EN | NT | Philippians | Chapter 4 | Verse 23] The grace of the Lord Jesus Christ be with your spirit.
