[IRV | GU | OT | Genesis | Chapter 36 | Verse 1] એસાવ એટલે અદોમની વંશાવળી આ છે.
[IRV | GU | OT | Genesis | Chapter 36 | Verse 2] એસાવે કનાનીઓની દીકરીઓ સાથે લગ્ન કર્યા. આ તેની પત્નીઓ હતી: આદા જે એલોન હિત્તીની દીકરી; ઓહોલીબામાહ જે સિબયોન હિવ્વીની દીકરી અનાની દીકરી હતી,
[IRV | GU | OT | Genesis | Chapter 36 | Verse 3] અને બાસમાથ જે ઇશ્માએલની દીકરી, નબાયોથની બહેન.
[IRV | GU | OT | Genesis | Chapter 36 | Verse 4] આદાએ એસાવને માટે અલિફાઝને જન્મ આપ્યો અને બાસમાથે રેઉએલને જન્મ આપ્યો.
[IRV | GU | OT | Genesis | Chapter 36 | Verse 5] ઓહોલીબામાહએ યેઉશ, યાલામ તથા કોરાને જન્મ આપ્યાં. એસાવને કનાન દેશમાં જે દીકરા જન્મ્યા હતા તેઓ એ હતા.
[IRV | GU | OT | Genesis | Chapter 36 | Verse 6] એસાવ તેની પત્નીઓ, તેના દીકરા, તેની દીકરીઓ, તેના ઘરના સર્વ લોકો, તેનાં સર્વ જાનવરો, તથા તેની સર્વ માલમિલકત જે તેણે કનાન દેશમાં મેળવી હતી, તે સર્વ લઈને તેના ભાઈ યાકૂબની પાસેથી બીજા દેશમાં ગયો.
[IRV | GU | OT | Genesis | Chapter 36 | Verse 7] તેણે આમ કર્યું કેમ કે તેઓની સંપત્તિ એટલી બધી હતી કે તેઓ એકસાથે રહી શકે તેમ ન હતું. જે દેશમાં તેઓ રહેતા હતા ત્યાં તેઓનાં જાનવરોને લીધે તેઓને કોઈ આશરો ન મળ્યો.
[IRV | GU | OT | Genesis | Chapter 36 | Verse 8] તેથી એસાવ એટલે જે અદોમ કહેવાય છે તેણે સેઈર પહાડ પર જઈને વસવાટ કર્યો.
[IRV | GU | OT | Genesis | Chapter 36 | Verse 9] સેઈર પહાડ પરના અદોમી લોકના પૂર્વજ, એસાવની વંશાવળી આ પ્રમાણે છે.
[IRV | GU | OT | Genesis | Chapter 36 | Verse 10] એસાવના દીકરાઓ: એસાવની પત્ની આદાનો દીકરો અલિફાઝ; અને એસાવની પત્ની બાસમાથનો દીકરો રેઉએલ.
[IRV | GU | OT | Genesis | Chapter 36 | Verse 11] તેમાન, ઓમાર, સફો, ગાતામ તથા કનાઝ એ અલિફાઝના દીકરા હતા.
[IRV | GU | OT | Genesis | Chapter 36 | Verse 12] એસાવના દીકરા અલિફાઝની ઉપપત્ની તિમ્ના હતી, તેણે અલિફાઝને માટે અમાલેકને જન્મ આપ્યો. એસાવની પત્ની આદાના દીકરા એ છે.
[IRV | GU | OT | Genesis | Chapter 36 | Verse 13] રેઉએલના દીકરા આ છે: નાહાથ, ઝેરાહ, શામ્મા તથા મિઝઝા. આ એસાવની પત્ની બાસમાથના દીકરા હતા.
[IRV | GU | OT | Genesis | Chapter 36 | Verse 14] સિબયોનની દીકરી અનાની દીકરી ઓહોલીબામાહ જે એસાવની પત્ની હતી તેના દીકરા આ છે: તેણે યેઉશ, યાલામ તથા કોરાને જન્મ આપ્યો.
[IRV | GU | OT | Genesis | Chapter 36 | Verse 15] એસાવના વંશજોનાં સરદારો આ હતાં: એસાવના જ્યેષ્ઠ દીકરા અલિફાઝના દીકરા: તેમાન, ઓમાર, સફો, કનાઝ,
[IRV | GU | OT | Genesis | Chapter 36 | Verse 16] કોરા, ગાતામ તથા અમાલેક હતા. જે સરદારો અલિફાઝથી અદોમ દેશમાં થયા તેઓ એ છે. તેઓ આદાના પૌત્રો હતા.
[IRV | GU | OT | Genesis | Chapter 36 | Verse 17] એસાવના દીકરા રેઉએલના કુટુંબો આ છે: નાહાથ, ઝેરાહ, શામ્મા, મિઝઝા. એ વંશજો રેઉએલથી અદોમ દેશમાં થયા. એ એસાવની પત્ની બાસમાથના દીકરા હતા.
[IRV | GU | OT | Genesis | Chapter 36 | Verse 18] એસાવની પત્ની ઓહોલીબામાહના દીકરા આ છે: યેઉશ, યાલામ, કોરા. એ સરદારોને એસાવની પત્ની ઓહોલીબામાહ જે અનાની દીકરી હતી તેણે જન્મ આપ્યાં હતા.
[IRV | GU | OT | Genesis | Chapter 36 | Verse 19] એસાવના દીકરા અને તેઓના સરદારો આ છે.
[IRV | GU | OT | Genesis | Chapter 36 | Verse 20] સેઈર હોરીના દીકરા જે દેશના રહેવાસીઓ હતા તેઓ આ છે: લોટાન, શોબાલ, સિબયોન, અના,
[IRV | GU | OT | Genesis | Chapter 36 | Verse 21] દિશોન, એસેર તથા દિશાન. તે સેઈર હોરીઓના કુટુંબનાં સરદારો જે અદોમ દેશમાં થયા એ હતા.
[IRV | GU | OT | Genesis | Chapter 36 | Verse 22] લોટાનના દીકરા હોરી તથા હોમામ હતા. તિમ્ના લોટાનની બહેન હતી.
[IRV | GU | OT | Genesis | Chapter 36 | Verse 23] શોબાલના દીકરા આ છે, એટલે આલ્વાન, માનાહાથ, એબાલ, શફો તથા ઓનામ.
[IRV | GU | OT | Genesis | Chapter 36 | Verse 24] સિબયોનના દીકરા આ છે, એટલે એયાહ તથા અના, જેને તેના પિતા સિબોનનાં ગધેડાં ચરાવતાં અરણ્યમાં ગરમ પાણીનાં ઝરા મળ્યા હતા તે એ છે.
[IRV | GU | OT | Genesis | Chapter 36 | Verse 25] અનાનાં સંતાનો આ છે: દિશોન તથા અનાની દીકરી ઓહોલીબામાહ.
[IRV | GU | OT | Genesis | Chapter 36 | Verse 26] દિશોનના દીકરા આ છે; હેમ્દાન, એશ્બાન, યિથ્રાન તથા ખરાન.
[IRV | GU | OT | Genesis | Chapter 36 | Verse 27] એસેરના દીકરા આ છે; બિલ્હાન, ઝાવાન, તથા અકાન.
[IRV | GU | OT | Genesis | Chapter 36 | Verse 28] દિશાનના દીકરા આ છે; ઉસ તથા આરાન.
[IRV | GU | OT | Genesis | Chapter 36 | Verse 29] હોરીઓના સરદારો આ છે; લોટાન, શોબાલ, સિબયોન તથા અના.
[IRV | GU | OT | Genesis | Chapter 36 | Verse 30] દિશોન, એસેર, દિશાન; સેઈર દેશમાં સરદારોની યાદી પ્રમાણે હોરીઓનું કુટુંબ એ છે.
[IRV | GU | OT | Genesis | Chapter 36 | Verse 31] ઇઝરાયલીઓ પર કોઈ રાજાએ રાજ્ય કર્યા પહેલા અદોમ દેશમાં જે રાજાઓ રાજ્ય કરતા હતા તે આ છે:
[IRV | GU | OT | Genesis | Chapter 36 | Verse 32] બેઓરનો દીકરો બેલા અદોમમાં રાજ્ય કરતો હતો અને તેના શહેરનું નામ દિનહાબા હતું.
[IRV | GU | OT | Genesis | Chapter 36 | Verse 33] જયારે બેલા મૃત્યુ પામ્યો, ત્યારે તેની જગ્યાએ બોસરામાંના ઝેરાહનો દીકરો યોબાબ રાજા થયો.
[IRV | GU | OT | Genesis | Chapter 36 | Verse 34] જયારે યોબાબ મૃત્યુ પામ્યો ત્યારે તેની જગ્યાએ તેમાન દેશના હુશામે રાજ કર્યું.
[IRV | GU | OT | Genesis | Chapter 36 | Verse 35] જયારે હુશામ મૃત્યુ પામ્યો ત્યારે તેની જગ્યાએ બદાદના દીકરા હદાદે રાજ કર્યું. તેણે મોઆબના પ્રદેશમાં મિદ્યાનીઓને હરાવ્યા હતા. તેના શહેરનું નામ અવીથ હતું.
[IRV | GU | OT | Genesis | Chapter 36 | Verse 36] જ્યારે હદાદ મૃત્યુ પામ્યો ત્યારે તેની જગ્યાએ માસરેકામાંના સામ્લાએ રાજ કર્યું.
[IRV | GU | OT | Genesis | Chapter 36 | Verse 37] જયારે સામ્લા મૃત્યુ પામ્યો ત્યારે તેની જગ્યાએ નદી પાસેના રહોબોથના શાઉલે રાજ કર્યું.
[IRV | GU | OT | Genesis | Chapter 36 | Verse 38] જયારે શાઉલ મૃત્યુ પામ્યો ત્યારે તેની જગ્યાએ આખ્બોરના દીકરા બાલ-હનાને રાજ કર્યું.
[IRV | GU | OT | Genesis | Chapter 36 | Verse 39] જયારે આખ્બોરનો દીકરો બાલ-હનાન મૃત્યુ પામ્યો ત્યારે તેની જગ્યાએ હદારે રાજ કર્યું. તેના શહેરનું નામ પાઉ હતું. તેની પત્નીનું નામ મહેટાબેલ હતું, તે માટ્રેદની દીકરી, મેઝાહાબની પૌત્રી હતી.
[IRV | GU | OT | Genesis | Chapter 36 | Verse 40] એસાવના વંશજોના, તેમના કુટુંબનાં આગેવાનોના નામ તેમના પ્રદેશ પ્રમાણે આ છે: તિમ્ના, આલ્વાહ, યથેથ,
[IRV | GU | OT | Genesis | Chapter 36 | Verse 41] ઓહોલીબામાહ, એલા, પીનોન,
[IRV | GU | OT | Genesis | Chapter 36 | Verse 42] કનાઝ, તેમાન, મિબ્સાર,
[IRV | GU | OT | Genesis | Chapter 36 | Verse 43] માગ્દીએલ તથા ઇરામ; તેઓએ કબજે કરેલ દેશમાં તેમના વતન પ્રમાણે અદોમના કુટુંબોના વડા એ છે. અદોમીઓનો પિતા એસાવ છે.
