[IRV | GU | OT | Genesis | Chapter 4 | Verse 1] આદમે પોતાની પત્ની હવાને જાણી અને તે ગર્ભવતી થઈ અને તેણે પુત્ર કાઈનને જન્મ આપ્યો. તેણે કહ્યું, “ઈશ્વરની કૃપાથી મને દીકરો જન્મ્યો છે.”
[IRV | GU | OT | Genesis | Chapter 4 | Verse 2] પછી તેણે બીજા પુત્ર હાબેલને જન્મ આપ્યો. બન્ને ભાઈઓમાંનો હાબેલ ઘેટાંપાળક હતો અને કાઈન ખેડૂત હતો.
[IRV | GU | OT | Genesis | Chapter 4 | Verse 3] આગળ જતા એમ થયું કે કાઈન ઈશ્વરને માટે ભૂમિનાં ફળમાંથી કંઈક અર્પણ લાવ્યો.
[IRV | GU | OT | Genesis | Chapter 4 | Verse 4] હાબેલ પોતાનાં ઘેટાંબકરાંમાંનાં પ્રથમ જન્મેલાં તથા ઉત્તમ અર્પણો લાવ્યો. ઈશ્વરે હાબેલને તથા તેના અર્પણને માન્ય કર્યાં,
[IRV | GU | OT | Genesis | Chapter 4 | Verse 5] પણ કાઈનને તથા તેના અર્પણને અમાન્ય કર્યાં. તેથી કાઈન ઘણો ગુસ્સે થયો અને તેનું મોં ઊતરી ગયું.
[IRV | GU | OT | Genesis | Chapter 4 | Verse 6] યહોવાહે કાઈનને કહ્યું કે, “તને શા માટે ગુસ્સો આવ્યો છે અને તારું મોં ઊતરી ગયું છે?
[IRV | GU | OT | Genesis | Chapter 4 | Verse 7] જે સારું છે તે તું કરે, તો શું તું માન્ય નહિ થશે? પણ જે સારું છે તે તું નહિ કરે, તો પાપ તારે દ્વારે રહે છે અને તે તેની તરફ તારું આકર્ષણ કરશે, પણ તું તેના પર જીત મેળવી શકીશ.”
[IRV | GU | OT | Genesis | Chapter 4 | Verse 8] કાઈને પોતાના ભાઈ હાબેલ સાથે વાત કર્યો જયારે તેઓ ખેતરમાં હતા, ત્યારે ત્યાં કાઈને પોતાના ભાઈ હાબેલ વિરુદ્ધ ઊઠીને તેને મારી નાખ્યો.
[IRV | GU | OT | Genesis | Chapter 4 | Verse 9] પછી ઈશ્વરે કાઈનને કહ્યું, “તારો ભાઈ હાબેલ ક્યાં છે? “તેણે કહ્યું, “હું જાણતો નથી? શું હું મારા ભાઈનો રખેવાળ છું?”
[IRV | GU | OT | Genesis | Chapter 4 | Verse 10] ઈશ્વરે કહ્યું, “આ તેં શું કર્યું છે? તારા ભાઈનું લોહી ભૂમિમાંથી બદલો લેવા માટે મને હાંક મારે છે.
[IRV | GU | OT | Genesis | Chapter 4 | Verse 11] હવે તારા ભાઈનું લોહી તારા હાથથી લેવાને જે ભૂમિએ પોતાનું મુખ ઉઘાડ્યું છે, તેથી તું શાપિત થયો છે.
[IRV | GU | OT | Genesis | Chapter 4 | Verse 12] તું ગમે તેટલી મહેનતથી ભૂમિને ખેડશે, પણ તે પોતાનાં બળ તને આપશે નહિ. તું પૃથ્વી પર નિરાશ્રિતની માફક અહીંતહીં ભટકતો રહેશે.”
