[IRV | GU | OT | Genesis | Chapter 47 | Verse 1] પછી યૂસફ ફારુનને મળવા ગયો. તેણે ફારુનને કહ્યું, “મારા પિતા, મારા ભાઈઓ તથા તેઓનાં બકરાં, અન્ય જાનવરો તથા જે સર્વ તેઓનું છે તે સહિત તેઓ કનાન દેશથી આવ્યા છે. તેઓ ગોશેન દેશમાં છે.”
[IRV | GU | OT | Genesis | Chapter 47 | Verse 2] તેણે પોતાના ભાઈઓમાંના પાંચનો પરિચય ફારુન સાથે કરાવ્યો.
[IRV | GU | OT | Genesis | Chapter 47 | Verse 3] ફારુને તેના ભાઈઓને પૂછ્યું, “તમારો વ્યવસાય શો છે? “અમે તારા દાસો અમારા પૂર્વજોની જેમ ભરવાડો છીએ.
[IRV | GU | OT | Genesis | Chapter 47 | Verse 4] પછી તેઓએ ફારુનને કહ્યું, “અમે આ દેશમાં પ્રવાસી તરીકે આવ્યા છીએ. કેમ કે કનાન દેશમાં દુકાળ ભારે હોવાને લીધે અમારા ટોળાંને સારુ ચારો નથી. માટે હવે અમને કૃપા કરીને ગોશેન દેશમાં રહેવા દે.”
[IRV | GU | OT | Genesis | Chapter 47 | Verse 5] પછી ફારુને યૂસફને કહ્યું, “તારા પિતા તથા તારા ભાઈઓ તારી પાસે આવ્યા છે.
[IRV | GU | OT | Genesis | Chapter 47 | Verse 6] આખો મિસર દેશ તારી આગળ છે. દેશમાં ઉત્તમ સ્થળે તારા પિતાને તથા તારા ભાઈઓને રહેવા દે. તેઓ ગોશેન દેશમાં રહે. જો તું જાણતો હોય કે તેઓમાં કોઈ માણસો હોશિયાર છે, તો મારાં જાનવરો પણ તેઓના હવાલામાં સોંપ.”
[IRV | GU | OT | Genesis | Chapter 47 | Verse 7] પછી યૂસફે તેના પિતા યાકૂબને ફારુનની સમક્ષ બોલાવ્યો. યાકૂબે ફારુનને આશીર્વાદ આપ્યો.
[IRV | GU | OT | Genesis | Chapter 47 | Verse 8] ફારુને યાકૂબને કહ્યું, “તમારી ઉંમર કેટલી થઈ છે?”
[IRV | GU | OT | Genesis | Chapter 47 | Verse 9] યાકૂબે ફારુનને કહ્યું, “મારા જીવનપ્રવાસના એકસો ત્રીસ વર્ષ થયાં છે. એ અતિ પરિશ્રમવાળા રહ્યાં છે. હજી મારા પિતૃઓના પ્રવાસમાં તેઓની ઉંમરના જેટલાં મારા વર્ષો થયાં નથી.”
[IRV | GU | OT | Genesis | Chapter 47 | Verse 10] પછી યાકૂબ ફારુનને આશીર્વાદ આપીને તેની હજૂરમાંથી બહાર ગયો.
[IRV | GU | OT | Genesis | Chapter 47 | Verse 11] યૂસફે તેના પિતાને તથા તેના ભાઈઓને રહેવાને જગ્યા આપી. તેણે તેઓને મિસર દેશની ઉત્તમ જગ્યામાં એટલે રામસેસમાં ફારુનની આજ્ઞા પ્રમાણે વસવાનો પ્રદેશ આપ્યો.
[IRV | GU | OT | Genesis | Chapter 47 | Verse 12] યૂસફે તેના પિતાને, ભાઈઓને તથા તેના પિતાના ઘરનાં સર્વને તેઓની સંખ્યા પ્રમાણે અન્ન પૂરું પાડ્યું.
