[KJV | EN | OT | Habakkuk | Chapter 3 | Verse 1] A prayer of Habakkuk the prophet upon Shigionoth.
[KJV | EN | OT | Habakkuk | Chapter 3 | Verse 2] O Lord, I have heard thy speech, and was afraid: O Lord, revive thy work in the midst of the years, In the midst of the years make known; In wrath remember mercy.
[KJV | EN | OT | Habakkuk | Chapter 3 | Verse 3] God came from Teman, And the Holy One from mount Paran. Selah. His glory covered the heavens, And the earth was full of his praise.
[KJV | EN | OT | Habakkuk | Chapter 3 | Verse 4] And his brightness was as the light; He had horns coming out of his hand: And there was the hiding of his power.
[KJV | EN | OT | Habakkuk | Chapter 3 | Verse 5] Before him went the pestilence, And burning coals went forth at his feet.
[KJV | EN | OT | Habakkuk | Chapter 3 | Verse 6] He stood, and measured the earth: He beheld, and drove asunder the nations; And the everlasting mountains were scattered, The perpetual hills did bow: His ways are everlasting.
[KJV | EN | OT | Habakkuk | Chapter 3 | Verse 7] I saw the tents of Cushan in affliction: And the curtains of the land of Midian did tremble.
[KJV | EN | OT | Habakkuk | Chapter 3 | Verse 8] Was the Lord displeased against the rivers? Was thine anger against the rivers? Was thy wrath against the sea, That thou didst ride upon thine horses and thy chariots of salvation?
[KJV | EN | OT | Habakkuk | Chapter 3 | Verse 9] Thy bow was made quite naked, According to the oaths of the tribes, even thy word. Selah. Thou didst cleave the earth with rivers.
[KJV | EN | OT | Habakkuk | Chapter 3 | Verse 10] The mountains saw thee, and they trembled: The overflowing of the water passed by: The deep uttered his voice, And lift up his hands on high.
[KJV | EN | OT | Habakkuk | Chapter 3 | Verse 11] The sun and moon stood still in their habitation: At the light of thine arrows they went, And at the shining of thy glittering spear.
[KJV | EN | OT | Habakkuk | Chapter 3 | Verse 12] Thou didst march through the land in indignation, Thou didst thresh the heathen in anger.
[KJV | EN | OT | Habakkuk | Chapter 3 | Verse 13] Thou wentest forth for the salvation of thy people, Even for salvation with thine anointed; Thou woundedst the head out of the house of the wicked, By discovering the foundation unto the neck. Selah.
[KJV | EN | OT | Habakkuk | Chapter 3 | Verse 14] Thou didst strike through with his staves the head of his villages: They came out as a whirlwind to scatter me: Their rejoicing was as to devour the poor secretly.
[KJV | EN | OT | Habakkuk | Chapter 3 | Verse 15] Thou didst walk through the sea with thine horses, Through the heap of great waters.
[KJV | EN | OT | Habakkuk | Chapter 3 | Verse 16] When I heard, my belly trembled; My lips quivered at the voice: Rottenness entered into my bones, and I trembled in myself, That I might rest in the day of trouble: When he cometh up unto the people, he will invade them with his troops.
[KJV | EN | OT | Habakkuk | Chapter 3 | Verse 17] Although the fig tree shall not blossom, Neither shall fruit be in the vines; The labour of the olive shall fail, And the fields shall yield no meat; The flock shall be cut off from the fold, And there shall be no herd in the stalls:
[KJV | EN | OT | Habakkuk | Chapter 3 | Verse 18] Yet I will rejoice in the Lord, I will joy in the God of my salvation.
[KJV | EN | OT | Habakkuk | Chapter 3 | Verse 19] The Lord God is my strength, And he will make my feet like hinds’ feet, And he will make me to walk upon mine high places. To the chief singer on my stringed instruments.
