[IRV | HI | NT | Luke | Chapter 22 | Verse 1] अख़मीरी रोटी का पर्व जो फसह कहलाता है, निकट था।
[IRV | HI | NT | Luke | Chapter 22 | Verse 2] और प्रधान याजक और शास्त्री इस बात की खोज में थे कि उसको कैसे मार डालें, पर वे लोगों से डरते थे।
[IRV | HI | NT | Luke | Chapter 22 | Verse 3] और शैतान यहूदा में समाया, जो इस्करियोती कहलाता और बारह चेलों में गिना जाता था।
[IRV | HI | NT | Luke | Chapter 22 | Verse 4] उसने जाकर प्रधान याजकों और पहरुओं के सरदारों के साथ बातचीत की, कि उसको किस प्रकार उनके हाथ पकड़वाए।
[IRV | HI | NT | Luke | Chapter 22 | Verse 5] वे आनन्दित हुए, और उसे रुपये देने का वचन दिया।
[IRV | HI | NT | Luke | Chapter 22 | Verse 6] उसने मान लिया, और अवसर ढूँढ़ने लगा, कि बिना उपद्रव के उसे उनके हाथ पकड़वा दे।
[IRV | HI | NT | Luke | Chapter 22 | Verse 7] तब अख़मीरी रोटी के पर्व का दिन आया, जिसमें फसह का मेम्ना बलि करना अवश्य था। (निर्ग. 12:3,6,8,14)
[IRV | HI | NT | Luke | Chapter 22 | Verse 8] और यीशु ने पतरस और यूहन्ना को यह कहकर भेजा, “जाकर हमारे खाने के लिये फसह तैयार करो।”
[IRV | HI | NT | Luke | Chapter 22 | Verse 9] उन्होंने उससे पूछा, “तू कहाँ चाहता है, कि हम तैयार करें?”
[IRV | HI | NT | Luke | Chapter 22 | Verse 10] उसने उनसे कहा, “देखो, नगर में प्रवेश करते ही एक मनुष्य जल का घड़ा उठाए हुए तुम्हें मिलेगा, जिस घर में वह जाए; तुम उसके पीछे चले जाना,
[IRV | HI | NT | Luke | Chapter 22 | Verse 11] और उस घर के स्वामी से कहो, ‘गुरु तुझ से कहता है; कि वह पाहुनशाला कहाँ है जिसमें मैं अपने चेलों के साथ फसह खाऊँ?’
[IRV | HI | NT | Luke | Chapter 22 | Verse 12] वह तुम्हें एक सजी-सजाई बड़ी अटारी दिखा देगा; वहाँ तैयारी करना।”
[IRV | HI | NT | Luke | Chapter 22 | Verse 13] उन्होंने जाकर, जैसा उसने उनसे कहा था, वैसा ही पाया, और फसह तैयार किया।
[IRV | HI | NT | Luke | Chapter 22 | Verse 14] जब घड़ी पहुँची, तो वह प्रेरितों के साथ भोजन करने बैठा।
[IRV | HI | NT | Luke | Chapter 22 | Verse 15] और उसने उनसे कहा, “मुझे बड़ी लालसा थी, कि दुःख भोगने से पहले यह फसह तुम्हारे साथ खाऊँ।
[IRV | HI | NT | Luke | Chapter 22 | Verse 16] क्योंकि मैं तुम से कहता हूँ, कि जब तक वह परमेश्वर के राज्य में पूरा न हो तब तक मैं उसे कभी न खाऊँगा।”
[IRV | HI | NT | Luke | Chapter 22 | Verse 17] तब उसने कटोरा लेकर धन्यवाद किया और कहा, “इसको लो और आपस में बाँट लो।
[IRV | HI | NT | Luke | Chapter 22 | Verse 18] क्योंकि मैं तुम से कहता हूँ, कि जब तक परमेश्वर का राज्य न आए तब तक मैं दाखरस अब से कभी न पीऊँगा।”
[IRV | HI | NT | Luke | Chapter 22 | Verse 19] फिर उसने रोटी ली, और धन्यवाद करके तोड़ी, और उनको यह कहते हुए दी, “यह मेरी देह है, जो तुम्हारे लिये दी जाती है: मेरे स्मरण के लिये यही किया करो।”
