[IRV | BN | OT | 2 Kings | Chapter 2 | Verse 1] পরে যখন সদাপ্রভু ঘুর্ণিঝড়ে এলিয়কে স্বর্গে তুলে নিতে চাইলেন তখন এলিয় ও ইলীশায় গিল্‌গল থেকে বের হলেন।
[IRV | BN | OT | 2 Kings | Chapter 2 | Verse 2] আর এলিয় ইলীশায়কে বললেন, “অনুরোধ করি, তুমি এখানে থাক; কারণ সদাপ্রভু আমাকে বৈথেল পর্যন্ত পাঠালেন।” ইলীশায় বললেন, “যতদিন সদাপ্রভু আছেন ও আপনি আছেন, আমি আপনাকে ছাড়ব না।” কাজেই তাঁরা বৈথেলে নেমে গেলেন।
[IRV | BN | OT | 2 Kings | Chapter 2 | Verse 3] তখন বৈথেলের ভাববাদীদের সন্তানেরা ইলীশায়ের কাছে গিয়ে বলল, “আপনি কি জানেন যে, সদাপ্রভু আপনার প্রভুকে আজ আপনার কাছ থেকে নিয়ে যাবেন?” উত্তরে ইলীশায় বললেন, “হ্যাঁ, আমি জানি। তোমরা চুপ করো।”
[IRV | BN | OT | 2 Kings | Chapter 2 | Verse 4] এরপর এলিয় তাঁকে বললেন, “ইলীশায়, অনুরোধ করি, তুমি এখানে থাক; কারণ সদাপ্রভু আমাকে যিরীহোতে পাঠালেন।” ইলীশায় বললেন, “যতদিন সদাপ্রভু আছেন ও আপনি আছেন, আমি আপনাকে ছাড়ব না।” সুতরাং তাঁরা যিরীহোতে গেলেন।
[IRV | BN | OT | 2 Kings | Chapter 2 | Verse 5] তখন যিরীহোর ভাববাদীদের সন্তানেরা ইলীশায়ের কাছে গিয়ে বললেন, “আপনি কি জানেন যে, সদাপ্রভু আপনার প্রভুকে আজ আপনার কাছ থেকে নিয়ে যাবেন?” উত্তরে ইলীশায় বললেন, “হ্যাঁ, আমি জানি। তোমরা চুপ করো।”
[IRV | BN | OT | 2 Kings | Chapter 2 | Verse 6] এরপর এলিয় তাঁকে বললেন, “অনুরোধ করি, তুমি এখানে থাক; কারণ সদাপ্রভু আমাকে যর্দ্দন নদীর পারে পাঠালেন।” উত্তরে তিনি বললেন, “যতদিন সদাপ্রভু আছেন ও আপনি আছেন, আমি আপনাকে ছাড়ব না।” সুতরাং তাঁরা দুজন চলতে লাগলেন।
[IRV | BN | OT | 2 Kings | Chapter 2 | Verse 7] তখন পঞ্চাশজন ভাববাদীদের সন্তানেরা এসে তাঁদের সামনে দাঁড়ালো, আর যর্দ্দন নদীর ধারে ঐ দুজন দাঁড়ালেন।
[IRV | BN | OT | 2 Kings | Chapter 2 | Verse 8] পরে এলিয় তাঁর গায়ের চাদরটা গুটিয়ে নিয়ে তা দিয়ে জলের উপর আঘাত করলেন, তাতে জল দুদিকে ভাগ হয়ে গেল আর তাঁরা দুজনে শুকনো মাটির উপর দিয়ে পার হয়ে গেলেন।
[IRV | BN | OT | 2 Kings | Chapter 2 | Verse 9] পার হয়ে এসে এলিয় ইলীশায়কে বললেন, “আমাকে বল, তোমার কাছ থেকে আমাকে তুলে নেবার আগে আমি তোমার জন্য কি করব?” উত্তরে ইলীশায় বললেন, “অনুরোধ করি, আপনার আত্মার দ্বিগুন শক্তি যেন আমি পাই।”
[IRV | BN | OT | 2 Kings | Chapter 2 | Verse 10] তিনি বললেন, “তুমি একটি কঠিন জিনিস চেয়েছ; তোমার কাছ থেকে আমাকে নিয়ে যাবার দিন যদি তুমি আমাকে দেখতে পাও তবে তুমি তা পাবে; দেখতে না পেলে পাবে না।”
[IRV | BN | OT | 2 Kings | Chapter 2 | Verse 11] পরে এইরকম ঘটল; তাঁরা যেতে যেতে কথা বলছেন, এমন দিন হঠাৎ একটা আগুনের রথ ও আগুনের কতগুলি ঘোড়া এসে তাঁদের দুজনকে আলাদা করে দিল এবং এলিয় একটা ঘূর্ণিঝড়ে স্বর্গে চলে গেলেন।
