[SBLGNT | EL | NT | 1 Timothy | Chapter 3 | Verse 1] Πιστὸς ὁ λόγος· εἴ τις ἐπισκοπῆς ὀρέγεται, καλοῦ ἔργου ἐπιθυμεῖ.
[SBLGNT | EL | NT | 1 Timothy | Chapter 3 | Verse 2] δεῖ οὖν τὸν ἐπίσκοπον ἀνεπίλημπτον εἶναι, μιᾶς γυναικὸς ἄνδρα, νηφάλιον, σώφρονα, κόσμιον, φιλόξενον, διδακτικόν,
[SBLGNT | EL | NT | 1 Timothy | Chapter 3 | Verse 3] μὴ πάροινον, μὴ ⸀πλήκτην, ἀλλὰ ἐπιεικῆ, ἄμαχον, ἀφιλάργυρον,
[SBLGNT | EL | NT | 1 Timothy | Chapter 3 | Verse 4] τοῦ ἰδίου οἴκου καλῶς προϊστάμενον, τέκνα ἔχοντα ἐν ὑποταγῇ μετὰ πάσης σεμνότητος·
[SBLGNT | EL | NT | 1 Timothy | Chapter 3 | Verse 5] (εἰ δέ τις τοῦ ἰδίου οἴκου προστῆναι οὐκ οἶδεν, πῶς ἐκκλησίας θεοῦ ἐπιμελήσεται;)
[SBLGNT | EL | NT | 1 Timothy | Chapter 3 | Verse 6] μὴ νεόφυτον, ἵνα μὴ τυφωθεὶς εἰς κρίμα ἐμπέσῃ τοῦ διαβόλου.
[SBLGNT | EL | NT | 1 Timothy | Chapter 3 | Verse 7] δεῖ ⸀δὲ καὶ μαρτυρίαν καλὴν ἔχειν ἀπὸ τῶν ἔξωθεν, ἵνα μὴ εἰς ὀνειδισμὸν ἐμπέσῃ καὶ παγίδα τοῦ διαβόλου.
[SBLGNT | EL | NT | 1 Timothy | Chapter 3 | Verse 8] Διακόνους ὡσαύτως σεμνούς, μὴ διλόγους, μὴ οἴνῳ πολλῷ προσέχοντας, μὴ αἰσχροκερδεῖς,
[SBLGNT | EL | NT | 1 Timothy | Chapter 3 | Verse 9] ἔχοντας τὸ μυστήριον τῆς πίστεως ἐν καθαρᾷ συνειδήσει.
[SBLGNT | EL | NT | 1 Timothy | Chapter 3 | Verse 10] καὶ οὗτοι δὲ δοκιμαζέσθωσαν πρῶτον, εἶτα διακονείτωσαν ἀνέγκλητοι ὄντες.
[SBLGNT | EL | NT | 1 Timothy | Chapter 3 | Verse 11] γυναῖκας ὡσαύτως σεμνάς, μὴ διαβόλους, νηφαλίους, πιστὰς ἐν πᾶσιν.
[SBLGNT | EL | NT | 1 Timothy | Chapter 3 | Verse 12] διάκονοι ἔστωσαν μιᾶς γυναικὸς ἄνδρες, τέκνων καλῶς προϊστάμενοι καὶ τῶν ἰδίων οἴκων·
[SBLGNT | EL | NT | 1 Timothy | Chapter 3 | Verse 13] οἱ γὰρ καλῶς διακονήσαντες βαθμὸν ἑαυτοῖς καλὸν περιποιοῦνται καὶ πολλὴν παρρησίαν ἐν πίστει τῇ ἐν Χριστῷ Ἰησοῦ.
[SBLGNT | EL | NT | 1 Timothy | Chapter 3 | Verse 14] Ταῦτά σοι γράφω, ἐλπίζων ἐλθεῖν πρὸς σὲ ⸂ἐν τάχει⸃,
[SBLGNT | EL | NT | 1 Timothy | Chapter 3 | Verse 15] ἐὰν δὲ βραδύνω, ἵνα εἰδῇς πῶς δεῖ ἐν οἴκῳ θεοῦ ἀναστρέφεσθαι, ἥτις ἐστὶν ἐκκλησία θεοῦ ζῶντος, στῦλος καὶ ἑδραίωμα τῆς ἀληθείας·
[SBLGNT | EL | NT | 1 Timothy | Chapter 3 | Verse 16] καὶ ὁμολογουμένως μέγα ἐστὶν τὸ τῆς εὐσεβείας μυστήριον· ⸀Ὃς ἐφανερώθη ἐν σαρκί, ἐδικαιώθη ἐν πνεύματι, ὤφθη ἀγγέλοις, ἐκηρύχθη ἐν ἔθνεσιν, ἐπιστεύθη ἐν κόσμῳ, ἀνελήμφθη ἐν δόξῃ.
