[SBLGNT | EL | NT | 1 Timothy | Chapter 1 | Verse 1] Παῦλος ἀπόστολος ⸂Χριστοῦ Ἰησοῦ⸃ κατʼ ἐπιταγὴν θεοῦ σωτῆρος ἡμῶν καὶ ⸂Χριστοῦ Ἰησοῦ⸃ τῆς ἐλπίδος ἡμῶν
[SBLGNT | EL | NT | 1 Timothy | Chapter 1 | Verse 2] Τιμοθέῳ γνησίῳ τέκνῳ ἐν πίστει· χάρις, ἔλεος, εἰρήνη ἀπὸ θεοῦ ⸀πατρὸς καὶ Χριστοῦ Ἰησοῦ τοῦ κυρίου ἡμῶν.
[SBLGNT | EL | NT | 1 Timothy | Chapter 1 | Verse 3] Καθὼς παρεκάλεσά σε προσμεῖναι ἐν Ἐφέσῳ, πορευόμενος εἰς Μακεδονίαν, ἵνα παραγγείλῃς τισὶν μὴ ἑτεροδιδασκαλεῖν
[SBLGNT | EL | NT | 1 Timothy | Chapter 1 | Verse 4] μηδὲ προσέχειν μύθοις καὶ γενεαλογίαις ἀπεράντοις, αἵτινες ⸀ἐκζητήσεις παρέχουσι μᾶλλον ἢ οἰκονομίαν θεοῦ τὴν ἐν πίστει—
[SBLGNT | EL | NT | 1 Timothy | Chapter 1 | Verse 5] τὸ δὲ τέλος τῆς παραγγελίας ἐστὶν ἀγάπη ἐκ καθαρᾶς καρδίας καὶ συνειδήσεως ἀγαθῆς καὶ πίστεως ἀνυποκρίτου,
[SBLGNT | EL | NT | 1 Timothy | Chapter 1 | Verse 6] ὧν τινες ἀστοχήσαντες ἐξετράπησαν εἰς ματαιολογίαν,
[SBLGNT | EL | NT | 1 Timothy | Chapter 1 | Verse 7] θέλοντες εἶναι νομοδιδάσκαλοι, μὴ νοοῦντες μήτε ἃ λέγουσιν μήτε περὶ τίνων διαβεβαιοῦνται.
[SBLGNT | EL | NT | 1 Timothy | Chapter 1 | Verse 8] Οἴδαμεν δὲ ὅτι καλὸς ὁ νόμος ἐάν τις αὐτῷ νομίμως χρῆται,
[SBLGNT | EL | NT | 1 Timothy | Chapter 1 | Verse 9] εἰδὼς τοῦτο, ὅτι δικαίῳ νόμος οὐ κεῖται, ἀνόμοις δὲ καὶ ἀνυποτάκτοις, ἀσεβέσι καὶ ἁμαρτωλοῖς, ἀνοσίοις καὶ βεβήλοις, πατρολῴαις καὶ μητρολῴαις, ἀνδροφόνοις,
[SBLGNT | EL | NT | 1 Timothy | Chapter 1 | Verse 10] πόρνοις, ἀρσενοκοίταις, ἀνδραποδισταῖς, ψεύσταις, ἐπιόρκοις, καὶ εἴ τι ἕτερον τῇ ὑγιαινούσῃ διδασκαλίᾳ ἀντίκειται,
[SBLGNT | EL | NT | 1 Timothy | Chapter 1 | Verse 11] κατὰ τὸ εὐαγγέλιον τῆς δόξης τοῦ μακαρίου θεοῦ, ὃ ἐπιστεύθην ἐγώ.
[SBLGNT | EL | NT | 1 Timothy | Chapter 1 | Verse 12] ⸀Χάριν ἔχω τῷ ἐνδυναμώσαντί με Χριστῷ Ἰησοῦ τῷ κυρίῳ ἡμῶν, ὅτι πιστόν με ἡγήσατο θέμενος εἰς διακονίαν,
[SBLGNT | EL | NT | 1 Timothy | Chapter 1 | Verse 13] ⸀τὸ πρότερον ὄντα βλάσφημον καὶ διώκτην καὶ ὑβριστήν· ἀλλὰ ἠλεήθην, ὅτι ἀγνοῶν ἐποίησα ἐν ἀπιστίᾳ,
[SBLGNT | EL | NT | 1 Timothy | Chapter 1 | Verse 14] ὑπερεπλεόνασεν δὲ ἡ χάρις τοῦ κυρίου ἡμῶν μετὰ πίστεως καὶ ἀγάπης τῆς ἐν Χριστῷ Ἰησοῦ.
[SBLGNT | EL | NT | 1 Timothy | Chapter 1 | Verse 15] πιστὸς ὁ λόγος καὶ πάσης ἀποδοχῆς ἄξιος, ὅτι Χριστὸς Ἰησοῦς ἦλθεν εἰς τὸν κόσμον ἁμαρτωλοὺς σῶσαι· ὧν πρῶτός εἰμι ἐγώ,
[SBLGNT | EL | NT | 1 Timothy | Chapter 1 | Verse 16] ἀλλὰ διὰ τοῦτο ἠλεήθην, ἵνα ἐν ἐμοὶ πρώτῳ ἐνδείξηται ⸂Χριστὸς Ἰησοῦς⸃ τὴν ⸀ἅπασαν μακροθυμίαν, πρὸς ὑποτύπωσιν τῶν μελλόντων πιστεύειν ἐπʼ αὐτῷ εἰς ζωὴν αἰώνιον.
[SBLGNT | EL | NT | 1 Timothy | Chapter 1 | Verse 17] τῷ δὲ βασιλεῖ τῶν αἰώνων, ἀφθάρτῳ, ἀοράτῳ, ⸀μόνῳ θεῷ, τιμὴ καὶ δόξα εἰς τοὺς αἰῶνας τῶν αἰώνων· ἀμήν.
[SBLGNT | EL | NT | 1 Timothy | Chapter 1 | Verse 18] Ταύτην τὴν παραγγελίαν παρατίθεμαί σοι, τέκνον Τιμόθεε, κατὰ τὰς προαγούσας ἐπὶ σὲ προφητείας, ἵνα ⸀στρατεύῃ ἐν αὐταῖς τὴν καλὴν στρατείαν,
[SBLGNT | EL | NT | 1 Timothy | Chapter 1 | Verse 19] ἔχων πίστιν καὶ ἀγαθὴν συνείδησιν, ἥν τινες ἀπωσάμενοι περὶ τὴν πίστιν ἐναυάγησαν·
[SBLGNT | EL | NT | 1 Timothy | Chapter 1 | Verse 20] ὧν ἐστιν Ὑμέναιος καὶ Ἀλέξανδρος, οὓς παρέδωκα τῷ Σατανᾷ ἵνα παιδευθῶσι μὴ βλασφημεῖν.
