[SBLGNT | EL | NT | 1 Timothy | Chapter 4 | Verse 1] Τὸ δὲ πνεῦμα ῥητῶς λέγει ὅτι ἐν ὑστέροις καιροῖς ἀποστήσονταί τινες τῆς πίστεως, προσέχοντες πνεύμασι πλάνοις καὶ διδασκαλίαις δαιμονίων
[SBLGNT | EL | NT | 1 Timothy | Chapter 4 | Verse 2] ἐν ὑποκρίσει ψευδολόγων, κεκαυστηριασμένων τὴν ἰδίαν συνείδησιν,
[SBLGNT | EL | NT | 1 Timothy | Chapter 4 | Verse 3] κωλυόντων γαμεῖν, ἀπέχεσθαι βρωμάτων ἃ ὁ θεὸς ἔκτισεν εἰς μετάλημψιν μετὰ εὐχαριστίας τοῖς πιστοῖς καὶ ἐπεγνωκόσι τὴν ἀλήθειαν.
[SBLGNT | EL | NT | 1 Timothy | Chapter 4 | Verse 4] ὅτι πᾶν κτίσμα θεοῦ καλόν, καὶ οὐδὲν ἀπόβλητον μετὰ εὐχαριστίας λαμβανόμενον,
[SBLGNT | EL | NT | 1 Timothy | Chapter 4 | Verse 5] ἁγιάζεται γὰρ διὰ λόγου θεοῦ καὶ ἐντεύξεως.
[SBLGNT | EL | NT | 1 Timothy | Chapter 4 | Verse 6] Ταῦτα ὑποτιθέμενος τοῖς ἀδελφοῖς καλὸς ἔσῃ διάκονος ⸂Χριστοῦ Ἰησοῦ⸃, ἐντρεφόμενος τοῖς λόγοις τῆς πίστεως καὶ τῆς καλῆς διδασκαλίας ᾗ παρηκολούθηκας,
[SBLGNT | EL | NT | 1 Timothy | Chapter 4 | Verse 7] τοὺς δὲ βεβήλους καὶ γραώδεις μύθους παραιτοῦ. γύμναζε δὲ σεαυτὸν πρὸς εὐσέβειαν·
[SBLGNT | EL | NT | 1 Timothy | Chapter 4 | Verse 8] ἡ γὰρ σωματικὴ γυμνασία πρὸς ὀλίγον ἐστὶν ὠφέλιμος, ἡ δὲ εὐσέβεια πρὸς πάντα ὠφέλιμός ἐστιν, ἐπαγγελίαν ἔχουσα ζωῆς τῆς νῦν καὶ τῆς μελλούσης.
[SBLGNT | EL | NT | 1 Timothy | Chapter 4 | Verse 9] πιστὸς ὁ λόγος καὶ πάσης ἀποδοχῆς ἄξιος,
[SBLGNT | EL | NT | 1 Timothy | Chapter 4 | Verse 10] εἰς τοῦτο ⸀γὰρ κοπιῶμεν καὶ ⸀ὀνειδιζόμεθα, ὅτι ἠλπίκαμεν ἐπὶ θεῷ ζῶντι, ὅς ἐστιν σωτὴρ πάντων ἀνθρώπων, μάλιστα πιστῶν.
[SBLGNT | EL | NT | 1 Timothy | Chapter 4 | Verse 11] Παράγγελλε ταῦτα καὶ δίδασκε.
[SBLGNT | EL | NT | 1 Timothy | Chapter 4 | Verse 12] μηδείς σου τῆς νεότητος καταφρονείτω, ἀλλὰ τύπος γίνου τῶν πιστῶν ἐν λόγῳ, ἐν ἀναστροφῇ, ἐν ⸀ἀγάπῃ, ἐν πίστει, ἐν ἁγνείᾳ.
[SBLGNT | EL | NT | 1 Timothy | Chapter 4 | Verse 13] ἕως ἔρχομαι πρόσεχε τῇ ἀναγνώσει, τῇ παρακλήσει, τῇ διδασκαλίᾳ.
[SBLGNT | EL | NT | 1 Timothy | Chapter 4 | Verse 14] μὴ ἀμέλει τοῦ ἐν σοὶ χαρίσματος, ὃ ἐδόθη σοι διὰ προφητείας μετὰ ἐπιθέσεως τῶν χειρῶν τοῦ πρεσβυτερίου.
[SBLGNT | EL | NT | 1 Timothy | Chapter 4 | Verse 15] ταῦτα μελέτα, ἐν τούτοις ἴσθι, ἵνα σου ἡ προκοπὴ φανερὰ ⸀ᾖ πᾶσιν·
[SBLGNT | EL | NT | 1 Timothy | Chapter 4 | Verse 16] ἔπεχε σεαυτῷ καὶ τῇ διδασκαλίᾳ· ἐπίμενε αὐτοῖς· τοῦτο γὰρ ποιῶν καὶ σεαυτὸν σώσεις καὶ τοὺς ἀκούοντάς σου.
