[KJV | EN | OT | Song of Solomon | Chapter 3 | Verse 1] By night on my bed I sought him whom my soul loveth: I sought him, but I found him not.
[KJV | EN | OT | Song of Solomon | Chapter 3 | Verse 2] I will rise now, and go about the city In the streets and in the broad ways, I will seek him whom my soul loveth: I sought him, but I found him not.
[KJV | EN | OT | Song of Solomon | Chapter 3 | Verse 3] The watchmen that go about the city found me: To whom I said, Saw ye him whom my soul loveth?
[KJV | EN | OT | Song of Solomon | Chapter 3 | Verse 4] It was but a little that I passed from them, But I found him whom my soul loveth: I held him, and would not let him go, Until I had brought him into my mother’s house, And into the chamber of her that conceived me.
[KJV | EN | OT | Song of Solomon | Chapter 3 | Verse 5] I charge you, O ye daughters of Jerusalem, By the roes, and by the hinds of the field, That ye stir not up, nor awake my love, till he please.
[KJV | EN | OT | Song of Solomon | Chapter 3 | Verse 6] Who is this that cometh out of the wilderness like pillars of smoke, Perfumed with myrrh and frankincense, With all powders of the merchant?
[KJV | EN | OT | Song of Solomon | Chapter 3 | Verse 7] Behold his bed, which is Solomon’s; Threescore valiant men are about it, Of the valiant of Israel.
[KJV | EN | OT | Song of Solomon | Chapter 3 | Verse 8] They all hold swords, being expert in war: Every man hath his sword upon his thigh because of fear in the night.
[KJV | EN | OT | Song of Solomon | Chapter 3 | Verse 9] King Solomon made himself a chariot of the wood of Lebanon.
[KJV | EN | OT | Song of Solomon | Chapter 3 | Verse 10] He made the pillars thereof of silver, The bottom thereof of gold, The covering of it of purple, The midst thereof being paved with love, for the daughters of Jerusalem.
[KJV | EN | OT | Song of Solomon | Chapter 3 | Verse 11] Go forth, O ye daughters of Zion, and behold king Solomon With the crown wherewith his mother crowned him In the day of his espousals, And in the day of the gladness of his heart.
