[KJV | EN | OT | Song of Solomon | Chapter 1 | Verse 1] The song of songs, which is Solomon’s.
[KJV | EN | OT | Song of Solomon | Chapter 1 | Verse 2] Let him kiss me with the kisses of his mouth: For thy love is better than wine.
[KJV | EN | OT | Song of Solomon | Chapter 1 | Verse 3] Because of the savour of thy good ointments Thy name is as ointment poured forth, Therefore do the virgins love thee.
[KJV | EN | OT | Song of Solomon | Chapter 1 | Verse 4] Draw me, we will run after thee: The king hath brought me into his chambers: We will be glad and rejoice in thee, We will remember thy love more than wine: The upright love thee.
[KJV | EN | OT | Song of Solomon | Chapter 1 | Verse 5] I am black, but comely, O ye daughters of Jerusalem, As the tents of Kedar, as the curtains of Solomon.
[KJV | EN | OT | Song of Solomon | Chapter 1 | Verse 6] Look not upon me, because I am black, Because the sun hath looked upon me: My mother’s children were angry with me; They made me the keeper of the vineyards; But mine own vineyard have I not kept.
[KJV | EN | OT | Song of Solomon | Chapter 1 | Verse 7] Tell me, O thou whom my soul loveth, Where thou feedest, where thou makest thy flock to rest at noon: For why should I be as one that turneth aside by the flocks of thy companions?
[KJV | EN | OT | Song of Solomon | Chapter 1 | Verse 8] If thou know not, O thou fairest among women, Go thy way forth by the footsteps of the flock, And feed thy kids beside the shepherds’ tents.
[KJV | EN | OT | Song of Solomon | Chapter 1 | Verse 9] I have compared thee, O my love, To a company of horses in Pharaoh’s chariots.
[KJV | EN | OT | Song of Solomon | Chapter 1 | Verse 10] Thy cheeks are comely with rows of jewels, Thy neck with chains of gold.
[KJV | EN | OT | Song of Solomon | Chapter 1 | Verse 11] We will make thee borders of gold With studs of silver.
[KJV | EN | OT | Song of Solomon | Chapter 1 | Verse 12] While the king sitteth at his table, My spikenard sendeth forth the smell thereof.
[KJV | EN | OT | Song of Solomon | Chapter 1 | Verse 13] A bundle of myrrh is my well-beloved unto me; He shall lie all night betwixt my breasts.
[KJV | EN | OT | Song of Solomon | Chapter 1 | Verse 14] My beloved is unto me as a cluster of camphire In the vineyards of En-gedi.
[KJV | EN | OT | Song of Solomon | Chapter 1 | Verse 15] Behold, thou art fair, my love; behold, thou art fair; Thou hast doves’ eyes.
[KJV | EN | OT | Song of Solomon | Chapter 1 | Verse 16] Behold, thou art fair, my beloved, yea, pleasant: Also our bed is green.
[KJV | EN | OT | Song of Solomon | Chapter 1 | Verse 17] The beams of our house are cedar, And our rafters of fir.
