[IRV | BN | OT | 1 Chronicles | Chapter 6 | Verse 1] লেবির ছেলেরা হল গের্শোন, কহাৎ ও মরারি।
[IRV | BN | OT | 1 Chronicles | Chapter 6 | Verse 2] কহাতের ছেলেরা হল অম্রাম, যিষ্‌হর, হিব্রোণ ও উষীয়েল।
[IRV | BN | OT | 1 Chronicles | Chapter 6 | Verse 3] অম্রামের ছেলেরা হল হারোণ, মোশি ও মরিয়ম। হারোণের ছেলেরা হল নাদব, অবীহূ, ইলীয়াসর ও ঈথামর।
[IRV | BN | OT | 1 Chronicles | Chapter 6 | Verse 4] ইলীয়াসরের ছেলে পীনহস, পীনহসের ছেলে অবীশূয়,
[IRV | BN | OT | 1 Chronicles | Chapter 6 | Verse 5] অবীশূয়ের ছেলে বুক্কি, বুক্কির ছেলে উষি,
[IRV | BN | OT | 1 Chronicles | Chapter 6 | Verse 6] উষির ছেলে সরহিয়, সরহিয়ের ছেলে মরায়োৎ,
[IRV | BN | OT | 1 Chronicles | Chapter 6 | Verse 7] মরায়োতের ছেলে অমরিয়, অমরিয়ের ছেলে অহীটূব,
[IRV | BN | OT | 1 Chronicles | Chapter 6 | Verse 8] অহীটূবের ছেলে সাদোক, সাদোকের ছেলে অহীমাস,
[IRV | BN | OT | 1 Chronicles | Chapter 6 | Verse 9] অহীমাসের ছেলে অসরিয়, অসরিয়ের ছেলে যোহানন,
[IRV | BN | OT | 1 Chronicles | Chapter 6 | Verse 10] যোহাননের ছেলে অসরিয়; ইনি যিরূশালেমে শলোমনের তৈরী মন্দিরে যাজকের কাজ করতেন।
[IRV | BN | OT | 1 Chronicles | Chapter 6 | Verse 11] অসরিয়ের ছেলে অমরিয়, অমরিয়ের ছেলে অহীটূব,
[IRV | BN | OT | 1 Chronicles | Chapter 6 | Verse 12] অহীটূবের ছেলে সাদোক, সাদোকের ছেলে শল্লুম,
[IRV | BN | OT | 1 Chronicles | Chapter 6 | Verse 13] শল্লুমের ছেলে হিল্কিয়, হিল্কিয়ের ছেলে অসরিয়,
[IRV | BN | OT | 1 Chronicles | Chapter 6 | Verse 14] অসরিয়ের ছেলে সরায় এবং সরায়ের ছেলে যিহোষাদক।
