[IRV | BN | OT | 1 Chronicles | Chapter 14 | Verse 1] পরে সোরের রাজা হীরম দায়ূদের কাছে কয়েকজন লোক পাঠালেন, তাদের সঙ্গে পাঠালেন দায়ূদের জন্য রাজবাড়ী তৈরী করবার উদ্দেশ্যে তার কাছে এরস কাঠ, রাজমিস্ত্রি ও ছুতার মিস্ত্রি।
[IRV | BN | OT | 1 Chronicles | Chapter 14 | Verse 2] তখন দায়ূদ বুঝতে পারলেন যে, সদাপ্রভু ইস্রায়েলের উপর তাঁর রাজপদ স্থির করেছেন এবং তাঁর লোকদের, অর্থাৎ ইস্রায়েলীয়দের জন্য তাঁর রাজ্যের অনেক উন্নতি করেছেন।
[IRV | BN | OT | 1 Chronicles | Chapter 14 | Verse 3] দায়ূদ যিরূশালেমে আরও স্ত্রী গ্রহণ করলেন এবং তাঁর আরও ছেলেমেয়ের জন্ম হল।
[IRV | BN | OT | 1 Chronicles | Chapter 14 | Verse 4] যিরূশালেমে তাঁর যে সব সন্তানের জন্ম হয়েছিল তাদের নাম হল শম্মূয়, শোবব, নাথন, শলোমন,
[IRV | BN | OT | 1 Chronicles | Chapter 14 | Verse 5] যিভর, ইলীশূয়, ইল্পেলট,
[IRV | BN | OT | 1 Chronicles | Chapter 14 | Verse 6] নোগহ, নেফগ, যাফিয়,
[IRV | BN | OT | 1 Chronicles | Chapter 14 | Verse 7] ইলীশামা, বীলিয়াদা ও ইলীফেলট।
[IRV | BN | OT | 1 Chronicles | Chapter 14 | Verse 8] পলেষ্টীয়েরা যখন শুনতে পেল যে, গোটা ইস্রায়েলের উপরে দায়ূদকে রাজপদে অভিষেক করা হয়েছে তখন তারা সমস্ত সৈন্য নিয়ে তাঁর খোঁজে বেরিয়ে এল; তা শুনে দায়ূদ তাদের বিরুদ্ধে বের হলেন।
[IRV | BN | OT | 1 Chronicles | Chapter 14 | Verse 9] পলেষ্টীয়েরা এসে রফায়ীম উপত্যকায় ছড়িয়ে পড়ল।
[IRV | BN | OT | 1 Chronicles | Chapter 14 | Verse 10] তখন দায়ূদ ঈশ্বরকে জিজ্ঞাসা করলেন, “আমি কি পলেষ্টীয়দের আক্রমণ করব? তুমি কি আমার হাতে তাদের তুলে দেবে?” উত্তরে সদাপ্রভু বললেন, “যাও, তাদের আমি তোমার হাতে তুলে দেব।”
[IRV | BN | OT | 1 Chronicles | Chapter 14 | Verse 11] তখন দায়ূদ ও তাঁর লোকেরা বাল্‌ পরাসীমে গিয়ে তাদের হারিয়ে দিলেন। দায়ূদ বললেন, “ঈশ্বর জলের বাঁধ ভাঙার মত আমার হাত দিয়ে আমার শত্রুদের ভেঙে ফেললেন।” এইজন্যই সেই জায়গার নাম বাল্‌ পরাসীম [ভাঙ্গা জায়গা] রাখা হল।
[IRV | BN | OT | 1 Chronicles | Chapter 14 | Verse 12] পলেষ্টীয়েরা তাদের দেবমূর্তিগুলো সেখানে ফেলে গিয়েছিল। দায়ূদের হুকুমে লোকেরা সেগুলো আগুনে পুড়িয়ে দিল।
[IRV | BN | OT | 1 Chronicles | Chapter 14 | Verse 13] পলেষ্টীয়েরা আবার এসে সেই উপত্যকায় ছড়িয়ে পড়ল।
[IRV | BN | OT | 1 Chronicles | Chapter 14 | Verse 14] তখন দায়ূদ আবার ঈশ্বরের কাছে জিজ্ঞাসা করলেন, আর উত্তরে ঈশ্বর তাঁকে বললেন, “তোমরা সোজাসুজি তাদের দিকে যেয়ো না, বরং তাদের পিছন দিক থেকে বাঁকা গাছগুলোর সামনে তাদের আক্রমণ কর।
[IRV | BN | OT | 1 Chronicles | Chapter 14 | Verse 15] বাঁকা গাছগুলোর মাথায় যখন তুমি সৈন্যদলের চলবার মত শব্দ শুনবে তখনই তুমি যুদ্ধের জন্য বেরিয়ে পড়বে, এর মানে হল, পলেষ্টীয় সৈন্যদের আঘাত করবার জন্য ঈশ্বর তোমার আগে আগে গেছেন।”
[IRV | BN | OT | 1 Chronicles | Chapter 14 | Verse 16] ঈশ্বরের আদেশ মতই দায়ূদ কাজ করলেন; তারা গিবিয়োন থেকে গেষর পর্যন্ত সমস্ত পথে পলেষ্টীয় সৈন্যদেরকে আঘাত করল।
[IRV | BN | OT | 1 Chronicles | Chapter 14 | Verse 17] এই ভাবে দায়ূদের সুনাম সব দেশে ছড়িয়ে পড়ল, আর সদাপ্রভু সব জাতির মধ্যে তাঁর সম্বন্ধে একটা ভয়ের ভাব জাগিয়ে দিলেন।
