[GNV | EN | OT | 1 Samuel | Chapter 14 | Verse 1] Then on a day Ionathan the sonne of Saul sayde vnto the yong man that bare his armour, Come and let vs goe ouer towarde the Philistims garison, that is yonder on the other side, but he tolde not his father.
[GNV | EN | OT | 1 Samuel | Chapter 14 | Verse 2] And Saul taried in the border of Gibeah vnder a pomegranate tree, which was in Migron, and the people that were with him, were about sixe hundreth men.
[GNV | EN | OT | 1 Samuel | Chapter 14 | Verse 3] And Ahiah the sonne of Ahitub, Ichabods brother, the sonne of Phinehas, the sonne of Eli, was the Lordes Priest in Shiloh, and ware an Ephod: and the people knewe not that Ionathan was gone.
[GNV | EN | OT | 1 Samuel | Chapter 14 | Verse 4] Nowe in the way whereby Ionathan sought to go ouer to the Philistims garison, there was a sharpe rocke on the one side, and a sharpe rocke on the other side: the name of the one was called Bozez, and the name of the other Seneh.
[GNV | EN | OT | 1 Samuel | Chapter 14 | Verse 5] The one rocke stretched from the North towarde Michmash, and the other was from the South toward Gibeah.
[GNV | EN | OT | 1 Samuel | Chapter 14 | Verse 6] And Ionathan saide to the yong man that bare his armour, Come, and let vs goe ouer vnto the garison of these vncircumcised: it may be that the Lord will worke with vs: for it is not hard to the Lord to saue with many, or with fewe.
[GNV | EN | OT | 1 Samuel | Chapter 14 | Verse 7] And he that bare his armour, saide vnto him, Doe all that is in thine heart: goe where it pleaseth thee: beholde, I am with thee as thine heart desireth.
[GNV | EN | OT | 1 Samuel | Chapter 14 | Verse 8] Then said Ionathan, Beholde, we goe ouer vnto those men, and will shewe our selues vnto them.
[GNV | EN | OT | 1 Samuel | Chapter 14 | Verse 9] If they say on this wise to vs, Tarie vntill we come to you, then we will stand still in our place, and not goe vp to them.
[GNV | EN | OT | 1 Samuel | Chapter 14 | Verse 10] But if they say, Come vp vnto vs, then we will goe vp: for the Lord hath deliuered them into our hande: and this shall be a signe vnto vs.
[GNV | EN | OT | 1 Samuel | Chapter 14 | Verse 11] So they both shewed themselues vnto the garison of the Philistims: and the Philistims said, See, the Ebrewes come out of the holes wherein they had hid themselues.
[GNV | EN | OT | 1 Samuel | Chapter 14 | Verse 12] And the men of the garison answered Ionathan, and his armour bearer, and said, Come vp to vs: for we will shewe you a thing. Then Ionathan said vnto his armour bearer, Come vp after me: for the Lord hath deliuered them into the hand of Israel.
[GNV | EN | OT | 1 Samuel | Chapter 14 | Verse 13] So Ionathan went vp vpon his hands and vpon his feete, and his armour bearer after him: and some fell before Ionathan, and his armour bearer slewe others after him.
[GNV | EN | OT | 1 Samuel | Chapter 14 | Verse 14] So the first slaughter which Ionathan and his armour bearer made, was about twentie men, as it were within halfe an acre of land which two oxen plowe.
[GNV | EN | OT | 1 Samuel | Chapter 14 | Verse 15] And there was a feare in the hoste, and in the field, and among all the people: the garison also, and they that went out to spoyle, were afraid themselues: and the earth trembled: for it was striken with feare by God.
[GNV | EN | OT | 1 Samuel | Chapter 14 | Verse 16] Then the watchmen of Saul in Gibeah of Beniamin sawe: and beholde, the multitude was discomfited, and smitten as they went.
[GNV | EN | OT | 1 Samuel | Chapter 14 | Verse 17] Therefore saide Saul vnto the people that were with him, Search nowe and see, who is gone from vs. And when they had nombred, beholde, Ionathan and his armour bearer were not there.
[GNV | EN | OT | 1 Samuel | Chapter 14 | Verse 18] And Saul said vnto Ahiah, Bring hither the Arke of God (for the Arke of God was at that time with the children of Israel)
[GNV | EN | OT | 1 Samuel | Chapter 14 | Verse 19] And while Saul talked vnto the Priest, the noyse that was in the hoste of the Philistims, spred farther abroade, and encreased: therefore Saul said vnto the Priest, Withdraw thine hand.
[GNV | EN | OT | 1 Samuel | Chapter 14 | Verse 20] And Saul was assembled with all the people that were with him, and they came to the battell: and behold, euery mans sworde was against his fellow, and there was a very great discomfiture.
[GNV | EN | OT | 1 Samuel | Chapter 14 | Verse 21] Moreouer, the Ebrewes that were with the Philistims beforetime, and were come with them into all partes of the hoste, euen they also turned to be with the Israelites that were with Saul and Ionathan.
[GNV | EN | OT | 1 Samuel | Chapter 14 | Verse 22] Also all the men of Israel which had hid themselues in mount Ephraim, when they heard, that the Philistims were fled, they followed after them in the battell.
[GNV | EN | OT | 1 Samuel | Chapter 14 | Verse 23] And so the Lord saued Israel that day: and the battell continued vnto Beth-auen.
[GNV | EN | OT | 1 Samuel | Chapter 14 | Verse 24] And at that time the men of Israel were pressed with hunger: for Saul charged the people with an othe, saying, Cursed be the man that eateth foode till night, that I may be auenged of mine enemies: so none of the people tasted any sustenance.
[GNV | EN | OT | 1 Samuel | Chapter 14 | Verse 25] And all they of the land came to a wood, where hony lay vpon the ground.
[GNV | EN | OT | 1 Samuel | Chapter 14 | Verse 26] And the people came into the wood, and beholde, the hony dropped, and no man mooued his hand to his mouth: for the people feared the othe.
[GNV | EN | OT | 1 Samuel | Chapter 14 | Verse 27] But Ionathan heard not when his father charged the people with the othe: wherefore he put foorth the ende of the rod that was in his hand, and dipt it in an hony combe, and put his hand to his mouth, and his eyes receiued sight.
[GNV | EN | OT | 1 Samuel | Chapter 14 | Verse 28] Then answered one of the people, and said, Thy father made the people to sweare, saying, Cursed be the man that eateth sustenance this day: and the people were faint.
[GNV | EN | OT | 1 Samuel | Chapter 14 | Verse 29] Then said Ionathan, My father hath troubled the land: see nowe howe mine eyes are made cleare, because I haue tasted a litle of this honie:
