[GNV | EN | OT | 1 Samuel | Chapter 1 | Verse 1] There was a man of one of the two Ramathaim Zophim, of mount Ephraim, whose name was Elkanah the sonne of Ieroham, the sonne of Elihu, the sonne of Tohu, the sonne of Zuph, an Ephrathite:
[GNV | EN | OT | 1 Samuel | Chapter 1 | Verse 2] And he had two wiues: the name of one was Hannah, and the name of the other Peninnah: and Peninnah had children, but Hannah had no children.
[GNV | EN | OT | 1 Samuel | Chapter 1 | Verse 3] And this man went vp out of his citie euery yeere, to worship and to sacrifice vnto the Lord of hostes in Shiloh, where were the two sonnes of Eli, Hophni and Phinehas Priests of the Lord.
[GNV | EN | OT | 1 Samuel | Chapter 1 | Verse 4] And on a day, when Elkanah sacrificed, he gaue to Peninnah his wife and to all her sonnes and daughters portions,
[GNV | EN | OT | 1 Samuel | Chapter 1 | Verse 5] But vnto Hannah he gaue a worthy portion: for he loued Hannah, and the Lord had made her barren.
[GNV | EN | OT | 1 Samuel | Chapter 1 | Verse 6] And her aduersarie vexed her sore, forasmuch as she vpbraided her, because the Lord had made her barren.
[GNV | EN | OT | 1 Samuel | Chapter 1 | Verse 7] (And so did he yeere by yeere) and as oft as she went vp to the house of the Lord, thus she vexed her, that she wept and did not eate.
[GNV | EN | OT | 1 Samuel | Chapter 1 | Verse 8] Then sayd Elkanah her husband to her, Hannah, why weepest thou? and why eatest thou not? and why is thine heart troubled? am not I better to thee then ten sonnes?
[GNV | EN | OT | 1 Samuel | Chapter 1 | Verse 9] So Hannah rose vp after that they had eaten and drunke in Shiloh (and Eli the Priest sate vpon a stoole by one of the postes of the Temple of the Lord)
[GNV | EN | OT | 1 Samuel | Chapter 1 | Verse 10] And she was troubled in her minde, and prayed vnto the Lord, and wept sore:
[GNV | EN | OT | 1 Samuel | Chapter 1 | Verse 11] Also she vowed a vowe, and sayd, O Lord of hostes, if thou wilt looke on the trouble of thine handmaide, and remember me, and not forget thine handmaide, but giue vnto thine handmaide a manchilde, then I will giue him vnto the Lord all the dayes of his life, and there shall no rasor come vpon his head.
[GNV | EN | OT | 1 Samuel | Chapter 1 | Verse 12] And as she continued praying before the Lord, Eli marked her mouth.
[GNV | EN | OT | 1 Samuel | Chapter 1 | Verse 13] For Hannah spake in her heart: her lips did moue onely, but her voyce was not heard: therefore Eli thought she had bene drunken.
[GNV | EN | OT | 1 Samuel | Chapter 1 | Verse 14] And Eli sayde vnto her, Howe long wilt thou be drunken? Put away thy drunkennesse from thee.
[GNV | EN | OT | 1 Samuel | Chapter 1 | Verse 15] Then Hannah answered and sayd, Nay my lord, but I am a woman troubled in spirit: I haue drunke neither wine nor strong drinke, but haue powred out my soule before the Lord.
[GNV | EN | OT | 1 Samuel | Chapter 1 | Verse 16] Count not thine handmaide for a wicked woman: for of the abundance of my complaint and my griefe haue I spoken hitherto.
[GNV | EN | OT | 1 Samuel | Chapter 1 | Verse 17] Then Eli answered, and sayd, Go in peace, and the God of Israel graunt thy petition that thou hast asked of him.
[GNV | EN | OT | 1 Samuel | Chapter 1 | Verse 18] She sayd againe, Let thine handmayd finde grace in thy sight: so the woman went her way, and did eate, and looked no more sad.
[GNV | EN | OT | 1 Samuel | Chapter 1 | Verse 19] Then they rose vp early, and worshipped before the Lord, and returned, and came to their house to Ramah. Nowe Elkanah knewe Hannah his wife, and the Lord remembred her.
[GNV | EN | OT | 1 Samuel | Chapter 1 | Verse 20] For in processe of time Hannah conceiued, and bare a sonne, and she called his name Samuel, Because, said she, I haue asked him of the Lord.
[GNV | EN | OT | 1 Samuel | Chapter 1 | Verse 21] So the man Elkanah and all his house went vp to offer vnto the Lord the yeerely sacrifice, and his vowe:
[GNV | EN | OT | 1 Samuel | Chapter 1 | Verse 22] But Hannah went not vp: for she sayd vnto her husband, I will tarie vntill the childe be weined, then I will bring him that hee may appeare before the Lord, and there abide for euer.
[GNV | EN | OT | 1 Samuel | Chapter 1 | Verse 23] And Elkanah her husband sayd vnto her, Do what seemeth thee best: tarie vntill thou hast weined him: only the Lord accomplish his word. So the woman abode, and gaue her sonne sucke vntill she weined him.
[GNV | EN | OT | 1 Samuel | Chapter 1 | Verse 24] And when she had weined him, she tooke him with her with three bullockes and an Ephah of floure and a bottell of wine, and brought him vnto the house of the Lord in Shiloh, and the childe was yong.
[GNV | EN | OT | 1 Samuel | Chapter 1 | Verse 25] And they slewe a bullocke, and brought the childe to Eli.
[GNV | EN | OT | 1 Samuel | Chapter 1 | Verse 26] And she said, Oh my Lord, as thy soule liueth, my lord, I am the woman that stoode with thee here praying vnto the Lord.
[GNV | EN | OT | 1 Samuel | Chapter 1 | Verse 27] I prayed for this childe, and the Lord hath giuen me my desire which I asked of him.
[GNV | EN | OT | 1 Samuel | Chapter 1 | Verse 28] Therefore also I haue giuen him vnto the Lord: as long as he liueth hee shalbe giuen vnto the Lord: and he worshipped the Lord there.
