[GNV | EN | OT | 1 Samuel | Chapter 16 | Verse 1] The Lord then saide vnto Samuel, Howe long wilt thou mourne for Saul, seeing I haue cast him away from reigning ouer Israel? fill thine horne with oyle and come, I will sende thee to Ishai the Bethlehemite: for I haue prouided mee a King among his sonnes.
[GNV | EN | OT | 1 Samuel | Chapter 16 | Verse 2] And Samuel sayde, Howe can I goe? for if Saul shall heare it, he will kill me. Then the Lord answered, Take an heifer with thee, and say, I am come to doe sacrifice to the Lord.
[GNV | EN | OT | 1 Samuel | Chapter 16 | Verse 3] And call Ishai to the sacrifice, and I will shewe thee what thou shalt doe, and thou shalt anoynt vnto me him whom I name vnto thee.
[GNV | EN | OT | 1 Samuel | Chapter 16 | Verse 4] So Samuel did that the Lord bade him, and came to Beth-lehem, and the Elders of the towne were astonied at his comming, and sayd, Commest thou peaceablie?
[GNV | EN | OT | 1 Samuel | Chapter 16 | Verse 5] And he answeared, Yea: I am come to doe sacrifice vnto the Lord: sanctifie your selues, and come with me to the sacrifice. And he sanctified Ishai and his sonnes, and called them to the sacrifice.
[GNV | EN | OT | 1 Samuel | Chapter 16 | Verse 6] And when they were come, hee looked on Eliab, and saide, Surely the Lordes Anointed is before him.
[GNV | EN | OT | 1 Samuel | Chapter 16 | Verse 7] But the Lord said vnto Samuel, Looke not on his countenance, nor on the height of his stature, because I haue refused him: for God seeth not as man seeth: for man looketh on the outward appearance, but the Lord beholdeth the heart.
[GNV | EN | OT | 1 Samuel | Chapter 16 | Verse 8] Then Ishai called Abinadab, and made him come before Samuel. And he saide, Neither hath the Lord chosen this.
[GNV | EN | OT | 1 Samuel | Chapter 16 | Verse 9] Then Ishai made Shammah come. And he said, Neither yet hath the Lord chosen him.
[GNV | EN | OT | 1 Samuel | Chapter 16 | Verse 10] Againe Ishai made his seue sonnes to come before Samuel: and Samuel saide vnto Ishai, The Lord hath chosen none of these.
[GNV | EN | OT | 1 Samuel | Chapter 16 | Verse 11] Finally, Samuel said vnto Ishai, Are there no more children but these? And hee sayde, There remaineth yet a litle one behinde, that keepeth the sheepe. Then Samuel saide vnto Ishai, Sende and set him: for we will not sit downe, till he be come hither.
[GNV | EN | OT | 1 Samuel | Chapter 16 | Verse 12] And he sent, and brought him in: and he was ruddie, and of a good countenance, and comely visage. And the Lord saide, Arise, and anoynt him: for this is he.
[GNV | EN | OT | 1 Samuel | Chapter 16 | Verse 13] Then Samuel tooke the horne of oyle, and anoynted him in the middes of his brethren. And the Spirit of the Lord came vpon Dauid, from that day forwarde: then Samuel rose vp, and went to Ramah.
[GNV | EN | OT | 1 Samuel | Chapter 16 | Verse 14] But the Spirite of the Lord departed from Saul, and an euill spirite sent of the Lord vexed him.
[GNV | EN | OT | 1 Samuel | Chapter 16 | Verse 15] And Sauls seruants said vnto him, Beholde nowe, the euill spirite of God vexeth thee.
[GNV | EN | OT | 1 Samuel | Chapter 16 | Verse 16] Let our Lord therefore command thy seruants, that are before thee, to seeke a man that is a cunning plaier vpon the harpe: that when the euil spirit of God commeth vpon thee, hee may play with his hand, and thou maiest be eased.
[GNV | EN | OT | 1 Samuel | Chapter 16 | Verse 17] Saul then saide vnto his seruantes, Prouide me a man, I pray you, that can play well, and bring him to me.
[GNV | EN | OT | 1 Samuel | Chapter 16 | Verse 18] Then answered one of his seruauntes, and sayde, Beholde, I haue seene a sonne of Ishai, a Bethlehemite, that can plaie, and is strong, valiant and a man of warre and wise in matters, and a comely person, and the Lord is with him.
[GNV | EN | OT | 1 Samuel | Chapter 16 | Verse 19] Wherefore Saul sent messengers vnto Ishai, and said, Send me Dauid thy sonne which is with the sheepe.
[GNV | EN | OT | 1 Samuel | Chapter 16 | Verse 20] And Ishai tooke an asse laden with breade and a flagon of wine and a kidde, and sent them by the hand of Dauid his sonne vnto Saul.
[GNV | EN | OT | 1 Samuel | Chapter 16 | Verse 21] And Dauid came to Saul, and stoode before him: and he loued him verie well, and he was his armour bearer.
[GNV | EN | OT | 1 Samuel | Chapter 16 | Verse 22] And Saul sent to Ishai, saying, Let Dauid nowe remaine with me: for he hath found fauour in my sight.
[GNV | EN | OT | 1 Samuel | Chapter 16 | Verse 23] And so when the euil spirite of God came vpon Saul, Dauid tooke an harpe and plaied with his hande, and Saul was refreshed, and was eased: for the euill spirit departed from him.
