[GNV | EN | OT | 1 Samuel | Chapter 9 | Verse 1] There was nowe a man of Beniamin, mightie in power named Kish, the sonne of Abiel, the sonne of Zeror, the sonne of Bechorath, the sonne of Aphiah, the sonne of a man of Iemini.
[GNV | EN | OT | 1 Samuel | Chapter 9 | Verse 2] And he had a sonne called Saul, a goodly yong man and a faire: so that among the children of Israel there was none goodlier then he: from the shoulders vpwarde he was hier then any of the people.
[GNV | EN | OT | 1 Samuel | Chapter 9 | Verse 3] And the asses of Kish Sauls father were lost: therefore Kish said to Saul his sonne, Take nowe one of the seruants with thee, and arise, goe, and seeke the asses.
[GNV | EN | OT | 1 Samuel | Chapter 9 | Verse 4] So he passed through mount Ephraim, and went through the lande of Shalishah, but they found them not. Then they went through the land of Shalim, and there they were not: he went also through ye land of Iemini, but they found the not.
[GNV | EN | OT | 1 Samuel | Chapter 9 | Verse 5] When they came to the lande of Zuph, Saul saide vnto his seruant that was with him, Come and let vs returne, lest my father leaue the care of asses, and take thought for vs.
[GNV | EN | OT | 1 Samuel | Chapter 9 | Verse 6] And he said vnto him, Behold nowe, in this citie is a man of God, and he is an honorable man: all that he saith commeth to passe: let vs nowe goe thither, if so be that he can shewe vs what way we may goe.
[GNV | EN | OT | 1 Samuel | Chapter 9 | Verse 7] Then saide Saul to his seruant, Well then, let vs goe: but what shall we bring vnto the man? For the bread is spent in our vessels, and there is no present to bring to the man of God: what haue we?
[GNV | EN | OT | 1 Samuel | Chapter 9 | Verse 8] And the seruant answered Saul againe, and said, Beholde, I haue founde about me the fourth part of a shekell of siluer: that will I giue the man of God, to tell vs our way.
[GNV | EN | OT | 1 Samuel | Chapter 9 | Verse 9] (Beforetime in Israel when a man went to seeke an answere of God, thus he spake, Come, and let vs goe to the Seer: for he that is called nowe a Prophet, was in the olde time called a Seer)
[GNV | EN | OT | 1 Samuel | Chapter 9 | Verse 10] Then saide Saul to his seruant, Well saide, come, let vs goe: so they went into the citie where the man of God was.
[GNV | EN | OT | 1 Samuel | Chapter 9 | Verse 11] And as they were going vp the hie way to the citie, they found maydes that came out to draw water, and said vnto them, Is there here a Seer?
[GNV | EN | OT | 1 Samuel | Chapter 9 | Verse 12] And they answered them, and said, Yea: loe, he is before you: make haste nowe, for he came this day to the citie: for there is an offering of the people this day in the hie place.
[GNV | EN | OT | 1 Samuel | Chapter 9 | Verse 13] When ye shall come into the citie, ye shall finde him straightway yet he come vp to the hie place to eate: for the people will not eate vntill he come, because he will blesse the sacrifice: and then eate they that be bidden to the feast: nowe therefore goe vp: for euen now shall ye find him.
[GNV | EN | OT | 1 Samuel | Chapter 9 | Verse 14] Then they went vp into the citie, and when they were come into the middes of the citie, Samuel came out against them, to goe vp to the hie place.
[GNV | EN | OT | 1 Samuel | Chapter 9 | Verse 15] But the Lord had reueiled to Samuel secretly (a day before Saul came) saying,
[GNV | EN | OT | 1 Samuel | Chapter 9 | Verse 16] To morow about this time I will send thee a man out of the land of Beniamin: him shalt thou anoint to be gouernour ouer my people Israel, that he may saue my people out of the hands of the Philistims: for I haue looked vpon my people, and their crie is come vnto me.
[GNV | EN | OT | 1 Samuel | Chapter 9 | Verse 17] When Samuel therefore sawe Saul, the Lord answered him, See, this is the man whom I spake to thee of, he shall rule my people.
[GNV | EN | OT | 1 Samuel | Chapter 9 | Verse 18] Then went Saul to Samuel in the middes of the gate, and said, Tell me, I pray thee, where the Seers house is.
[GNV | EN | OT | 1 Samuel | Chapter 9 | Verse 19] And Samuel answered Saul, and saide, I am the Seer: goe vp before me vnto the hie place: for ye shall eate with me to day. and to morowe I will let thee goe, and will tell thee all that is in thine heart.
[GNV | EN | OT | 1 Samuel | Chapter 9 | Verse 20] And as for thine asses that were lost three dayes ago, care not for them: for they are founde. and on whom is set all the desire of Israel? is it not vpon thee and on all thy fathers house?
[GNV | EN | OT | 1 Samuel | Chapter 9 | Verse 21] But Saul answered, and said, Am not I the sonne of Iemini of the smallest tribe of Israel? and my familie is the least of all the families of the tribe of Beniamin. Wherefore then speakest thou so to me?
[GNV | EN | OT | 1 Samuel | Chapter 9 | Verse 22] And Samuel tooke Saul and his seruant, and brought them into the chamber, and made them sit in the chiefest place among them that were bidden: which were about thirtie persons.
[GNV | EN | OT | 1 Samuel | Chapter 9 | Verse 23] And Samuel saide vnto the cooke, Bring foorth the portion which I gaue thee, and whereof I said vnto thee, Keepe it with thee.
[GNV | EN | OT | 1 Samuel | Chapter 9 | Verse 24] And the cooke tooke vp the shoulder, and that which was vpon it, and set it before Saul. And Samuel said, Beholde, that which is left, set it before thee and eate: for hitherto hath it bene kept for thee, saying, Also I haue called the people. So Saul did eate with Samuel that day.
[GNV | EN | OT | 1 Samuel | Chapter 9 | Verse 25] And when they were come downe from the hie place into the citie, he communed with Saul vpon the top of the house.
[GNV | EN | OT | 1 Samuel | Chapter 9 | Verse 26] And when they arose early about ye spring of the day, Samuel called Saul to the top of the house, saying, Vp, that I may send thee away. And Saul arose, and they went out, both he, and Samuel.
[GNV | EN | OT | 1 Samuel | Chapter 9 | Verse 27] And when they were come downe to the ende of the citie, Samuel said to Saul, Bid the seruant goe before vs, (and he went) but stand thou still nowe, that I may shewe thee the worde of God.
