[GNV | EN | OT | 1 Samuel | Chapter 24 | Verse 1] And Dauid went thence, and dwelt in holdes at En-gedi.
[GNV | EN | OT | 1 Samuel | Chapter 24 | Verse 2] When Saul was turned from ye Philistims, they told him, saying, Behold, Dauid is in the wildernes of En-gedi.
[GNV | EN | OT | 1 Samuel | Chapter 24 | Verse 3] Then Saul tooke three thousande chosen men out of all Israel, and went to seeke Dauid and his men vpon the rocks among the wilde goates.
[GNV | EN | OT | 1 Samuel | Chapter 24 | Verse 4] And hee came to the sheepecoates by the way where there was a caue, and Saul went in to do his easement: and Dauid and his men sate in the inward parts of the caue.
[GNV | EN | OT | 1 Samuel | Chapter 24 | Verse 5] And the men of Dauid said vnto him, See, the day is come, whereof the Lord sayde vnto thee, Beholde, I will deliuer thine enemie into thine hande, and thou shalt doe to him as it shall seeme good to thee. Then Dauid arose and cut off the lap of Sauls garment priuily.
[GNV | EN | OT | 1 Samuel | Chapter 24 | Verse 6] And afterward Dauid was touched in his heart, because he had cut off the lappe which was on Sauls garment.
[GNV | EN | OT | 1 Samuel | Chapter 24 | Verse 7] And he said vnto his men, The Lord keepe mee from doing that thing vnto my master the Lords Anoynted, to lay mine hand vpon him: for he is the Anoynted of the Lord.
[GNV | EN | OT | 1 Samuel | Chapter 24 | Verse 8] So Dauid ouercame his seruants with these words, and suffered them not to arise against Saul: so Saul rose vp out of the caue and went away.
[GNV | EN | OT | 1 Samuel | Chapter 24 | Verse 9] Dauid also arose afterward, and went out of the caue, and cryed after Saul, saying, O my lorde the King. And when Saul looked behinde him, Dauid inclined his face to the earth, and bowed himselfe.
[GNV | EN | OT | 1 Samuel | Chapter 24 | Verse 10] And Dauid saide to Saul, Wherefore giuest thou an eare to mens words, that say, Behold, Dauid seeketh euill against thee?
[GNV | EN | OT | 1 Samuel | Chapter 24 | Verse 11] Behold, this day thine eyes haue seene, that the Lord had deliuered thee this day into mine hand in the caue, and some bade me kill thee, but I had compassion on thee, and said, I will not lay mine hande on my master: for he is the Lordes Anoynted.
[GNV | EN | OT | 1 Samuel | Chapter 24 | Verse 12] Moreouer my father, behold: behold, I say, the lappe of thy garment in mine hand: for when I cut off the lappe of thy garment, I killed thee not. Vnderstad and see, that there is neither euil nor wickednesse in mee, neither haue I sinned against thee, yet thou huntest after my soule to take it.
[GNV | EN | OT | 1 Samuel | Chapter 24 | Verse 13] The Lord be iudge betweene thee and me, and the Lord auenge me of thee, and let not mine hand be vpon thee.
[GNV | EN | OT | 1 Samuel | Chapter 24 | Verse 14] According as the olde prouerbe sayeth, Wickednesse proceedeth from the wicked, but mine hand be not vpon thee.
[GNV | EN | OT | 1 Samuel | Chapter 24 | Verse 15] After whom is the King of Israel come out? after whome doest thou pursue? after a dead dog, and after a flea?
[GNV | EN | OT | 1 Samuel | Chapter 24 | Verse 16] The Lord therfore be iudge, and iudge betweene thee and me, and see, and pleade my cause, and deliuer me out of thine hand.
[GNV | EN | OT | 1 Samuel | Chapter 24 | Verse 17] Whe Dauid had made an end of speaking these words to Saul, Saul sayd, Is this thy voyce, my sonne Dauid? and Saul lift vp his voice, and wept,
[GNV | EN | OT | 1 Samuel | Chapter 24 | Verse 18] And sayd to Dauid, Thou art more righteous then I: for thou hast rendred me good, and I haue rendred thee euill.
[GNV | EN | OT | 1 Samuel | Chapter 24 | Verse 19] And thou hast shewed this day, that thou hast dealt well with me: forasmuch as when the Lord had closed me in thine hands, thou killedst me not.
[GNV | EN | OT | 1 Samuel | Chapter 24 | Verse 20] For who shall finde his enemie, and let him depart free? wherefore the Lord render thee good for that thou hast done vnto me this day.
[GNV | EN | OT | 1 Samuel | Chapter 24 | Verse 21] For now behold, I know that thou shalt be King, and that the kingdome of Israel shall be stablished in thine hand.
[GNV | EN | OT | 1 Samuel | Chapter 24 | Verse 22] Sweare now therfore vnto me by the Lord, that thou wilt not destroy my seede after me, and that thou wilt not abolish my name out of my fathers house.
[GNV | EN | OT | 1 Samuel | Chapter 24 | Verse 23] So Dauid sware vnto Saul, and Saul went home: but Dauid and his men went vp vnto ye hold.
