[WEB | EN | NT | Romans | Chapter 16 | Verse 1] I commend to you Phoebe, our sister, who is a servant of the assembly that is at Cenchreae,
[WEB | EN | NT | Romans | Chapter 16 | Verse 2] that you receive her in the Lord in a way worthy of the saints, and that you assist her in whatever matter she may need from you, for she herself also has been a helper of many, and of my own self.
[WEB | EN | NT | Romans | Chapter 16 | Verse 3] Greet Prisca and Aquila, my fellow workers in Christ Jesus,
[WEB | EN | NT | Romans | Chapter 16 | Verse 4] who risked their own necks for my life, to whom not only I give thanks, but also all the assemblies of the Gentiles.
[WEB | EN | NT | Romans | Chapter 16 | Verse 5] Greet the assembly that is in their house. Greet Epaenetus, my beloved, who is the first fruits of Achaia to Christ.
[WEB | EN | NT | Romans | Chapter 16 | Verse 6] Greet Mary, who labored much for us.
[WEB | EN | NT | Romans | Chapter 16 | Verse 7] Greet Andronicus and Junia, my relatives and my fellow prisoners, who are notable among the apostles, who were also in Christ before me.
[WEB | EN | NT | Romans | Chapter 16 | Verse 8] Greet Amplias, my beloved in the Lord.
[WEB | EN | NT | Romans | Chapter 16 | Verse 9] Greet Urbanus, our fellow worker in Christ, and Stachys, my beloved.
[WEB | EN | NT | Romans | Chapter 16 | Verse 10] Greet Apelles, the approved in Christ. Greet those who are of the household of Aristobulus.
[WEB | EN | NT | Romans | Chapter 16 | Verse 11] Greet Herodion, my kinsman. Greet them of the household of Narcissus, who are in the Lord.
[WEB | EN | NT | Romans | Chapter 16 | Verse 12] Greet Tryphaena and Tryphosa, who labor in the Lord. Greet Persis, the beloved, who labored much in the Lord.
[WEB | EN | NT | Romans | Chapter 16 | Verse 13] Greet Rufus, the chosen in the Lord, and his mother and mine.
[WEB | EN | NT | Romans | Chapter 16 | Verse 14] Greet Asyncritus, Phlegon, Hermes, Patrobas, Hermas, and the brothers who are with them.
[WEB | EN | NT | Romans | Chapter 16 | Verse 15] Greet Philologus and Julia, Nereus and his sister, and Olympas, and all the saints who are with them.
[WEB | EN | NT | Romans | Chapter 16 | Verse 16] Greet one another with a holy kiss. The assemblies of Christ greet you.
[WEB | EN | NT | Romans | Chapter 16 | Verse 17] Now I beg you, brothers, look out for those who are causing the divisions and occasions of stumbling, contrary to the doctrine which you learned, and turn away from them.
[WEB | EN | NT | Romans | Chapter 16 | Verse 18] For those who are such don’t serve our Lord Jesus Christ, but their own belly; and by their smooth and flattering speech they deceive the hearts of the innocent.
[WEB | EN | NT | Romans | Chapter 16 | Verse 19] For your obedience has become known to all. I rejoice therefore over you. But I desire to have you wise in that which is good, but innocent in that which is evil.
[WEB | EN | NT | Romans | Chapter 16 | Verse 20] And the God of peace will quickly crush Satan under your feet. The grace of our Lord Jesus Christ be with you.
[WEB | EN | NT | Romans | Chapter 16 | Verse 21] Timothy, my fellow worker, greets you, as do Lucius, Jason, and Sosipater, my relatives.
[WEB | EN | NT | Romans | Chapter 16 | Verse 22] I, Tertius, who write the letter, greet you in the Lord.
[WEB | EN | NT | Romans | Chapter 16 | Verse 23] Gaius, my host and host of the whole assembly, greets you. Erastus, the treasurer of the city, greets you, as does Quartus, the brother.
[WEB | EN | NT | Romans | Chapter 16 | Verse 24] The grace of our Lord Jesus Christ be with you all! Amen.
