[WEB | EN | NT | Romans | Chapter 6 | Verse 1] What shall we say then? Shall we continue in sin, that grace may abound?
[WEB | EN | NT | Romans | Chapter 6 | Verse 2] May it never be! We who died to sin, how could we live in it any longer?
[WEB | EN | NT | Romans | Chapter 6 | Verse 3] Or don’t you know that all of us who were baptized into Christ Jesus were baptized into his death?
[WEB | EN | NT | Romans | Chapter 6 | Verse 4] We were buried therefore with him through baptism into death, that just as Christ was raised from the dead through the glory of the Father, so we also might walk in newness of life.
[WEB | EN | NT | Romans | Chapter 6 | Verse 5] For if we have become united with him in the likeness of his death, we will also be part of his resurrection;
[WEB | EN | NT | Romans | Chapter 6 | Verse 6] knowing this, that our old man was crucified with him, that the body of sin might be done away with, so that we would no longer be in bondage to sin.
[WEB | EN | NT | Romans | Chapter 6 | Verse 7] For he who has died has been freed from sin.
[WEB | EN | NT | Romans | Chapter 6 | Verse 8] But if we died with Christ, we believe that we will also live with him,
[WEB | EN | NT | Romans | Chapter 6 | Verse 9] knowing that Christ, being raised from the dead, dies no more. Death no longer has dominion over him!
[WEB | EN | NT | Romans | Chapter 6 | Verse 10] For the death that he died, he died to sin one time; but the life that he lives, he lives to God.
[WEB | EN | NT | Romans | Chapter 6 | Verse 11] Thus consider yourselves also to be dead to sin, but alive to God in Christ Jesus our Lord.
[WEB | EN | NT | Romans | Chapter 6 | Verse 12] Therefore don’t let sin reign in your mortal body, that you should obey it in its lusts.
[WEB | EN | NT | Romans | Chapter 6 | Verse 13] Also, do not present your members to sin as instruments of unrighteousness, but present yourselves to God as alive from the dead, and your members as instruments of righteousness to God.
[WEB | EN | NT | Romans | Chapter 6 | Verse 14] For sin will not have dominion over you, for you are not under law, but under grace.
[WEB | EN | NT | Romans | Chapter 6 | Verse 15] What then? Shall we sin because we are not under law but under grace? May it never be!
[WEB | EN | NT | Romans | Chapter 6 | Verse 16] Don’t you know that when you present yourselves as servants and obey someone, you are the servants of whomever you obey, whether of sin to death, or of obedience to righteousness?
[WEB | EN | NT | Romans | Chapter 6 | Verse 17] But thanks be to God that, whereas you were bondservants of sin, you became obedient from the heart to that form of teaching to which you were delivered.
[WEB | EN | NT | Romans | Chapter 6 | Verse 18] Being made free from sin, you became bondservants of righteousness.
[WEB | EN | NT | Romans | Chapter 6 | Verse 19] I speak in human terms because of the weakness of your flesh; for as you presented your members as servants to uncleanness and to wickedness upon wickedness, even so now present your members as servants to righteousness for sanctification.
[WEB | EN | NT | Romans | Chapter 6 | Verse 20] For when you were servants of sin, you were free from righteousness.
[WEB | EN | NT | Romans | Chapter 6 | Verse 21] What fruit then did you have at that time in the things of which you are now ashamed? For the end of those things is death.
[WEB | EN | NT | Romans | Chapter 6 | Verse 22] But now, being made free from sin and having become servants of God, you have your fruit of sanctification and the result of eternal life.
[WEB | EN | NT | Romans | Chapter 6 | Verse 23] For the wages of sin is death, but the free gift of God is eternal life in Christ Jesus our Lord.
