[DRA | EN | OT | Daniel | Chapter 11 | Verse 1] And from the first year of Darius the Mede I stood up that he might be strengthened and confirmed.
[DRA | EN | OT | Daniel | Chapter 11 | Verse 2] And now I will shew thee the truth. Behold there shall stand yet three kings in Persia, and the fourth shall be enriched exceedingly above them all: and when he shall be grown mighty by his riches, he shall stir up all against the kingdom of Greece.
[DRA | EN | OT | Daniel | Chapter 11 | Verse 3] But there shall rise up a strong king, and shall rule with great power: and he shall do what he pleaseth.
[DRA | EN | OT | Daniel | Chapter 11 | Verse 4] And when he shall come to his height, his kingdom shall be broken, and it shall be divided towards the four winds of the heaven: but not to his posterity, nor according to his power with which he ruled. For his kingdom shall be rent in pieces, even for strangers, beside these.
[DRA | EN | OT | Daniel | Chapter 11 | Verse 5] And the king of the south shall be strengthened, and one of his princes shall prevail over him, and he shall rule with great power: for his dominion shall be great.
[DRA | EN | OT | Daniel | Chapter 11 | Verse 6] And after the end of years they shall be in league together: and the daughter of the king of the south shall come to the king of the north to make friendship, but she shall not obtain the strength of the arm, neither shall her seed stand: and she shall be given up, and her young men that brought her, and they that strengthened her in these times.
[DRA | EN | OT | Daniel | Chapter 11 | Verse 7] And a plant of the bud of her roots, shall stand up: and he shall come with an army, and shall enter into the province of the king of the north: and he shall abuse them, and shall prevail.
[DRA | EN | OT | Daniel | Chapter 11 | Verse 8] And he shall also carry away captive into Egypt their gods, and their graven things, and their precious vessels of gold and silver: he shall prevail against the king of the north.
[DRA | EN | OT | Daniel | Chapter 11 | Verse 9] And the king of the south shall enter into the kingdom, and shall return to his own land.
[DRA | EN | OT | Daniel | Chapter 11 | Verse 10] And his sons shall be provoked, and they shall assemble a multitude of great forces: and he shall come with haste like a flood: and he shall return and be stirred up, and he shall join battle with his forces.
[DRA | EN | OT | Daniel | Chapter 11 | Verse 11] And the king of the south being provoked shall go forth, and shall fight against the king of the north, and shall prepare an exceeding great multitude, and a multitude shall be given into his hand.
[DRA | EN | OT | Daniel | Chapter 11 | Verse 12] And he shall take a multitude, and his heart shall be lifted up, and he shall cast down many thousands: but he shall not prevail.
[DRA | EN | OT | Daniel | Chapter 11 | Verse 13] For the king of the north shall return and shall prepare a multitude much greater than before: and in the end of times and years, be shall come in haste with a great army, and much riches.
[DRA | EN | OT | Daniel | Chapter 11 | Verse 14] And in those times many shall rise up against the king of the south, and the children of prevaricators of thy people shall lift up themselves to fulfill the vision, and they shall fall.
[DRA | EN | OT | Daniel | Chapter 11 | Verse 15] And the king of the north shall come, and shall cast up a mount, and shall take the best fenced cities: and the arms of the south shall not withstand, and his chosen ones shall rise up to resist, and they shall not have strength.
[DRA | EN | OT | Daniel | Chapter 11 | Verse 16] And he shall come upon him and do according to his pleasure, and there shall be none to stand against his face: and he shall stand in the glorious land, and it shall be consumed by his hand.
[DRA | EN | OT | Daniel | Chapter 11 | Verse 17] And he shall set his face to come to possess all his kingdom, and he shall make upright conditions with him: and he shall give him a daughter of women, to overthrow it: and she shall not stand, neither shall she be for him.
[DRA | EN | OT | Daniel | Chapter 11 | Verse 18] And he shall turn his face to the islands, and shall take many: and he shall cause the prince of his reproach to cease, and his reproach shall be turned upon him.
