[KJV | EN | OT | Job | Chapter 5 | Verse 1] Call now, if there be any that will answer thee; And to which of the saints wilt thou turn?
[KJV | EN | OT | Job | Chapter 5 | Verse 2] For wrath killeth the foolish man, And envy slayeth the silly one.
[KJV | EN | OT | Job | Chapter 5 | Verse 3] I have seen the foolish taking root: But suddenly I cursed his habitation.
[KJV | EN | OT | Job | Chapter 5 | Verse 4] His children are far from safety, And they are crushed in the gate, neither is there any to deliver them.
[KJV | EN | OT | Job | Chapter 5 | Verse 5] Whose harvest the hungry eateth up, And taketh it even out of the thorns, And the robber swalloweth up their substance.
[KJV | EN | OT | Job | Chapter 5 | Verse 6] Although affliction cometh not forth of the dust, Neither doth trouble spring out of the ground;
[KJV | EN | OT | Job | Chapter 5 | Verse 7] Yet man is born unto trouble, As the sparks fly upward.
[KJV | EN | OT | Job | Chapter 5 | Verse 8] I would seek unto God, And unto God would I commit my cause:
[KJV | EN | OT | Job | Chapter 5 | Verse 9] Which doeth great things and unsearchable; Marvellous things without number:
[KJV | EN | OT | Job | Chapter 5 | Verse 10] Who giveth rain upon the earth, And sendeth waters upon the fields:
[KJV | EN | OT | Job | Chapter 5 | Verse 11] To set up on high those that be low; That those which mourn may be exalted to safety.
[KJV | EN | OT | Job | Chapter 5 | Verse 12] He disappointeth the devices of the crafty, So that their hands cannot perform their enterprise.
[KJV | EN | OT | Job | Chapter 5 | Verse 13] He taketh the wise in their own craftiness: And the counsel of the froward is carried headlong.
[KJV | EN | OT | Job | Chapter 5 | Verse 14] They meet with darkness in the daytime, And grope in the noonday as in the night.
[KJV | EN | OT | Job | Chapter 5 | Verse 15] But he saveth the poor from the sword, From their mouth, and from the hand of the mighty.
[KJV | EN | OT | Job | Chapter 5 | Verse 16] So the poor hath hope, And iniquity stoppeth her mouth.
[KJV | EN | OT | Job | Chapter 5 | Verse 17] Behold, happy is the man whom God correcteth: Therefore despise not thou the chastening of the Almighty:
[KJV | EN | OT | Job | Chapter 5 | Verse 18] For he maketh sore, and bindeth up: He woundeth, and his hands make whole.
[KJV | EN | OT | Job | Chapter 5 | Verse 19] He shall deliver thee in six troubles: Yea, in seven there shall no evil touch thee.
[KJV | EN | OT | Job | Chapter 5 | Verse 20] In famine he shall redeem thee from death: And in war from the power of the sword.
[KJV | EN | OT | Job | Chapter 5 | Verse 21] Thou shalt be hid from the scourge of the tongue: Neither shalt thou be afraid of destruction when it cometh.
[KJV | EN | OT | Job | Chapter 5 | Verse 22] At destruction and famine thou shalt laugh: Neither shalt thou be afraid of the beasts of the earth.
[KJV | EN | OT | Job | Chapter 5 | Verse 23] For thou shalt be in league with the stones of the field: And the beasts of the field shall be at peace with thee.
[KJV | EN | OT | Job | Chapter 5 | Verse 24] And thou shalt know that thy tabernacle shall be in peace; And thou shalt visit thy habitation, and shalt not sin.
[KJV | EN | OT | Job | Chapter 5 | Verse 25] Thou shalt know also that thy seed shall be great, And thine offspring as the grass of the earth.
[KJV | EN | OT | Job | Chapter 5 | Verse 26] Thou shalt come to thy grave in a full age, Like as a shock of corn cometh in in his season.
[KJV | EN | OT | Job | Chapter 5 | Verse 27] Lo this, we have searched it, so it is; Hear it, and know thou it for thy good.
