[KJV | EN | OT | Job | Chapter 28 | Verse 1] Surely there is a vein for the silver, And a place for gold where they fine it.
[KJV | EN | OT | Job | Chapter 28 | Verse 2] Iron is taken out of the earth, And brass is molten out of the stone.
[KJV | EN | OT | Job | Chapter 28 | Verse 3] He setteth an end to darkness, And searcheth out all perfection, The stones of darkness, and the shadow of death.
[KJV | EN | OT | Job | Chapter 28 | Verse 4] The flood breaketh out from the inhabitant; Even the waters forgotten of the foot: They are dried up, they are gone away from men.
[KJV | EN | OT | Job | Chapter 28 | Verse 5] As for the earth, out of it cometh bread: And under it is turned up as it were fire.
[KJV | EN | OT | Job | Chapter 28 | Verse 6] The stones of it are the place of sapphires: And it hath dust of gold.
[KJV | EN | OT | Job | Chapter 28 | Verse 7] There is a path which no fowl knoweth, And which the vulture’s eye hath not seen:
[KJV | EN | OT | Job | Chapter 28 | Verse 8] The lion’s whelps have not trodden it, Nor the fierce lion passed by it.
[KJV | EN | OT | Job | Chapter 28 | Verse 9] He putteth forth his hand upon the rock; He overturneth the mountains by the roots.
[KJV | EN | OT | Job | Chapter 28 | Verse 10] He cutteth out rivers among the rocks; And his eye seeth every precious thing.
[KJV | EN | OT | Job | Chapter 28 | Verse 11] He bindeth the floods from overflowing; And the thing that is hid bringeth he forth to light.
[KJV | EN | OT | Job | Chapter 28 | Verse 12] But where shall wisdom be found? And where is the place of understanding?
[KJV | EN | OT | Job | Chapter 28 | Verse 13] Man knoweth not the price thereof; Neither is it found in the land of the living.
[KJV | EN | OT | Job | Chapter 28 | Verse 14] The depth saith, It is not in me: And the sea saith, It is not with me.
[KJV | EN | OT | Job | Chapter 28 | Verse 15] It cannot be gotten for gold, Neither shall silver be weighed for the price thereof.
[KJV | EN | OT | Job | Chapter 28 | Verse 16] It cannot be valued with the gold of Ophir, With the precious onyx, or the sapphire.
[KJV | EN | OT | Job | Chapter 28 | Verse 17] The gold and the crystal cannot equal it: And the exchange of it shall not be for jewels of fine gold.
[KJV | EN | OT | Job | Chapter 28 | Verse 18] No mention shall be made of coral, or of pearls: For the price of wisdom is above rubies.
[KJV | EN | OT | Job | Chapter 28 | Verse 19] The topaz of Ethiopia shall not equal it, Neither shall it be valued with pure gold.
[KJV | EN | OT | Job | Chapter 28 | Verse 20] Whence then cometh wisdom? And where is the place of understanding?
[KJV | EN | OT | Job | Chapter 28 | Verse 21] Seeing it is hid from the eyes of all living, And kept close from the fowls of the air.
[KJV | EN | OT | Job | Chapter 28 | Verse 22] Destruction and death say, We have heard the fame thereof with our ears.
[KJV | EN | OT | Job | Chapter 28 | Verse 23] God understandeth the way thereof, And he knoweth the place thereof.
[KJV | EN | OT | Job | Chapter 28 | Verse 24] For he looketh to the ends of the earth, And seeth under the whole heaven;
[KJV | EN | OT | Job | Chapter 28 | Verse 25] To make the weight for the winds; And he weigheth the waters by measure.
[KJV | EN | OT | Job | Chapter 28 | Verse 26] When he made a decree for the rain, And a way for the lightning of the thunder:
[KJV | EN | OT | Job | Chapter 28 | Verse 27] Then did he see it, and declare it; He prepared it, yea, and searched it out.
[KJV | EN | OT | Job | Chapter 28 | Verse 28] And unto man he said, Behold, the fear of the Lord, that is wisdom; And to depart from evil is understanding.
