[KJV | EN | OT | Job | Chapter 40 | Verse 1] Moreover the Lord answered Job, and said,
[KJV | EN | OT | Job | Chapter 40 | Verse 2] Shall he that contendeth with the Almighty instruct him? He that reproveth God, let him answer it.
[KJV | EN | OT | Job | Chapter 40 | Verse 3] Then Job answered the Lord, and said,
[KJV | EN | OT | Job | Chapter 40 | Verse 4] Behold, I am vile; what shall I answer thee? I will lay my hand upon my mouth.
[KJV | EN | OT | Job | Chapter 40 | Verse 5] Once have I spoken; but I will not answer: Yea, twice; but I will proceed no further.
[KJV | EN | OT | Job | Chapter 40 | Verse 6] Then answered the Lord unto Job out of the whirlwind, and said,
[KJV | EN | OT | Job | Chapter 40 | Verse 7] Gird up thy loins now like a man: I will demand of thee, and declare thou unto me.
[KJV | EN | OT | Job | Chapter 40 | Verse 8] Wilt thou also disannul my judgment? Wilt thou condemn me, that thou mayest be righteous?
[KJV | EN | OT | Job | Chapter 40 | Verse 9] Hast thou an arm like God? Or, canst thou thunder with a voice like him?
[KJV | EN | OT | Job | Chapter 40 | Verse 10] Deck thyself now with majesty and excellency; And array thyself with glory and beauty.
[KJV | EN | OT | Job | Chapter 40 | Verse 11] Cast abroad the rage of thy wrath: And behold every one that is proud, and abase him.
[KJV | EN | OT | Job | Chapter 40 | Verse 12] Look on every one that is proud, and bring him low; And tread down the wicked in their place.
[KJV | EN | OT | Job | Chapter 40 | Verse 13] Hide them in the dust together; And bind their faces in secret.
[KJV | EN | OT | Job | Chapter 40 | Verse 14] Then will I also confess unto thee That thine own right hand can save thee.
[KJV | EN | OT | Job | Chapter 40 | Verse 15] Behold now behemoth, Which I made with thee; He eateth grass as an ox.
[KJV | EN | OT | Job | Chapter 40 | Verse 16] Lo now, his strength is in his loins, And his force is in the navel of his belly.
[KJV | EN | OT | Job | Chapter 40 | Verse 17] He moveth his tail like a cedar: The sinews of his stones are wrapt together.
[KJV | EN | OT | Job | Chapter 40 | Verse 18] His bones are as strong pieces of brass; His bones are like bars of iron.
[KJV | EN | OT | Job | Chapter 40 | Verse 19] He is the chief of the ways of God: He that made him can make his sword to approach unto him.
[KJV | EN | OT | Job | Chapter 40 | Verse 20] Surely the mountains bring him forth food, Where all the beasts of the field play.
[KJV | EN | OT | Job | Chapter 40 | Verse 21] He lieth under the shady trees, In the covert of the reed, and fens.
[KJV | EN | OT | Job | Chapter 40 | Verse 22] The shady trees cover him with their shadow; The willows of the brook compass him about.
[KJV | EN | OT | Job | Chapter 40 | Verse 23] Behold, he drinketh up a river, and hasteth not: He trusteth that he can draw up Jordan into his mouth.
[KJV | EN | OT | Job | Chapter 40 | Verse 24] He taketh it with his eyes: His nose pierceth through snares.
