[KJV | EN | OT | Job | Chapter 37 | Verse 1] At this also my heart trembleth, And is moved out of his place.
[KJV | EN | OT | Job | Chapter 37 | Verse 2] Hear attentively the noise of his voice, And the sound that goeth out of his mouth.
[KJV | EN | OT | Job | Chapter 37 | Verse 3] He directeth it under the whole heaven, And his lightning unto the ends of the earth.
[KJV | EN | OT | Job | Chapter 37 | Verse 4] After it a voice roareth: He thundereth with the voice of his excellency; And he will not stay them when his voice is heard.
[KJV | EN | OT | Job | Chapter 37 | Verse 5] God thundereth marvellously with his voice; Great things doeth he, which we cannot comprehend.
[KJV | EN | OT | Job | Chapter 37 | Verse 6] For he saith to the snow, Be thou on the earth; Likewise to the small rain, And to the great rain of his strength.
[KJV | EN | OT | Job | Chapter 37 | Verse 7] He sealeth up the hand of every man; That all men may know his work.
[KJV | EN | OT | Job | Chapter 37 | Verse 8] Then the beasts go into dens, And remain in their places.
[KJV | EN | OT | Job | Chapter 37 | Verse 9] Out of the south cometh the whirlwind: And cold out of the north.
[KJV | EN | OT | Job | Chapter 37 | Verse 10] By the breath of God frost is given: And the breadth of the waters is straitened.
[KJV | EN | OT | Job | Chapter 37 | Verse 11] Also by watering he wearieth the thick cloud: He scattereth his bright cloud:
[KJV | EN | OT | Job | Chapter 37 | Verse 12] And it is turned round about by his counsels: That they may do whatsoever he commandeth them Upon the face of the world in the earth.
[KJV | EN | OT | Job | Chapter 37 | Verse 13] He causeth it to come, whether for correction, Or for his land, or for mercy.
[KJV | EN | OT | Job | Chapter 37 | Verse 14] Hearken unto this, O Job: Stand still, and consider the wondrous works of God.
[KJV | EN | OT | Job | Chapter 37 | Verse 15] Dost thou know when God disposed them, And caused the light of his cloud to shine?
[KJV | EN | OT | Job | Chapter 37 | Verse 16] Dost thou know the balancings of the clouds, The wondrous works of him which is perfect in knowledge?
[KJV | EN | OT | Job | Chapter 37 | Verse 17] How thy garments are warm, When he quieteth the earth by the south wind?
[KJV | EN | OT | Job | Chapter 37 | Verse 18] Hast thou with him spread out the sky, Which is strong, and as a molten looking glass?
[KJV | EN | OT | Job | Chapter 37 | Verse 19] Teach us what we shall say unto him; For we cannot order our speech by reason of darkness.
[KJV | EN | OT | Job | Chapter 37 | Verse 20] Shall it be told him that I speak? If a man speak, surely he shall be swallowed up.
[KJV | EN | OT | Job | Chapter 37 | Verse 21] And now men see not the bright light Which is in the clouds: But the wind passeth, and cleanseth them.
[KJV | EN | OT | Job | Chapter 37 | Verse 22] Fair weather cometh out of the north: With God is terrible majesty.
[KJV | EN | OT | Job | Chapter 37 | Verse 23] Touching the Almighty, we cannot find him out: he is excellent in power, And in judgment, and in plenty of justice: he will not afflict.
[KJV | EN | OT | Job | Chapter 37 | Verse 24] Men do therefore fear him: He respecteth not any that are wise of heart.
