[KJV | EN | OT | Job | Chapter 10 | Verse 1] My soul is weary of my life; I will leave my complaint upon myself; I will speak in the bitterness of my soul.
[KJV | EN | OT | Job | Chapter 10 | Verse 2] I will say unto God, Do not condemn me; Shew me wherefore thou contendest with me.
[KJV | EN | OT | Job | Chapter 10 | Verse 3] Is it good unto thee that thou shouldest oppress, That thou shouldest despise the work of thine hands, And shine upon the counsel of the wicked?
[KJV | EN | OT | Job | Chapter 10 | Verse 4] Hast thou eyes of flesh? Or seest thou as man seeth?
[KJV | EN | OT | Job | Chapter 10 | Verse 5] Are thy days as the days of man? Are thy years as man’s days,
[KJV | EN | OT | Job | Chapter 10 | Verse 6] That thou inquirest after mine iniquity, And searchest after my sin?
[KJV | EN | OT | Job | Chapter 10 | Verse 7] Thou knowest that I am not wicked; And there is none that can deliver out of thine hand.
[KJV | EN | OT | Job | Chapter 10 | Verse 8] Thine hands have made me and fashioned me Together round about; yet thou dost destroy me.
[KJV | EN | OT | Job | Chapter 10 | Verse 9] Remember, I beseech thee, that thou hast made me as the clay; And wilt thou bring me into dust again?
[KJV | EN | OT | Job | Chapter 10 | Verse 10] Hast thou not poured me out as milk, And cruddled me like cheese?
[KJV | EN | OT | Job | Chapter 10 | Verse 11] Thou hast clothed me with skin and flesh, And hast fenced me with bones and sinews.
[KJV | EN | OT | Job | Chapter 10 | Verse 12] Thou hast granted me life and favour, And thy visitation hath preserved my spirit.
[KJV | EN | OT | Job | Chapter 10 | Verse 13] And these things hast thou hid in thine heart: I know that this is with thee.
[KJV | EN | OT | Job | Chapter 10 | Verse 14] If I sin, then thou markest me, And thou wilt not acquit me from mine iniquity.
[KJV | EN | OT | Job | Chapter 10 | Verse 15] If I be wicked, woe unto me; And if I be righteous, yet will I not lift up my head. I am full of confusion; therefore see thou mine affliction;
[KJV | EN | OT | Job | Chapter 10 | Verse 16] For it increaseth. Thou huntest me as a fierce lion: And again thou shewest thyself marvellous upon me.
[KJV | EN | OT | Job | Chapter 10 | Verse 17] Thou renewest thy witnesses against me, And increasest thine indignation upon me; Changes and war are against me.
[KJV | EN | OT | Job | Chapter 10 | Verse 18] Wherefore then hast thou brought me forth out of the womb? Oh that I had given up the ghost, and no eye had seen me!
[KJV | EN | OT | Job | Chapter 10 | Verse 19] I should have been as though I had not been; I should have been carried from the womb to the grave.
[KJV | EN | OT | Job | Chapter 10 | Verse 20] Are not my days few? cease then, And let me alone, that I may take comfort a little,
[KJV | EN | OT | Job | Chapter 10 | Verse 21] Before I go whence I shall not return, Even to the land of darkness and the shadow of death;
[KJV | EN | OT | Job | Chapter 10 | Verse 22] A land of darkness, as darkness itself; And of the shadow of death, without any order, And where the light is as darkness.
