[KJV | EN | OT | Job | Chapter 17 | Verse 1] My breath is corrupt, My days are extinct, The graves are ready for me.
[KJV | EN | OT | Job | Chapter 17 | Verse 2] Are there not mockers with me? And doth not mine eye continue in their provocation?
[KJV | EN | OT | Job | Chapter 17 | Verse 3] Lay down now, put me in a surety with thee; Who is he that will strike hands with me?
[KJV | EN | OT | Job | Chapter 17 | Verse 4] For thou hast hid their heart from understanding: Therefore shalt thou not exalt them.
[KJV | EN | OT | Job | Chapter 17 | Verse 5] He that speaketh flattery to his friends, Even the eyes of his children shall fail.
[KJV | EN | OT | Job | Chapter 17 | Verse 6] He hath made me also a byword of the people; And aforetime I was as a tabret.
[KJV | EN | OT | Job | Chapter 17 | Verse 7] Mine eye also is dim by reason of sorrow, And all my members are as a shadow.
[KJV | EN | OT | Job | Chapter 17 | Verse 8] Upright men shall be astonied at this, And the innocent shall stir up himself against the hypocrite.
[KJV | EN | OT | Job | Chapter 17 | Verse 9] The righteous also shall hold on his way, And he that hath clean hands shall be stronger and stronger.
[KJV | EN | OT | Job | Chapter 17 | Verse 10] But as for you all, do you return, and come now: For I cannot find one wise man among you.
[KJV | EN | OT | Job | Chapter 17 | Verse 11] My days are past, My purposes are broken off, Even the thoughts of my heart.
[KJV | EN | OT | Job | Chapter 17 | Verse 12] They change the night into day: The light is short, because of darkness.
[KJV | EN | OT | Job | Chapter 17 | Verse 13] If I wait, the grave is mine house: I have made my bed in the darkness.
[KJV | EN | OT | Job | Chapter 17 | Verse 14] I have said to corruption, Thou art my father: To the worm, Thou art my mother, and my sister.
[KJV | EN | OT | Job | Chapter 17 | Verse 15] And where is now my hope? As for my hope, who shall see it?
[KJV | EN | OT | Job | Chapter 17 | Verse 16] They shall go down to the bars of the pit, When our rest together is in the dust.
