[KJV | EN | OT | Job | Chapter 38 | Verse 1] Then the Lord answered Job out of the whirlwind, and said,
[KJV | EN | OT | Job | Chapter 38 | Verse 2] Who is this that darkeneth counsel By words without knowledge?
[KJV | EN | OT | Job | Chapter 38 | Verse 3] Gird up now thy loins like a man; For I will demand of thee, and answer thou me.
[KJV | EN | OT | Job | Chapter 38 | Verse 4] Where wast thou when I laid the foundations of the earth? Declare, if thou hast understanding.
[KJV | EN | OT | Job | Chapter 38 | Verse 5] Who hath laid the measures thereof, if thou knowest? Or who hath stretched the line upon it?
[KJV | EN | OT | Job | Chapter 38 | Verse 6] Whereupon are the foundations thereof fastened? Or who laid the corner stone thereof;
[KJV | EN | OT | Job | Chapter 38 | Verse 7] When the morning stars sang together, And all the sons of God shouted for joy?
[KJV | EN | OT | Job | Chapter 38 | Verse 8] Or who shut up the sea with doors, When it brake forth, as if it had issued out of the womb?
[KJV | EN | OT | Job | Chapter 38 | Verse 9] When I made the cloud the garment thereof, And thick darkness a swaddling band for it,
[KJV | EN | OT | Job | Chapter 38 | Verse 10] And brake up for it my decreed place, And set bars and doors,
[KJV | EN | OT | Job | Chapter 38 | Verse 11] And said, Hitherto shalt thou come, but no further: And here shall thy proud waves be stayed?
[KJV | EN | OT | Job | Chapter 38 | Verse 12] Hast thou commanded the morning since thy days; And caused the dayspring to know his place;
[KJV | EN | OT | Job | Chapter 38 | Verse 13] That it might take hold of the ends of the earth, That the wicked might be shaken out of it?
[KJV | EN | OT | Job | Chapter 38 | Verse 14] It is turned as clay to the seal; And they stand as a garment.
[KJV | EN | OT | Job | Chapter 38 | Verse 15] And from the wicked their light is withholden, And the high arm shall be broken.
[KJV | EN | OT | Job | Chapter 38 | Verse 16] Hast thou entered into the springs of the sea? Or hast thou walked in the search of the depth?
[KJV | EN | OT | Job | Chapter 38 | Verse 17] Have the gates of death been opened unto thee? Or hast thou seen the doors of the shadow of death?
[KJV | EN | OT | Job | Chapter 38 | Verse 18] Hast thou perceived the breadth of the earth? Declare if thou knowest it all.
[KJV | EN | OT | Job | Chapter 38 | Verse 19] Where is the way where light dwelleth? And as for darkness, where is the place thereof,
[KJV | EN | OT | Job | Chapter 38 | Verse 20] That thou shouldest take it to the bound thereof, And that thou shouldest know the paths to the house thereof?
[KJV | EN | OT | Job | Chapter 38 | Verse 21] Knowest thou it, because thou wast then born? Or because the number of thy days is great?
[KJV | EN | OT | Job | Chapter 38 | Verse 22] Hast thou entered into the treasures of the snow? Or hast thou seen the treasures of the hail,
[KJV | EN | OT | Job | Chapter 38 | Verse 23] Which I have reserved against the time of trouble, Against the day of battle and war?
[KJV | EN | OT | Job | Chapter 38 | Verse 24] By what way is the light parted, Which scattereth the east wind upon the earth?
[KJV | EN | OT | Job | Chapter 38 | Verse 25] Who hath divided a watercourse for the overflowing of waters, Or a way for the lightning of thunder;
[KJV | EN | OT | Job | Chapter 38 | Verse 26] To cause it to rain on the earth, where no man is; On the wilderness, wherein there is no man;
[KJV | EN | OT | Job | Chapter 38 | Verse 27] To satisfy the desolate and waste ground; And to cause the bud of the tender herb to spring forth?
[KJV | EN | OT | Job | Chapter 38 | Verse 28] Hath the rain a father? Or who hath begotten the drops of dew?
[KJV | EN | OT | Job | Chapter 38 | Verse 29] Out of whose womb came the ice? And the hoary frost of heaven, who hath gendered it?
[KJV | EN | OT | Job | Chapter 38 | Verse 30] The waters are hid as with a stone, And the face of the deep is frozen.
[KJV | EN | OT | Job | Chapter 38 | Verse 31] Canst thou bind the sweet influences of Pleiades, Or loose the bands of Orion?
[KJV | EN | OT | Job | Chapter 38 | Verse 32] Canst thou bring forth Mazzaroth in his season? Or canst thou guide Arcturus with his sons?
[KJV | EN | OT | Job | Chapter 38 | Verse 33] Knowest thou the ordinances of heaven? Canst thou set the dominion thereof in the earth?
[KJV | EN | OT | Job | Chapter 38 | Verse 34] Canst thou lift up thy voice to the clouds, That abundance of waters may cover thee?
[KJV | EN | OT | Job | Chapter 38 | Verse 35] Canst thou send lightnings, that they may go, And say unto thee, Here we are?
[KJV | EN | OT | Job | Chapter 38 | Verse 36] Who hath put wisdom in the inward parts? Or who hath given understanding to the heart?
[KJV | EN | OT | Job | Chapter 38 | Verse 37] Who can number the clouds in wisdom? Or who can stay the bottles of heaven,
[KJV | EN | OT | Job | Chapter 38 | Verse 38] When the dust groweth into hardness, And the clods cleave fast together?
[KJV | EN | OT | Job | Chapter 38 | Verse 39] Wilt thou hunt the prey for the lion? Or fill the appetite of the young lions,
[KJV | EN | OT | Job | Chapter 38 | Verse 40] When they couch in their dens, And abide in the covert to lie in wait?
[KJV | EN | OT | Job | Chapter 38 | Verse 41] Who provideth for the raven his food? When his young ones cry unto God, They wander for lack of meat.
