[KJV | EN | OT | Job | Chapter 21 | Verse 1] But Job answered and said,
[KJV | EN | OT | Job | Chapter 21 | Verse 2] Hear diligently my speech, And let this be your consolations.
[KJV | EN | OT | Job | Chapter 21 | Verse 3] Suffer me that I may speak; And after that I have spoken, mock on.
[KJV | EN | OT | Job | Chapter 21 | Verse 4] As for me, is my complaint to man? And if it were so, why should not my spirit be troubled?
[KJV | EN | OT | Job | Chapter 21 | Verse 5] Mark me, and be astonished, And lay your hand upon your mouth.
[KJV | EN | OT | Job | Chapter 21 | Verse 6] Even when I remember I am afraid, And trembling taketh hold on my flesh.
[KJV | EN | OT | Job | Chapter 21 | Verse 7] Wherefore do the wicked live, Become old, yea, are mighty in power?
[KJV | EN | OT | Job | Chapter 21 | Verse 8] Their seed is established in their sight with them, And their offspring before their eyes.
[KJV | EN | OT | Job | Chapter 21 | Verse 9] Their houses are safe from fear, Neither is the rod of God upon them.
[KJV | EN | OT | Job | Chapter 21 | Verse 10] Their bull gendereth, and faileth not; Their cow calveth, and casteth not her calf.
[KJV | EN | OT | Job | Chapter 21 | Verse 11] They send forth their little ones like a flock, And their children dance.
[KJV | EN | OT | Job | Chapter 21 | Verse 12] They take the timbrel and harp, And rejoice at the sound of the organ.
[KJV | EN | OT | Job | Chapter 21 | Verse 13] They spend their days in wealth, And in a moment go down to the grave.
[KJV | EN | OT | Job | Chapter 21 | Verse 14] Therefore they say unto God, Depart from us; For we desire not the knowledge of thy ways.
[KJV | EN | OT | Job | Chapter 21 | Verse 15] What is the Almighty, that we should serve him? And what profit should we have, if we pray unto him?
[KJV | EN | OT | Job | Chapter 21 | Verse 16] Lo, their good is not in their hand: The counsel of the wicked is far from me.
[KJV | EN | OT | Job | Chapter 21 | Verse 17] How oft is the candle of the wicked put out! And how oft cometh their destruction upon them! God distributeth sorrows in his anger.
[KJV | EN | OT | Job | Chapter 21 | Verse 18] They are as stubble before the wind, And as chaff that the storm carrieth away.
[KJV | EN | OT | Job | Chapter 21 | Verse 19] God layeth up his iniquity for his children: He rewardeth him, and he shall know it.
[KJV | EN | OT | Job | Chapter 21 | Verse 20] His eyes shall see his destruction, And he shall drink of the wrath of the Almighty.
[KJV | EN | OT | Job | Chapter 21 | Verse 21] For what pleasure hath he in his house after him, When the number of his months is cut off in the midst?
[KJV | EN | OT | Job | Chapter 21 | Verse 22] Shall any teach God knowledge? Seeing he judgeth those that are high.
[KJV | EN | OT | Job | Chapter 21 | Verse 23] One dieth in his full strength, Being wholly at ease and quiet.
[KJV | EN | OT | Job | Chapter 21 | Verse 24] His breasts are full of milk, And his bones are moistened with marrow.
[KJV | EN | OT | Job | Chapter 21 | Verse 25] And another dieth in the bitterness of his soul, And never eateth with pleasure.
[KJV | EN | OT | Job | Chapter 21 | Verse 26] They shall lie down alike in the dust, And the worms shall cover them.
[KJV | EN | OT | Job | Chapter 21 | Verse 27] Behold, I know your thoughts, And the devices which ye wrongfully imagine against me.
[KJV | EN | OT | Job | Chapter 21 | Verse 28] For ye say, Where is the house of the prince? And where are the dwelling places of the wicked?
[KJV | EN | OT | Job | Chapter 21 | Verse 29] Have ye not asked them that go by the way? And do ye not know their tokens,
[KJV | EN | OT | Job | Chapter 21 | Verse 30] That the wicked is reserved to the day of destruction? They shall be brought forth to the day of wrath.
[KJV | EN | OT | Job | Chapter 21 | Verse 31] Who shall declare his way to his face? And who shall repay him what he hath done?
[KJV | EN | OT | Job | Chapter 21 | Verse 32] Yet shall he be brought to the grave, And shall remain in the tomb.
[KJV | EN | OT | Job | Chapter 21 | Verse 33] The clods of the valley shall be sweet unto him, And every man shall draw after him, As there are innumerable before him.
[KJV | EN | OT | Job | Chapter 21 | Verse 34] How then comfort ye me in vain, Seeing in your answers there remaineth falsehood?
