[KJV | EN | OT | Job | Chapter 35 | Verse 1] Elihu spake moreover, and said,
[KJV | EN | OT | Job | Chapter 35 | Verse 2] Thinkest thou this to be right, That thou saidst, My righteousness is more than God’s?
[KJV | EN | OT | Job | Chapter 35 | Verse 3] For thou saidst, What advantage will it be unto thee? And, What profit shall I have, if I be cleansed from my sin?
[KJV | EN | OT | Job | Chapter 35 | Verse 4] I will answer thee, And thy companions with thee.
[KJV | EN | OT | Job | Chapter 35 | Verse 5] Look unto the heavens, and see; And behold the clouds which are higher than thou.
[KJV | EN | OT | Job | Chapter 35 | Verse 6] If thou sinnest, what doest thou against him? Or if thy transgressions be multiplied, what doest thou unto him?
[KJV | EN | OT | Job | Chapter 35 | Verse 7] If thou be righteous, what givest thou him? Or what receiveth he of thine hand?
[KJV | EN | OT | Job | Chapter 35 | Verse 8] Thy wickedness may hurt a man as thou art; And thy righteousness may profit the son of man.
[KJV | EN | OT | Job | Chapter 35 | Verse 9] By reason of the multitude of oppressions they make the oppressed to cry: They cry out by reason of the arm of the mighty.
[KJV | EN | OT | Job | Chapter 35 | Verse 10] But none saith, Where is God my Maker, Who giveth songs in the night;
[KJV | EN | OT | Job | Chapter 35 | Verse 11] Who teacheth us more than the beasts of the earth, And maketh us wiser than the fowls of heaven?
[KJV | EN | OT | Job | Chapter 35 | Verse 12] There they cry, but none giveth answer, Because of the pride of evil men.
[KJV | EN | OT | Job | Chapter 35 | Verse 13] Surely God will not hear vanity, Neither will the Almighty regard it.
[KJV | EN | OT | Job | Chapter 35 | Verse 14] Although thou sayest thou shalt not see him, Yet judgment is before him; therefore trust thou in him.
[KJV | EN | OT | Job | Chapter 35 | Verse 15] But now, because it is not so, he hath visited in his anger; Yet he knoweth it not in great extremity:
[KJV | EN | OT | Job | Chapter 35 | Verse 16] Therefore doth Job open his mouth in vain; He multiplieth words without knowledge.
