[KJV | EN | OT | Job | Chapter 42 | Verse 1] Then Job answered the Lord, and said,
[KJV | EN | OT | Job | Chapter 42 | Verse 2] I know that thou canst do every thing, And that no thought can be withholden from thee.
[KJV | EN | OT | Job | Chapter 42 | Verse 3] Who is he that hideth counsel Without knowledge? Therefore have I uttered that I understood not; Things too wonderful for me, which I knew not.
[KJV | EN | OT | Job | Chapter 42 | Verse 4] Hear, I beseech thee, and I will speak: I will demand of thee, and declare thou unto me.
[KJV | EN | OT | Job | Chapter 42 | Verse 5] I have heard of thee by the hearing of the ear: But now mine eye seeth thee.
[KJV | EN | OT | Job | Chapter 42 | Verse 6] Wherefore I abhor myself, and repent In dust and ashes.
[KJV | EN | OT | Job | Chapter 42 | Verse 7] And it was so, that after the Lord had spoken these words unto Job, the Lord said to Eliphaz the Temanite, My wrath is kindled against thee, and against thy two friends: for ye have not spoken of me the thing that is right, as my servant Job hath.
[KJV | EN | OT | Job | Chapter 42 | Verse 8] Therefore take unto you now seven bullocks and seven rams, and go to my servant Job, and offer up for yourselves a burnt offering; and my servant Job shall pray for you: for him will I accept: lest I deal with you after your folly, in that ye have not spoken of me the thing which is right, like my servant Job.
[KJV | EN | OT | Job | Chapter 42 | Verse 9] So Eliphaz the Temanite and Bildad the Shuhite and Zophar the Naamathite went, and did according as the Lord commanded them: the Lord also accepted Job.
[KJV | EN | OT | Job | Chapter 42 | Verse 10] And the Lord turned the captivity of Job, when he prayed for his friends: also the Lord gave Job twice as much as he had before.
[KJV | EN | OT | Job | Chapter 42 | Verse 11] Then came there unto him all his brethren, and all his sisters, and all they that had been of his acquaintance before, and did eat bread with him in his house: and they bemoaned him, and comforted him over all the evil that the Lord had brought upon him: every man also gave him a piece of money, and every one an earring of gold.
[KJV | EN | OT | Job | Chapter 42 | Verse 12] So the Lord blessed the latter end of Job more than his beginning: for he had fourteen thousand sheep, and six thousand camels, and a thousand yoke of oxen, and a thousand she asses.
[KJV | EN | OT | Job | Chapter 42 | Verse 13] He had also seven sons and three daughters.
[KJV | EN | OT | Job | Chapter 42 | Verse 14] And he called the name of the first, Jemima; and the name of the second, Kezia; and the name of the third, Keren-happuch.
[KJV | EN | OT | Job | Chapter 42 | Verse 15] And in all the land were no women found so fair as the daughters of Job: and their father gave them inheritance among their brethren.
[KJV | EN | OT | Job | Chapter 42 | Verse 16] After this lived Job an hundred and forty years, and saw his sons, and his sons’ sons, even four generations.
[KJV | EN | OT | Job | Chapter 42 | Verse 17] So Job died, being old and full of days.
