[KJV | EN | OT | Job | Chapter 34 | Verse 1] Furthermore Elihu answered and said,
[KJV | EN | OT | Job | Chapter 34 | Verse 2] Hear my words, O ye wise men; And give ear unto me, ye that have knowledge.
[KJV | EN | OT | Job | Chapter 34 | Verse 3] For the ear trieth words, As the mouth tasteth meat.
[KJV | EN | OT | Job | Chapter 34 | Verse 4] Let us choose to us judgment: Let us know among ourselves what is good.
[KJV | EN | OT | Job | Chapter 34 | Verse 5] For Job hath said, I am righteous: And God hath taken away my judgment.
[KJV | EN | OT | Job | Chapter 34 | Verse 6] Should I lie against my right? My wound is incurable without transgression.
[KJV | EN | OT | Job | Chapter 34 | Verse 7] What man is like Job, Who drinketh up scorning like water?
[KJV | EN | OT | Job | Chapter 34 | Verse 8] Which goeth in company with the workers of iniquity, And walketh with wicked men.
[KJV | EN | OT | Job | Chapter 34 | Verse 9] For he hath said, It profiteth a man nothing That he should delight himself with God.
[KJV | EN | OT | Job | Chapter 34 | Verse 10] Therefore hearken unto me, ye men of understanding: Far be it from God, that he should do wickedness; And from the Almighty, that he should commit iniquity.
[KJV | EN | OT | Job | Chapter 34 | Verse 11] For the work of a man shall he render unto him, And cause every man to find according to his ways.
[KJV | EN | OT | Job | Chapter 34 | Verse 12] Yea, surely God will not do wickedly, Neither will the Almighty pervert judgment.
[KJV | EN | OT | Job | Chapter 34 | Verse 13] Who hath given him a charge over the earth? Or who hath disposed the whole world?
[KJV | EN | OT | Job | Chapter 34 | Verse 14] If he set his heart upon man, If he gather unto himself his spirit and his breath;
[KJV | EN | OT | Job | Chapter 34 | Verse 15] All flesh shall perish together, And man shall turn again unto dust.
[KJV | EN | OT | Job | Chapter 34 | Verse 16] If now thou hast understanding, hear this: Hearken to the voice of my words.
[KJV | EN | OT | Job | Chapter 34 | Verse 17] Shall even he that hateth right govern? And wilt thou condemn him that is most just?
[KJV | EN | OT | Job | Chapter 34 | Verse 18] Is it fit to say to a king, Thou art wicked? And to princes, Ye are ungodly?
[KJV | EN | OT | Job | Chapter 34 | Verse 19] How much less to him that accepteth not the persons of princes, Nor regardeth the rich more than the poor? For they all are the work of his hands.
[KJV | EN | OT | Job | Chapter 34 | Verse 20] In a moment shall they die, And the people shall be troubled at midnight, and pass away: And the mighty shall be taken away without hand.
[KJV | EN | OT | Job | Chapter 34 | Verse 21] For his eyes are upon the ways of man, And he seeth all his goings.
[KJV | EN | OT | Job | Chapter 34 | Verse 22] There is no darkness, nor shadow of death, Where the workers of iniquity may hide themselves.
[KJV | EN | OT | Job | Chapter 34 | Verse 23] For he will not lay upon man more than right; That he should enter into judgment with God.
[KJV | EN | OT | Job | Chapter 34 | Verse 24] He shall break in pieces mighty men without number, And set others in their stead.
[KJV | EN | OT | Job | Chapter 34 | Verse 25] Therefore he knoweth their works, And he overturneth them in the night, so that they are destroyed.
[KJV | EN | OT | Job | Chapter 34 | Verse 26] He striketh them as wicked men In the open sight of others;
[KJV | EN | OT | Job | Chapter 34 | Verse 27] Because they turned back from him, And would not consider any of his ways:
[KJV | EN | OT | Job | Chapter 34 | Verse 28] So that they cause the cry of the poor to come unto him, And he heareth the cry of the afflicted.
[KJV | EN | OT | Job | Chapter 34 | Verse 29] When he giveth quietness, who then can make trouble? And when he hideth his face, who then can behold him? Whether it be done against a nation, Or against a man only:
[KJV | EN | OT | Job | Chapter 34 | Verse 30] That the hypocrite reign not, Lest the people be ensnared.
[KJV | EN | OT | Job | Chapter 34 | Verse 31] Surely it is meet to be said unto God, I have borne chastisement, I will not offend any more:
[KJV | EN | OT | Job | Chapter 34 | Verse 32] That which I see not teach thou me: If I have done iniquity, I will do no more.
[KJV | EN | OT | Job | Chapter 34 | Verse 33] Should it be according to thy mind? he will recompense it, Whether thou refuse, or whether thou choose; and not I: Therefore speak what thou knowest.
[KJV | EN | OT | Job | Chapter 34 | Verse 34] Let men of understanding tell me, And let a wise man hearken unto me.
[KJV | EN | OT | Job | Chapter 34 | Verse 35] Job hath spoken without knowledge, And his words were without wisdom.
[KJV | EN | OT | Job | Chapter 34 | Verse 36] My desire is that Job may be tried unto the end Because of his answers for wicked men.
[KJV | EN | OT | Job | Chapter 34 | Verse 37] For he addeth rebellion unto his sin, He clappeth his hands amongst us, And multiplieth his words against God.
