[KJV | EN | OT | Job | Chapter 20 | Verse 1] Then answered Zophar the Naamathite, and said,
[KJV | EN | OT | Job | Chapter 20 | Verse 2] Therefore do my thoughts cause me to answer, And for this I make haste.
[KJV | EN | OT | Job | Chapter 20 | Verse 3] I have heard the check of my reproach, And the spirit of my understanding causeth me to answer.
[KJV | EN | OT | Job | Chapter 20 | Verse 4] Knowest thou not this of old, Since man was placed upon earth,
[KJV | EN | OT | Job | Chapter 20 | Verse 5] That the triumphing of the wicked is short, And the joy of the hypocrite but for a moment?
[KJV | EN | OT | Job | Chapter 20 | Verse 6] Though his excellency mount up to the heavens, And his head reach unto the clouds;
[KJV | EN | OT | Job | Chapter 20 | Verse 7] Yet he shall perish for ever like his own dung: They which have seen him shall say, Where is he?
[KJV | EN | OT | Job | Chapter 20 | Verse 8] He shall fly away as a dream, and shall not be found: Yea, he shall be chased away as a vision of the night.
[KJV | EN | OT | Job | Chapter 20 | Verse 9] The eye also which saw him shall see him no more; Neither shall his place any more behold him.
[KJV | EN | OT | Job | Chapter 20 | Verse 10] His children shall seek to please the poor, And his hands shall restore their goods.
[KJV | EN | OT | Job | Chapter 20 | Verse 11] His bones are full of the sin of his youth, Which shall lie down with him in the dust.
[KJV | EN | OT | Job | Chapter 20 | Verse 12] Though wickedness be sweet in his mouth, Though he hide it under his tongue;
[KJV | EN | OT | Job | Chapter 20 | Verse 13] Though he spare it, and forsake it not; But keep it still within his mouth:
[KJV | EN | OT | Job | Chapter 20 | Verse 14] Yet his meat in his bowels is turned, It is the gall of asps within him.
[KJV | EN | OT | Job | Chapter 20 | Verse 15] He hath swallowed down riches, and he shall vomit them up again: God shall cast them out of his belly.
[KJV | EN | OT | Job | Chapter 20 | Verse 16] He shall suck the poison of asps: The viper’s tongue shall slay him.
[KJV | EN | OT | Job | Chapter 20 | Verse 17] He shall not see the rivers, The floods, the brooks of honey and butter.
[KJV | EN | OT | Job | Chapter 20 | Verse 18] That which he laboured for shall he restore, and shall not swallow it down: According to his substance shall the restitution be, and he shall not rejoice therein.
[KJV | EN | OT | Job | Chapter 20 | Verse 19] Because he hath oppressed and hath forsaken the poor; Because he hath violently taken away a house which he builded not;
[KJV | EN | OT | Job | Chapter 20 | Verse 20] Surely he shall not feel quietness in his belly, He shall not save of that which he desired.
[KJV | EN | OT | Job | Chapter 20 | Verse 21] There shall none of his meat be left; Therefore shall no man look for his goods.
[KJV | EN | OT | Job | Chapter 20 | Verse 22] In the fulness of his sufficiency he shall be in straits: Every hand of the wicked shall come upon him.
[KJV | EN | OT | Job | Chapter 20 | Verse 23] When he is about to fill his belly, God shall cast the fury of his wrath upon him, And shall rain it upon him while he is eating.
[KJV | EN | OT | Job | Chapter 20 | Verse 24] He shall flee from the iron weapon, And the bow of steel shall strike him through.
[KJV | EN | OT | Job | Chapter 20 | Verse 25] It is drawn, and cometh out of the body; Yea, the glistering sword cometh out of his gall: Terrors are upon him.
[KJV | EN | OT | Job | Chapter 20 | Verse 26] All darkness shall be hid in his secret places: A fire not blown shall consume him; It shall go ill with him that is left in his tabernacle.
[KJV | EN | OT | Job | Chapter 20 | Verse 27] The heaven shall reveal his iniquity; And the earth shall rise up against him.
[KJV | EN | OT | Job | Chapter 20 | Verse 28] The increase of his house shall depart, And his goods shall flow away in the day of his wrath.
[KJV | EN | OT | Job | Chapter 20 | Verse 29] This is the portion of a wicked man from God, And the heritage appointed unto him by God.
