[KJV | EN | OT | Job | Chapter 30 | Verse 1] But now they that are younger than I have me in derision, Whose fathers I would have disdained To have set with the dogs of my flock.
[KJV | EN | OT | Job | Chapter 30 | Verse 2] Yea, whereto might the strength of their hands profit me, In whom old age was perished?
[KJV | EN | OT | Job | Chapter 30 | Verse 3] For want and famine they were solitary; Flying into the wilderness In former time desolate and waste.
[KJV | EN | OT | Job | Chapter 30 | Verse 4] Who cut up mallows by the bushes, And juniper roots for their meat.
[KJV | EN | OT | Job | Chapter 30 | Verse 5] They were driven forth from among men, (They cried after them as after a thief;)
[KJV | EN | OT | Job | Chapter 30 | Verse 6] To dwell in the clifts of the valleys, In caves of the earth, and in the rocks.
[KJV | EN | OT | Job | Chapter 30 | Verse 7] Among the bushes they brayed; Under the nettles they were gathered together.
[KJV | EN | OT | Job | Chapter 30 | Verse 8] They were children of fools, yea, children of base men: They were viler than the earth.
[KJV | EN | OT | Job | Chapter 30 | Verse 9] And now am I their song, Yea, I am their byword.
[KJV | EN | OT | Job | Chapter 30 | Verse 10] They abhor me, they flee far from me, And spare not to spit in my face.
[KJV | EN | OT | Job | Chapter 30 | Verse 11] Because he hath loosed my cord, and afflicted me, They have also let loose the bridle before me.
[KJV | EN | OT | Job | Chapter 30 | Verse 12] Upon my right hand rise the youth; They push away my feet, And they raise up against me the ways of their destruction.
[KJV | EN | OT | Job | Chapter 30 | Verse 13] They mar my path, They set forward my calamity, They have no helper.
[KJV | EN | OT | Job | Chapter 30 | Verse 14] They came upon me as a wide breaking in of waters: In the desolation they rolled themselves upon me.
[KJV | EN | OT | Job | Chapter 30 | Verse 15] Terrors are turned upon me: They pursue my soul as the wind: And my welfare passeth away as a cloud.
[KJV | EN | OT | Job | Chapter 30 | Verse 16] And now my soul is poured out upon me; The days of affliction have taken hold upon me.
[KJV | EN | OT | Job | Chapter 30 | Verse 17] My bones are pierced in me in the night season: And my sinews take no rest.
[KJV | EN | OT | Job | Chapter 30 | Verse 18] By the great force of my disease is my garment changed: It bindeth me about as the collar of my coat.
[KJV | EN | OT | Job | Chapter 30 | Verse 19] He hath cast me into the mire, And I am become like dust and ashes.
[KJV | EN | OT | Job | Chapter 30 | Verse 20] I cry unto thee, and thou dost not hear me: I stand up, and thou regardest me not.
[KJV | EN | OT | Job | Chapter 30 | Verse 21] Thou art become cruel to me: With thy strong hand thou opposest thyself against me.
[KJV | EN | OT | Job | Chapter 30 | Verse 22] Thou liftest me up to the wind; thou causest me to ride upon it, And dissolvest my substance.
[KJV | EN | OT | Job | Chapter 30 | Verse 23] For I know that thou wilt bring me to death, And to the house appointed for all living.
[KJV | EN | OT | Job | Chapter 30 | Verse 24] Howbeit he will not stretch out his hand to the grave, Though they cry in his destruction.
[KJV | EN | OT | Job | Chapter 30 | Verse 25] Did not I weep for him that was in trouble? Was not my soul grieved for the poor?
[KJV | EN | OT | Job | Chapter 30 | Verse 26] When I looked for good, then evil came unto me: And when I waited for light, there came darkness.
[KJV | EN | OT | Job | Chapter 30 | Verse 27] My bowels boiled, and rested not: The days of affliction prevented me.
[KJV | EN | OT | Job | Chapter 30 | Verse 28] I went mourning without the sun: I stood up, and I cried in the congregation.
[KJV | EN | OT | Job | Chapter 30 | Verse 29] I am a brother to dragons, And a companion to owls.
[KJV | EN | OT | Job | Chapter 30 | Verse 30] My skin is black upon me, And my bones are burnt with heat.
[KJV | EN | OT | Job | Chapter 30 | Verse 31] My harp also is turned to mourning, And my organ into the voice of them that weep.
