[KJV | EN | OT | Job | Chapter 4 | Verse 1] Then Eliphaz the Temanite answered and said,
[KJV | EN | OT | Job | Chapter 4 | Verse 2] If we assay to commune with thee, wilt thou be grieved? But who can withhold himself from speaking?
[KJV | EN | OT | Job | Chapter 4 | Verse 3] Behold, thou hast instructed many, And thou hast strengthened the weak hands.
[KJV | EN | OT | Job | Chapter 4 | Verse 4] Thy words have upholden him that was falling, And thou hast strengthened the feeble knees.
[KJV | EN | OT | Job | Chapter 4 | Verse 5] But now it is come upon thee, and thou faintest; It toucheth thee, and thou art troubled.
[KJV | EN | OT | Job | Chapter 4 | Verse 6] Is not this thy fear, thy confidence, Thy hope; and the uprightness of thy ways?
[KJV | EN | OT | Job | Chapter 4 | Verse 7] Remember, I pray thee, who ever perished, being innocent? Or where were the righteous cut off?
[KJV | EN | OT | Job | Chapter 4 | Verse 8] Even as I have seen, they that plow iniquity, And sow wickedness, reap the same.
[KJV | EN | OT | Job | Chapter 4 | Verse 9] By the blast of God they perish, And by the breath of his nostrils are they consumed.
[KJV | EN | OT | Job | Chapter 4 | Verse 10] The roaring of the lion, and the voice of the fierce lion, And the teeth of the young lions, are broken.
[KJV | EN | OT | Job | Chapter 4 | Verse 11] The old lion perisheth for lack of prey, And the stout lion’s whelps are scattered abroad.
[KJV | EN | OT | Job | Chapter 4 | Verse 12] Now a thing was secretly brought to me, And mine ear received a little thereof.
[KJV | EN | OT | Job | Chapter 4 | Verse 13] In thoughts from the visions of the night, When deep sleep falleth on men.
[KJV | EN | OT | Job | Chapter 4 | Verse 14] Fear came upon me, and trembling, Which made all my bones to shake.
[KJV | EN | OT | Job | Chapter 4 | Verse 15] Then a spirit passed before my face; The hair of my flesh stood up:
[KJV | EN | OT | Job | Chapter 4 | Verse 16] It stood still, but I could not discern the form thereof: An image was before mine eyes, There was silence, and I heard a voice, saying,
[KJV | EN | OT | Job | Chapter 4 | Verse 17] Shall mortal man be more just than God? Shall a man be more pure than his Maker?
[KJV | EN | OT | Job | Chapter 4 | Verse 18] Behold, he put no trust in his servants; And his angels he charged with folly:
[KJV | EN | OT | Job | Chapter 4 | Verse 19] How much less in them that dwell in houses of clay, Whose foundation is in the dust, Which are crushed before the moth?
[KJV | EN | OT | Job | Chapter 4 | Verse 20] They are destroyed from morning to evening: They perish for ever without any regarding it.
[KJV | EN | OT | Job | Chapter 4 | Verse 21] Doth not their excellency which is in them go away? They die, even without wisdom.
