[KJV | EN | OT | Job | Chapter 16 | Verse 1] Then Job answered and said,
[KJV | EN | OT | Job | Chapter 16 | Verse 2] I have heard many such things: Miserable comforters are ye all.
[KJV | EN | OT | Job | Chapter 16 | Verse 3] Shall vain words have an end? Or what emboldeneth thee that thou answerest?
[KJV | EN | OT | Job | Chapter 16 | Verse 4] I also could speak as ye do: If your soul were in my soul’s stead, I could heap up words against you, And shake mine head at you.
[KJV | EN | OT | Job | Chapter 16 | Verse 5] But I would strengthen you with my mouth, And the moving of my lips should asswage your grief.
[KJV | EN | OT | Job | Chapter 16 | Verse 6] Though I speak, my grief is not asswaged: And though I forbear, what am I eased?
[KJV | EN | OT | Job | Chapter 16 | Verse 7] But now he hath made me weary: Thou hast made desolate all my company.
[KJV | EN | OT | Job | Chapter 16 | Verse 8] And thou hast filled me with wrinkles, which is a witness against me: And my leanness rising up in me Beareth witness to my face.
[KJV | EN | OT | Job | Chapter 16 | Verse 9] He teareth me in his wrath, who hateth me: He gnasheth upon me with his teeth; Mine enemy sharpeneth his eyes upon me.
[KJV | EN | OT | Job | Chapter 16 | Verse 10] They have gaped upon me with their mouth; They have smitten me upon the cheek reproachfully; They have gathered themselves together against me.
[KJV | EN | OT | Job | Chapter 16 | Verse 11] God hath delivered me to the ungodly, And turned me over into the hands of the wicked.
[KJV | EN | OT | Job | Chapter 16 | Verse 12] I was at ease, but he hath broken me asunder: He hath also taken me by my neck, and shaken me to pieces, And set me up for his mark.
[KJV | EN | OT | Job | Chapter 16 | Verse 13] His archers compass me round about, He cleaveth my reins asunder, and doth not spare; He poureth out my gall upon the ground.
[KJV | EN | OT | Job | Chapter 16 | Verse 14] He breaketh me with breach upon breach, He runneth upon me like a giant.
[KJV | EN | OT | Job | Chapter 16 | Verse 15] I have sewed sackcloth upon my skin, And defiled my horn in the dust.
[KJV | EN | OT | Job | Chapter 16 | Verse 16] My face is foul with weeping, And on mine eyelids is the shadow of death;
[KJV | EN | OT | Job | Chapter 16 | Verse 17] Not for any injustice in mine hands: Also my prayer is pure.
[KJV | EN | OT | Job | Chapter 16 | Verse 18] O earth, cover not thou my blood, And let my cry have no place.
[KJV | EN | OT | Job | Chapter 16 | Verse 19] Also now, behold, my witness is in heaven, And my record is on high.
[KJV | EN | OT | Job | Chapter 16 | Verse 20] My friends scorn me: But mine eye poureth out tears unto God.
[KJV | EN | OT | Job | Chapter 16 | Verse 21] O that one might plead for a man with God, As a man pleadeth for his neighbour.
[KJV | EN | OT | Job | Chapter 16 | Verse 22] When a few years are come, Then I shall go the way whence I shall not return.
