[KJV | EN | OT | Job | Chapter 13 | Verse 1] Lo, mine eye hath seen all this, Mine ear hath heard and understood it.
[KJV | EN | OT | Job | Chapter 13 | Verse 2] What ye know, the same do I know also. I am not inferior unto you.
[KJV | EN | OT | Job | Chapter 13 | Verse 3] Surely I would speak to the Almighty, And I desire to reason with God.
[KJV | EN | OT | Job | Chapter 13 | Verse 4] But ye are forgers of lies, Ye are all physicians of no value.
[KJV | EN | OT | Job | Chapter 13 | Verse 5] O that you would altogether hold your peace, And it should be your wisdom.
[KJV | EN | OT | Job | Chapter 13 | Verse 6] Hear now my reasoning, And hearken to the pleadings of my lips.
[KJV | EN | OT | Job | Chapter 13 | Verse 7] Will you speak wickedly for God? And talk deceitfully for him?
[KJV | EN | OT | Job | Chapter 13 | Verse 8] Will ye accept his person? Will ye contend for God?
[KJV | EN | OT | Job | Chapter 13 | Verse 9] Is it good that he should search you out? Or as one man mocketh another, do ye so mock him?
[KJV | EN | OT | Job | Chapter 13 | Verse 10] He will surely reprove you, If ye do secretly accept persons.
[KJV | EN | OT | Job | Chapter 13 | Verse 11] Shall not his excellency make you afraid? And his dread fall upon you?
[KJV | EN | OT | Job | Chapter 13 | Verse 12] Your remembrances are like unto ashes, Your bodies to bodies of clay.
[KJV | EN | OT | Job | Chapter 13 | Verse 13] Hold your peace, let me alone, that I may speak, And let come on me what will.
[KJV | EN | OT | Job | Chapter 13 | Verse 14] Wherefore do I take my flesh in my teeth, And put my life in mine hand?
[KJV | EN | OT | Job | Chapter 13 | Verse 15] Though he slay me, yet will I trust in him: But I will maintain mine own ways before him.
[KJV | EN | OT | Job | Chapter 13 | Verse 16] He also shall be my salvation: For a hypocrite shall not come before him.
[KJV | EN | OT | Job | Chapter 13 | Verse 17] Hear diligently my speech, And my declaration with your ears.
[KJV | EN | OT | Job | Chapter 13 | Verse 18] Behold now, I have ordered my cause; I know that I shall be justified.
[KJV | EN | OT | Job | Chapter 13 | Verse 19] Who is he that will plead with me? For now, if I hold my tongue, I shall give up the ghost.
[KJV | EN | OT | Job | Chapter 13 | Verse 20] Only do not two things unto me: Then will I not hide myself from thee.
[KJV | EN | OT | Job | Chapter 13 | Verse 21] Withdraw thine hand far from me: And let not thy dread make me afraid.
[KJV | EN | OT | Job | Chapter 13 | Verse 22] Then call thou, and I will answer: Or let me speak, and answer thou me.
[KJV | EN | OT | Job | Chapter 13 | Verse 23] How many are mine iniquities and sins? Make me to know my transgression and my sin.
[KJV | EN | OT | Job | Chapter 13 | Verse 24] Wherefore hidest thou thy face, And holdest me for thine enemy?
[KJV | EN | OT | Job | Chapter 13 | Verse 25] Wilt thou break a leaf driven to and fro? And wilt thou pursue the dry stubble?
[KJV | EN | OT | Job | Chapter 13 | Verse 26] For thou writest bitter things against me, And makest me to possess the iniquities of my youth.
[KJV | EN | OT | Job | Chapter 13 | Verse 27] Thou puttest my feet also in the stocks, And lookest narrowly unto all my paths; Thou settest a print upon the heels of my feet.
[KJV | EN | OT | Job | Chapter 13 | Verse 28] And he, as a rotten thing, consumeth, As a garment that is moth-eaten.
